FileName,SurveyName,RegionNameOrdered
indo1991,DHS 1991,jakarta
indo1994,DHS 1994,west java
indo1997,DHS 1997,central java
indo2003,DHS 2003,yogyakarta
indo2007,DHS 2007,east java
indo2012,DHS 2012,bali
,,aceh
,,north sumatera
,,west sumatera
,,south sumatera
,,lampung
,,west nusa tenggara
,,west kalimantan
,,south kalimantan
,,north sulawesi
,,south sulawesi
,,riau
,,jambi
,,bengkulu
,,east nusa tenggara
,,central kalimantan
,,east kalimantan
,,central sulawesi
,,southeast sulawesi
,,maluku
,,irian jaya
