"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.191906049252399,0.179333004793918,0.205140244683747,-1.4376724019814,0.00180200708276416
"All",0,"85-89",0.154323075343928,0.144269587642684,0.16494210746402,-1.70108910416487,0.00163216217844938
"All",0,"90-94",0.128983382098512,0.120397988581101,0.138084878346748,-1.90997748065491,0.00161188665359393
"All",0,"95-99",0.092647009820983,0.0854628431428164,0.100368812473099,-2.28173488043642,0.0020435541640474
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"barisal",1,"80-84",0.172364864238964,0.138588756091245,0.21234352830183,-1.56895886623338,0.0173415228844661
"barisal",1,"85-89",0.16459389398208,0.135835508050448,0.198045501949756,-1.62443676967557,0.0132820758486681
"barisal",1,"90-94",0.124606468319629,0.0985105173657906,0.156415918137731,-1.9495130180585,0.0181942795484079
"barisal",1,"95-99",0.0982704081399668,0.0735722032142491,0.130095498394116,-2.21659174220595,0.0260728416769065
"barisal",1,"00-04",NA,NA,NA,NA,NA
"barisal",1,"05-09",NA,NA,NA,NA,NA
"barisal",1,"10-14",NA,NA,NA,NA,NA
"chittagong",2,"80-84",0.190291257550909,0.168109732384306,0.214644394070594,-1.44811877288549,0.00593274124075112
"chittagong",2,"85-89",0.152116860884414,0.135033647263053,0.170934188047489,-1.71809377158652,0.00503487305538323
"chittagong",2,"90-94",0.152518711411163,0.13657436812466,0.169958068793223,-1.71498147435079,0.00433577763922363
"chittagong",2,"95-99",0.101299248033211,0.0886370304015156,0.11554099936419,-2.18287112333087,0.00566510551017927
"chittagong",2,"00-04",NA,NA,NA,NA,NA
"chittagong",2,"05-09",NA,NA,NA,NA,NA
"chittagong",2,"10-14",NA,NA,NA,NA,NA
"dhaka",3,"80-84",0.20905424635586,0.183491980030561,0.237143326216613,-1.33063561572323,0.00685120559740981
"dhaka",3,"85-89",0.171797027182956,0.151613311060506,0.194053127525353,-1.57294455513719,0.00578386973982035
"dhaka",3,"90-94",0.130726758017311,0.114549221090636,0.148805053298653,-1.89454818030891,0.00589971707492312
"dhaka",3,"95-99",0.099724024641291,0.0859523725632074,0.115423591206659,-2.20029473834733,0.00698398028263032
"dhaka",3,"00-04",NA,NA,NA,NA,NA
"dhaka",3,"05-09",NA,NA,NA,NA,NA
"dhaka",3,"10-14",NA,NA,NA,NA,NA
"khulna",4,"80-84",0.174601479511754,0.147933167779178,0.204921144825398,-1.55336020774739,0.0101585608337723
"khulna",4,"85-89",0.110678466744036,0.0913985756092077,0.133428083572422,-2.08382954805732,0.0117934048096154
"khulna",4,"90-94",0.0995860180249223,0.0812178958867145,0.121558642626481,-2.20183286407796,0.0130710958726671
"khulna",4,"95-99",0.0569957548628658,0.0429568596072723,0.0752619461381018,-2.80609399538842,0.0230487538437239
"khulna",4,"00-04",NA,NA,NA,NA,NA
"khulna",4,"05-09",NA,NA,NA,NA,NA
"khulna",4,"10-14",NA,NA,NA,NA,NA
"rajshahi",5,"80-84",0.186723453836977,0.16132819273839,0.215091036323344,-1.47144254110994,0.00814961380426784
"rajshahi",5,"85-89",0.151337510993765,0.130096153351778,0.175347952041456,-1.72414905314287,0.00805992131232136
"rajshahi",5,"90-94",0.112301305009704,0.0951339074365729,0.132114333655642,-2.06744689554878,0.00891463757947407
"rajshahi",5,"95-99",0.0865238006608104,0.0720710979034491,0.103551332870564,-2.35683779287689,0.0102534085440865
"rajshahi",5,"00-04",NA,NA,NA,NA,NA
"rajshahi",5,"05-09",NA,NA,NA,NA,NA
"rajshahi",5,"10-14",NA,NA,NA,NA,NA
