"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.215055252461337,0.199237108226673,0.23176577080745,-1.29471834670006,0.00241666033822165
"All",0,"85-89",0.180146393663274,0.168131850204865,0.192820480420166,-1.51535597699068,0.00181802248916192
"All",0,"90-94",0.15944378873265,0.150949323241495,0.168321503808455,-1.66237239060838,0.00109316270538223
"All",0,"95-99",0.154407591232738,0.147436330911457,0.161645978425244,-1.70044165478557,0.000770651841207427
"All",0,"00-04",0.13702308993948,0.13097878934224,0.143300323195475,-1.84023848396043,0.000706436995104031
"All",0,"05-09",0.104316936110544,0.0934565877606457,0.116277460685661,-2.15015289942136,0.003873870615081
"All",0,"10-14",NA,NA,NA,NA,NA
"atacora",1,"80-84",0.299131590239301,0.24720926759326,0.356790643994808,-0.851436573816275,0.0178850099579407
"atacora",1,"85-89",0.234748305530533,0.20459888647514,0.267844435697358,-1.18169089221719,0.00807315686046333
"atacora",1,"90-94",0.211319180435561,0.191128696057919,0.233028086529983,-1.31699200707845,0.00411320164593638
"atacora",1,"95-99",0.219896838798531,0.198702220830254,0.24266753933901,-1.26626764706351,0.0042755597754809
"atacora",1,"00-04",0.173988602173765,0.155778913630111,0.193838160263883,-1.55761877992636,0.00456040298593384
"atacora",1,"05-09",0.139519604775665,0.112217227286518,0.172176358832055,-1.81928570497379,0.0161405922831293
"atacora",1,"10-14",NA,NA,NA,NA,NA
"atlantique",2,"80-84",0.184552170686442,0.153030379437301,0.220873695895417,-1.48580525469277,0.0132047361689359
"atlantique",2,"85-89",0.131191340457906,0.109881768484353,0.155909665666514,-1.89046604465029,0.0105677351272136
"atlantique",2,"90-94",0.108567844581563,0.0924676371024179,0.127078835017544,-2.10545405955429,0.00828654746340194
"atlantique",2,"95-99",0.120832736179403,0.104430066648212,0.139410696255498,-1.98456792469236,0.0070335418758521
"atlantique",2,"00-04",0.113296239627041,0.101092278066848,0.12676571167758,-2.05750496927952,0.00424120024959866
"atlantique",2,"05-09",0.0805014304413905,0.0606039795770799,0.106193112230962,-2.43555353464518,0.0242673849725742
"atlantique",2,"10-14",NA,NA,NA,NA,NA
"borgou",3,"80-84",0.227025649752422,0.187222372240027,0.272454435869798,-1.22518286034889,0.0153686733986607
"borgou",3,"85-89",0.222307647836599,0.184902360830308,0.264821449137074,-1.25226878813444,0.0139162302752404
"borgou",3,"90-94",0.188638522990691,0.164734559203252,0.215117774322444,-1.45888106547637,0.00704709529829252
"borgou",3,"95-99",0.170058405766519,0.155387741413445,0.185809460882314,-1.58521338854291,0.00302178486915765
"borgou",3,"00-04",0.142109081396637,0.129008195936737,0.156301627721429,-1.79788201535831,0.00325811886731764
"borgou",3,"05-09",0.11061187475587,0.0843635208827616,0.143744891357501,-2.08450627654974,0.0234251729604718
"borgou",3,"10-14",NA,NA,NA,NA,NA
"mono",4,"80-84",0.164683550635908,0.132746177869351,0.202510500477239,-1.62378487684025,0.016676902329123
"mono",4,"85-89",0.129399264739206,0.106094320747755,0.156924753792787,-1.90628077368932,0.0131775299816991
"mono",4,"90-94",0.131915482120662,0.115748369727827,0.149957779228967,-1.8841276501984,0.00579448390190859
"mono",4,"95-99",0.136720898508974,0.122623991191488,0.152157345123698,-1.84279643656965,0.00406854018342294
"mono",4,"00-04",0.106792438264767,0.0937073980845212,0.121459764398504,-2.12393186456762,0.00549231308365414
"mono",4,"05-09",0.0890407127945825,0.0662933245765927,0.1186020079247,-2.32540449377151,0.0266013620576467
"mono",4,"10-14",NA,NA,NA,NA,NA
"oueme",5,"80-84",0.224443598198765,0.192406525880447,0.26009705276803,-1.23995626691695,0.00984708468733612
"oueme",5,"85-89",0.198224634993201,0.173527064622335,0.225478336764231,-1.39742756734471,0.00695088244782995
"oueme",5,"90-94",0.170374051299903,0.15005107539642,0.192825116589392,-1.58297861329884,0.00595296375492924
"oueme",5,"95-99",0.164273212541062,0.146706022541276,0.183491621416872,-1.626770778581,0.00466747403350195
"oueme",5,"00-04",0.140664166052588,0.125290805878362,0.157584025340042,-1.80978455644079,0.00463732477221917
"oueme",5,"05-09",0.130330907703654,0.103018704992018,0.163563704721991,-1.8980361254388,0.0184312762425639
"oueme",5,"10-14",NA,NA,NA,NA,NA
"zou",6,"80-84",0.213177548561993,0.174903306166095,0.257216364257498,-1.30587724142086,0.0156753679299508
"zou",6,"85-89",0.175909590301696,0.146619372126817,0.209613882549068,-1.54431007281242,0.0122643943185311
"zou",6,"90-94",0.15132641431634,0.132601121854094,0.172171132790712,-1.7242354552733,0.00616711899878756
"zou",6,"95-99",0.126125788251412,0.111568746963142,0.142278002867911,-1.93565671439558,0.00504115559001085
"zou",6,"00-04",0.147863106547298,0.134057970584001,0.162822569989912,-1.75146029702226,0.00338815714898622
"zou",6,"05-09",0.0823617556669627,0.0604435607654835,0.111286569813414,-2.41068204468244,0.0288691160794314
"zou",6,"10-14",NA,NA,NA,NA,NA
