"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.248943773599931,0.220916817547736,0.279251926001678,-1.10425345553966,0.00634144022404372
"All",0,"85-89",0.201434395971454,0.184305997297309,0.219725821820156,-1.37735337329498,0.0031549160102202
"All",0,"90-94",0.196570355882225,0.184219103043935,0.209537013973674,-1.40786920714518,0.0016723196257271
"All",0,"95-99",0.181827231434727,0.172358852284359,0.191695275261781,-1.50401656442029,0.00109931626837365
"All",0,"00-04",0.174581918054643,0.165898562632825,0.18361971839801,-1.5534959480394,0.00098402796141192
"All",0,"05-09",0.13249075322474,0.125208389974702,0.14012882532975,-1.87911331486317,0.00109622164516212
"All",0,"10-14",NA,NA,NA,NA,NA
"Central/South",1,"80-84",0.232509442424123,0.193026665411464,0.277293156048512,-1.19419533977332,0.0145314764655956
"Central/South",1,"85-89",0.182450552362881,0.15611803338414,0.212108224129632,-1.4998321969952,0.00915844499172649
"Central/South",1,"90-94",0.154744339028235,0.138766249013499,0.172194364896794,-1.69786480946411,0.00424576156255256
"Central/South",1,"95-99",0.158492426901574,0.145167245569352,0.17279350938285,-1.6694882007381,0.00279026756054409
"Central/South",1,"00-04",0.141978815195507,0.13026273952598,0.15456139153857,-1.79895093239,0.00258689435591007
"Central/South",1,"05-09",0.109254495837766,0.0984332411487727,0.121105583670112,-2.09837877226132,0.00352562665340482
"Central/South",1,"10-14",NA,NA,NA,NA,NA
"East",2,"80-84",0.206880621464976,0.145528058735263,0.285457584039455,-1.3438318316953,0.0473041983128144
"East",2,"85-89",0.228963795231417,0.180177124828168,0.286346494599978,-1.21417143902706,0.0235813644290814
"East",2,"90-94",0.23864439051251,0.20194417611534,0.279676918832606,-1.16012600298158,0.0119283371431912
"East",2,"95-99",0.19364239661169,0.170910509742021,0.218600557346156,-1.42651417914132,0.00606782501780628
"East",2,"00-04",0.17181156159243,0.151667660130298,0.194019008015895,-1.57284240701153,0.00575903770165477
"East",2,"05-09",0.125015101443322,0.109404417477327,0.142496844015872,-1.94577208586456,0.00594078013037216
"East",2,"10-14",NA,NA,NA,NA,NA
"North",3,"80-84",0.339518343628647,0.251193062392524,0.440625626147712,-0.665441374393755,0.0474230267896858
"North",3,"85-89",0.240414715396771,0.194573345338125,0.293125678611688,-1.15040719326956,0.0189990673985953
"North",3,"90-94",0.245749800384369,0.212925812311209,0.2818220193747,-1.12141019593779,0.00900290429967888
"North",3,"95-99",0.210551033431905,0.187303279710695,0.235846885823504,-1.32160712856876,0.0055505873135276
"North",3,"00-04",0.227780680254282,0.204848803969618,0.252464601009402,-1.22088536531806,0.00477066751613155
"North",3,"05-09",0.183590822511155,0.165354136919443,0.203348785072921,-1.49220618167027,0.00417963617329655
"North",3,"10-14",NA,NA,NA,NA,NA
"West",4,"80-84",0.242335178976195,0.19603427337986,0.295551639012666,-1.13991929425594,0.0191671061040609
"West",4,"85-89",0.193265790548399,0.16621998719004,0.223532448377473,-1.42892786310274,0.00878743361473453
"West",4,"90-94",0.197521459721073,0.175462949106935,0.221607761157451,-1.40185787830716,0.00551374213466539
"West",4,"95-99",0.185606742278824,0.167038025363601,0.205729819088407,-1.47881322030678,0.00426193404336063
"West",4,"00-04",0.182731098296397,0.166198578850858,0.200512696731005,-1.49795250977372,0.0034342912269164
"West",4,"05-09",0.133378312743872,0.119260603383884,0.148884723583907,-1.87141298754411,0.00426756228457332
"West",4,"10-14",NA,NA,NA,NA,NA
