"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.160463094610412,0.131865679511468,0.193877328567432,-1.65478646069854,0.0137440196632965
"All",0,"85-89",0.122983765849052,0.10798724733356,0.139736648775993,-1.96447314151078,0.00562475884486754
"All",0,"90-94",0.140067724770595,0.12801106468008,0.15306061182355,-1.8147275824112,0.00281194061351032
"All",0,"95-99",0.147931098941373,0.136787432889454,0.159814529306294,-1.75092077567694,0.0021705015811886
"All",0,"00-04",0.144823567782094,0.135411500473215,0.154772729569299,-1.77579157348649,0.00158961849494258
"All",0,"05-09",0.127484691835277,0.119703894620925,0.13569328415356,-1.92338390574396,0.00134399302004341
"All",0,"10-14",0.10436368715797,0.0918357091829416,0.118377927863426,-2.14965263894262,0.00523216434283163
"adam/nord/ext-nord",1,"80-84",0.226698931561341,0.170836194966635,0.294344011134596,-1.2270456087798,0.0323767561768832
"adam/nord/ext-nord",1,"85-89",0.161469553130311,0.132907101018444,0.194791285908738,-1.64733429233811,0.0135515287179772
"adam/nord/ext-nord",1,"90-94",0.191053120796384,0.167883679639541,0.21658786468442,-1.44318174387655,0.0064590772012972
"adam/nord/ext-nord",1,"95-99",0.198960563384265,0.177287074265135,0.222566862806341,-1.39280354894625,0.005251522226939
"adam/nord/ext-nord",1,"00-04",0.19217032989522,0.176123458633578,0.209307817118174,-1.43596911834582,0.00297293762439363
"adam/nord/ext-nord",1,"05-09",0.169025705247151,0.154677870712344,0.184414090684068,-1.59254805605741,0.00291528153881524
"adam/nord/ext-nord",1,"10-14",0.149393023903591,0.12626479638848,0.175904800430629,-1.73936960664616,0.00990127302113961
"centre/sud/est",2,"80-84",0.140291194061714,0.0872808219369245,0.217814262574266,-1.81287351408823,0.0743490956426142
"centre/sud/est",2,"85-89",0.117199024551199,0.0898251400630717,0.151526206569624,-2.01922622516448,0.0228921634437472
"centre/sud/est",2,"90-94",0.123832232435968,0.10135023347299,0.150466283020012,-1.9566299027872,0.0132585173187063
"centre/sud/est",2,"95-99",0.128414221068715,0.108469688733751,0.151403208097761,-1.91505314577814,0.00953801783738206
"centre/sud/est",2,"00-04",0.127716659895359,0.107162969165343,0.151543403107602,-1.92130008671279,0.0102832928715518
"centre/sud/est",2,"05-09",0.10810214627979,0.0949539274222681,0.122823914395463,-2.11027503323101,0.00542189311744735
"centre/sud/est",2,"10-14",0.0880015249781829,0.0639044258715802,0.120020147297475,-2.33828417432214,0.0311722703640637
"nord-ouest/sud-ouest",3,"80-84",0.104097255618067,0.0652994350263953,0.161952776928991,-2.15250625053241,0.0673736025664737
"nord-ouest/sud-ouest",3,"85-89",0.0886687802998519,0.0643892841893203,0.120920201587805,-2.32999855153975,0.0312099227270435
"nord-ouest/sud-ouest",3,"90-94",0.106597242608473,0.0853647710771027,0.132346624788216,-2.1259798506303,0.0157037331786257
"nord-ouest/sud-ouest",3,"95-99",0.0955538494212793,0.078289761057845,0.116145211464314,-2.24763281118949,0.0123919230335976
"nord-ouest/sud-ouest",3,"00-04",0.108889949563867,0.0890450203179621,0.13251423753791,-2.10213019806638,0.0129710358928766
"nord-ouest/sud-ouest",3,"05-09",0.0856733570750552,0.0711654433066953,0.102811505974635,-2.36764599365965,0.0105461358697399
"nord-ouest/sud-ouest",3,"10-14",0.0675629276777703,0.0460951051564855,0.0980017475498802,-2.62474224099139,0.0427228679959362
"ouest/littoral",4,"80-84",0.164581952497012,0.108893014273445,0.241046871140716,-1.62452361763636,0.0593727247958068
"ouest/littoral",4,"85-89",0.121049137278377,0.0798745319821898,0.179312561627685,-1.98253243840911,0.0554480017967526
"ouest/littoral",4,"90-94",0.105711203990442,0.078411758471643,0.141060317692334,-2.13531787577374,0.0281439655144465
"ouest/littoral",4,"95-99",0.125793553860409,0.105579178645877,0.149232459871022,-1.93867445438018,0.0102096988435019
"ouest/littoral",4,"00-04",0.110947446282263,0.0896869431414297,0.136492127888859,-2.08109971702999,0.014543374063055
"ouest/littoral",4,"05-09",0.107684464084838,0.0868527894191609,0.132786055854096,-2.11461448785265,0.0147538680446137
"ouest/littoral",4,"10-14",0.0888360942574046,0.0615113415900876,0.126660915605902,-2.32792976528909,0.0410531130472284
"yaounde/douala",5,"80-84",0.0812182943039619,0.0428735813623182,0.148535172279776,-2.4259080384313,0.120290099437278
"yaounde/douala",5,"85-89",0.0850464254407666,0.056137417308511,0.126842028196032,-2.37567603675818,0.051897997925096
"yaounde/douala",5,"90-94",0.0941702743910494,0.0722282044854742,0.12190225605043,-2.26374677424908,0.0217733692663029
"yaounde/douala",5,"95-99",0.100814627107486,0.0781006996141196,0.129208574247567,-2.18820575690298,0.0204426350538929
"yaounde/douala",5,"00-04",0.0855197493194491,0.0674764745822665,0.107829911381571,-2.36960853637919,0.0171278041185098
"yaounde/douala",5,"05-09",0.0787560343078437,0.0653372291684306,0.0946516743474399,-2.45936999245,0.0105436746529602
"yaounde/douala",5,"10-14",0.0488143951609639,0.0276925971533943,0.0846438296764694,-2.96968395941041,0.0902554094344794
