"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.204635440368597,0.15872943856572,0.259719142781011,-1.35757051876948,0.0250394122108643
"All",0,"85-89",0.159004656837074,0.135538159020801,0.18566145250453,-1.66565263262111,0.0091226624512134
"All",0,"90-94",0.177975342828758,0.160354589280496,0.197077899157383,-1.53012537390209,0.00409789789262947
"All",0,"95-99",0.175667237011441,0.162431059022674,0.189737667403367,-1.54598278035454,0.00231326006968461
"All",0,"00-04",0.173742185505706,0.164688112440855,0.183184864365759,-1.55933434097875,0.0010802141447149
"All",0,"05-09",0.165839454400123,0.156937783659683,0.175141144542961,-1.61540570634727,0.00112658925329968
"All",0,"10-14",0.131063433797136,0.124301881875624,0.138134770430635,-1.8915886928268,0.000959757310555576
"zone 1",1,"80-84",0.232718649854753,0.102987950994818,0.444828221729523,-1.19302334048598,0.245657696632259
"zone 1",1,"85-89",0.141193162876866,0.0818354270904801,0.232693562077674,-1.80541512489,0.0975805406953967
"zone 1",1,"90-94",0.181290481877998,0.137248651881766,0.235605506721927,-1.50762872512331,0.0284696094458693
"zone 1",1,"95-99",0.165444930389484,0.136786906111291,0.198724819794964,-1.61826033951634,0.0130590174669796
"zone 1",1,"00-04",0.150660942336704,0.125264925283022,0.180145360927527,-1.72942657069128,0.0119285999217059
"zone 1",1,"05-09",0.157938809319226,0.13610311419977,0.182537500812774,-1.6736450093954,0.00791726068579936
"zone 1",1,"10-14",0.14099643414163,0.121401315124365,0.163166984938255,-1.80703847286682,0.00771808993498818
"zone 2",2,"80-84",0.259753317683605,0.103474838414589,0.516168290433355,-1.04725108262889,0.321863579625806
"zone 2",2,"85-89",0.197541059606816,0.12035347844519,0.306957637069494,-1.40173422959911,0.0898053024065571
"zone 2",2,"90-94",0.130988659806151,0.0989326328730658,0.171455049286227,-1.89224542179668,0.02614182193438
"zone 2",2,"95-99",0.147008658217999,0.120483488882793,0.178190383411881,-1.75825791263958,0.0137231568545017
"zone 2",2,"00-04",0.116705931760408,0.0995316390546343,0.136394791882582,-2.02400081113588,0.00828860885685081
"zone 2",2,"05-09",0.110692704662593,0.0949183942164601,0.128715702578305,-2.08368490416306,0.00764070803535219
"zone 2",2,"10-14",0.098123748525077,0.0837222928790363,0.114692380791041,-2.21824789502728,0.00793276694232675
"zone 3",3,"80-84",0.265418206920237,0.15740772641852,0.411360133470458,-1.01799462691544,0.113273887705723
"zone 3",3,"85-89",0.185975132159886,0.133852597231428,0.252477934579683,-1.47637794899833,0.0397850173965324
"zone 3",3,"90-94",0.196806523403635,0.157851184812063,0.242605980115235,-1.40637449569203,0.018687231124949
"zone 3",3,"95-99",0.204629463664819,0.167995913670836,0.246881004995486,-1.35760724018012,0.0152818676405546
"zone 3",3,"00-04",0.166947893219302,0.145605002194669,0.190720896701745,-1.60741444629003,0.00683867016139892
"zone 3",3,"05-09",0.146729096856447,0.13106752189552,0.163909096549082,-1.76048907768912,0.00447166018896139
