"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.162762201798217,0.143051838716759,0.184603318970236,-1.6378178869816,0.00604230726577789
"All",0,"85-89",0.120218285460379,0.105421386673569,0.136774529655443,-1.99036468921726,0.00570373970833283
"All",0,"90-94",0.110973855694546,0.0976358161949835,0.125879821699663,-2.08083200446262,0.00531890522663113
"All",0,"95-99",0.0972221260587549,0.0712391619293315,0.131341660228803,-2.22847821647029,0.0299743131460131
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"Mwali",1,"80-84",0.160425566208642,0.0954906230195529,0.25697220793625,-1.65506506396065,0.0916329906347866
"Mwali",1,"85-89",0.194949401706123,0.123515401140719,0.293846131673978,-1.41816508400346,0.0762994454746348
"Mwali",1,"90-94",0.116285945021547,0.0684575167092463,0.190689801477861,-2.02808134193185,0.0883417301761696
"Mwali",1,"95-99",0.196300163961419,0.0892518230049,0.37839710699562,-1.40958092466896,0.217099153763741
"Mwali",1,"00-04",NA,NA,NA,NA,NA
"Mwali",1,"05-09",NA,NA,NA,NA,NA
"Mwali",1,"10-14",NA,NA,NA,NA,NA
"Ndzuwani",2,"80-84",0.191366909296059,0.157251427460358,0.230856239506515,-1.44115270344047,0.0147045754685653
"Ndzuwani",2,"85-89",0.125203143538457,0.102633056930644,0.151896479129931,-1.94405412887399,0.0130909527840819
"Ndzuwani",2,"90-94",0.116962453631354,0.0955114312018523,0.142472314771017,-2.02151474690707,0.0133677419531979
"Ndzuwani",2,"95-99",0.0750968488511834,0.0463716331689393,0.119388387695124,-2.51091043205206,0.068420977083587
"Ndzuwani",2,"00-04",NA,NA,NA,NA,NA
"Ndzuwani",2,"05-09",NA,NA,NA,NA,NA
"Ndzuwani",2,"10-14",NA,NA,NA,NA,NA
"Ngazidja",3,"80-84",0.142843876807638,0.12014967907503,0.16900125922021,-1.79186781282455,0.0103239449784493
"Ngazidja",3,"85-89",0.106132601786879,0.0881983629863243,0.127204830481388,-2.13086816745921,0.0109362144150304
"Ngazidja",3,"90-94",0.104135520932768,0.0883840404213137,0.122317516053621,-2.15209601374051,0.00856896964871187
"Ngazidja",3,"95-99",0.101550166489843,0.0636333944257191,0.158241978469224,-2.18011794355315,0.0673773464796213
"Ngazidja",3,"00-04",NA,NA,NA,NA,NA
"Ngazidja",3,"05-09",NA,NA,NA,NA,NA
"Ngazidja",3,"10-14",NA,NA,NA,NA,NA
