"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.090789211020141,0.063827851007459,0.127587133192399,-2.30403650117851,0.0379017840911637
"All",0,"85-89",0.0825158671656466,0.0656847513217021,0.103183504993337,-2.40864468173738,0.0157921471676249
"All",0,"90-94",0.0937744766053858,0.0797729959967173,0.109939851316274,-2.26839548257127,0.0081591680986297
"All",0,"95-99",0.116213167978021,0.100761642216915,0.133681898131225,-2.02878973364492,0.0066641893171066
"All",0,"00-04",0.110343347442957,0.0990326954747665,0.122769776641267,-2.08723875973558,0.00379747560390917
"All",0,"05-09",0.0702023091953979,0.0626142737747405,0.0786327773941181,-2.58358582070141,0.0039073994020991
"All",0,"10-14",0.0663752155240644,0.0536772668914644,0.0818172973835551,-2.64375090120699,0.0132775459107177
"brazzaville",1,"80-84",0.0443292229150313,0.0109464758078765,0.162763572373658,-3.0707693592535,0.53453097957086
"brazzaville",1,"85-89",0.0540067263614739,0.0297980438761995,0.0959383104827824,-2.86312685765136,0.100045056239024
"brazzaville",1,"90-94",0.068773198614297,0.0407017003552438,0.113906425397346,-2.60568874410153,0.0799659279997263
"brazzaville",1,"95-99",0.105593799164043,0.073599095646682,0.149256238899185,-2.13656038582233,0.0408454901632301
"brazzaville",1,"00-04",0.0962332932294957,0.0723613638679494,0.126903181378335,-2.23979587808994,0.0252063555880454
"brazzaville",1,"05-09",0.0683782591248465,0.0513962166637723,0.0904364675306525,-2.61187194982124,0.0239870978409008
"brazzaville",1,"10-14",0.0801396234936741,0.0493733952392256,0.127505890011547,-2.44045148676905,0.0696495782302219
"nord",2,"80-84",0.134200481354319,0.0843113792882868,0.206938749594296,-1.86431856766887,0.0706177841312329
"nord",2,"85-89",0.0925256813802313,0.0698988869941153,0.121519979960404,-2.28317902416948,0.0242263124803311
"nord",2,"90-94",0.0908659388830246,0.0749124258609979,0.109813642967388,-2.30310734407547,0.0115305032910855
"nord",2,"95-99",0.139763599121529,0.121139721415659,0.160727061840066,-1.81725481856438,0.00703797133860256
"nord",2,"00-04",0.115720801141597,0.103287608242258,0.129434603122978,-2.0335924453967,0.00424011385110609
"nord",2,"05-09",0.0921865249756477,0.0810934232616335,0.104624322236803,-2.28722496357405,0.00512832908149175
"nord",2,"10-14",0.0607048106645315,0.0474987757048113,0.0772845924504056,-2.7391068473977,0.0175002355298926
"pointe noire",3,"80-84",0.0138231353372994,0.00188105720579968,0.0944094911895514,-4.26749205227527,1.04809885695274
"pointe noire",3,"85-89",0.0835836695514609,0.0460722956938948,0.146932028458941,-2.39462260992367,0.105215880704959
"pointe noire",3,"90-94",0.09326259368516,0.063744454373885,0.134486249079595,-2.27443378692011,0.0443102633904442
"pointe noire",3,"95-99",0.0762145579137764,0.0450628540904623,0.126058490379254,-2.49492734596108,0.0812454077091815
"pointe noire",3,"00-04",0.0864670471437277,0.063478990893667,0.116742185436696,-2.35755606487542,0.0290238207072933
"pointe noire",3,"05-09",0.0521283320915392,0.0390520801591692,0.069267443423131,-2.90051051859352,0.0238228373477625
"pointe noire",3,"10-14",0.0685339894042105,0.043775955558123,0.105745775763212,-2.60942988259678,0.0586050906853495
"sud",4,"80-84",0.137629931374018,0.0885353609033212,0.207743449615333,-1.83511606612138,0.0641804903835519
"sud",4,"85-89",0.100123955731918,0.0707058883911514,0.139938642086665,-2.19584804955747,0.0375994568560478
"sud",4,"90-94",0.115082731210797,0.0949810610573433,0.138786289772925,-2.03984288749333,0.0119700802021508
"sud",4,"95-99",0.136440209238519,0.115835871655832,0.160046132139306,-1.84517664642434,0.00913148118090338
"sud",4,"00-04",0.136082386375842,0.115906975374685,0.15913750638109,-1.84821692515644,0.00877097265672279
"sud",4,"05-09",0.072614568714212,0.0614629048521285,0.0856050104432376,-2.547203689938,0.00831149957152455
"sud",4,"10-14",0.0556085686704348,0.0433697600479905,0.0710446355038588,-2.83220342987337,0.0177944563275862
