"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.131416509669708,0.10101526753299,0.169244718612629,-1.88849197017787,0.0230401234068277
"All",0,"85-89",0.142738328392539,0.12026219920108,0.168609993324891,-1.7927301238046,0.0101251911374417
"All",0,"90-94",0.138265495122967,0.119877918096734,0.158964058287259,-1.82977150966235,0.0069857402426556
"All",0,"95-99",0.142644960535455,0.128204041811056,0.158416926346461,-1.79349336500356,0.00396650838803788
"All",0,"00-04",0.137049448108336,0.125879728976821,0.149041301645081,-1.84001559571386,0.00249374166100287
"All",0,"05-09",0.118199282852098,0.10869645856393,0.12841320027825,-2.00959404848832,0.00232626673358914
"All",0,"10-14",0.0970213112060794,0.0804547397168692,0.1165667042031,-2.23076829516115,0.0109843188385378
"centre",1,"80-84",0.160593828189094,0.0872682372658641,0.276842720392533,-1.65381633245083,0.125248059628475
"centre",1,"85-89",0.119370992109436,0.0751694451878797,0.184382255486561,-1.9984002095464,0.0680983351735839
"centre",1,"90-94",0.137819219582208,0.101341654220935,0.18472776399721,-1.83352214741184,0.0316857553770501
"centre",1,"95-99",0.125983234553395,0.0955424437762538,0.164360289650118,-1.93695071890645,0.0251480994058185
"centre",1,"00-04",0.15878061268305,0.119285396813028,0.208260395247045,-1.66732903579649,0.0286735085954289
"centre",1,"05-09",0.152114902404474,0.117348885841293,0.194906363644448,-1.71810895635127,0.0233770262197022
"centre",1,"10-14",0.0611289962989044,0.0332144566479913,0.109838474343714,-2.73169176874002,0.106392943748162
"centre-est",2,"80-84",0.162458952028595,0.0858725603846761,0.285981006668684,-1.64004490804197,0.136852457815617
"centre-est",2,"85-89",0.106010737409074,0.0573852995564916,0.187637110592084,-2.13215337928274,0.115713933877292
"centre-est",2,"90-94",0.120895720518305,0.0786248969423881,0.181417749273298,-1.98397516474799,0.0592804312065439
"centre-est",2,"95-99",0.101710103617847,0.0700191069917324,0.145500485423806,-2.1783661952899,0.0433398431490559
"centre-est",2,"00-04",0.130379898288637,0.098837142097236,0.170089173293585,-1.89760396820193,0.0254393228831
"centre-est",2,"05-09",0.160006978179173,0.119979856122851,0.210198159262979,-1.65817615654408,0.0291174043538186
"centre-est",2,"10-14",0.067702896900656,0.0329053420618493,0.13419290354747,-2.62252257477196,0.149623996235553
"centre-nord",3,"80-84",0.127061409521211,0.0615393168139363,0.244193451740314,-1.92719470114312,0.165509754103884
"centre-nord",3,"85-89",0.116882161380374,0.0765000961272389,0.174551640726437,-2.02229238469586,0.0571587887330177
"centre-nord",3,"90-94",0.0827840038063553,0.0510093126698399,0.131606846628886,-2.40510813909471,0.0699257485139524
"centre-nord",3,"95-99",0.132566404411436,0.0917675501374312,0.187754258974598,-1.878455276765,0.0445713794900165
"centre-nord",3,"00-04",0.0717420377408137,0.0534012347944482,0.0957449002372098,-2.56023279450188,0.025798658873324
"centre-nord",3,"05-09",0.0817037330618952,0.0620480504463741,0.106876479332848,-2.41942037628933,0.0228649422330056
"centre-nord",3,"10-14",0.0572550080626776,0.0259258984207414,0.121712055115131,-2.80128070825328,0.177163434173988
"centre-ouest",4,"80-84",0.0534636724212221,0.0138441946299303,0.185175984087465,-2.87380694777371,0.504510875844116
"centre-ouest",4,"85-89",0.0955504803614456,0.0516712039446506,0.170011895681477,-2.24767179503429,0.114127110433359
"centre-ouest",4,"90-94",0.143560660397846,0.094454223908366,0.212214358557177,-1.78602582525323,0.0585850923067807
"centre-ouest",4,"95-99",0.0924283090793543,0.0648439964080949,0.130114192989973,-2.28433925423648,0.0384633832802938
"centre-ouest",4,"00-04",0.119583204663837,0.0877843458748332,0.160869492527825,-1.996383023985,0.0309143483919041
"centre-ouest",4,"05-09",0.0846049119091169,0.0625223995834115,0.113542205255058,-2.381363437026,0.0277172446595691
"centre-ouest",4,"10-14",0.0709243388566577,0.0358127154092777,0.135618257337034,-2.57257652021289,0.135100977194945
"nord",5,"80-84",0.234480120562652,0.13901588465734,0.367517667204863,-1.183184373407,0.106727303837198
"nord",5,"85-89",0.185929149353504,0.128956003598795,0.260544152174506,-1.47668171862959,0.0489284123698556
"nord",5,"90-94",0.192673336045941,0.135829790992555,0.265983511502717,-1.43273217885199,0.0454043650863925
"nord",5,"95-99",0.223738273837044,0.178364331827608,0.276766732569012,-1.24401279095221,0.0209158330837463
"nord",5,"00-04",0.244980105469192,0.211398627574855,0.281988598748822,-1.1255670941927,0.00949151083505386
"nord",5,"05-09",0.211032632994438,0.178681905219749,0.24747567331618,-1.31871217978923,0.0111103366013073
"nord",5,"10-14",0.211805548062735,0.148647330206749,0.292576665774855,-1.31407619819034,0.0483958687279738
"nord-est",6,"80-84",0.274703243942493,0.119690377381731,0.513393418737282,-0.970889487738027,0.273216787268348
"nord-est",6,"85-89",0.117476058270484,0.0574321167122123,0.225290322131476,-2.01655136445569,0.15896790049369
"nord-est",6,"90-94",0.182933422573901,0.123866078116993,0.261752714995431,-1.49659830608295,0.0550161276923599
"nord-est",6,"95-99",0.118319633055581,0.079991207810424,0.171588157237407,-2.00843987746141,0.0490384299988842
"nord-est",6,"00-04",0.145724353040209,0.111242515469138,0.188626078157588,-1.76853706899663,0.0249479414011601
"nord-est",6,"05-09",0.12959244017522,0.0999952422764694,0.166330983585963,-1.90456711128894,0.0223038542732837
"nord-est",6,"10-14",0.116285241253204,0.0669068906697418,0.194509038270472,-2.0280881903754,0.0959501183931935
"nord-ouest",7,"80-84",0.22451108842283,0.149661939437654,0.322592696118408,-1.23956858649577,0.064478562197501
"nord-ouest",7,"85-89",0.168600906024523,0.120354837515092,0.231105972710542,-1.59557551769603,0.0403079283057344
"nord-ouest",7,"90-94",0.144355172188911,0.114003078226853,0.181136095528389,-1.77957863290024,0.0191052157131992
"nord-ouest",7,"95-99",0.226209045329167,0.190925587610696,0.265870271096178,-1.22984220163064,0.0119398959746626
"nord-ouest",7,"00-04",0.223282365217288,0.195416572873591,0.253867961450254,-1.2466396976954,0.00739551823704489
"nord-ouest",7,"05-09",0.184224454650431,0.161497010836504,0.209351765210209,-1.4879843737405,0.00659327951422184
"nord-ouest",7,"10-14",0.183989156612621,0.124796195222802,0.262826951884914,-1.48955081892143,0.0546587211436527
"ouest",8,"80-84",0.135653194062817,0.0670924785554396,0.255115865442426,-1.85187249884598,0.15852422387242
"ouest",8,"85-89",0.226418256728183,0.151466116560724,0.324285433304572,-1.22864736182365,0.0636557521877577
"ouest",8,"90-94",0.207035198552347,0.142916541118376,0.290180913753678,-1.34289001395112,0.0523365282610282
"ouest",8,"95-99",0.220441616539508,0.162162094164214,0.292357600503043,-1.26309470206685,0.0374186586560909
"ouest",8,"00-04",0.193028841630802,0.158694270316102,0.23273692039372,-1.4304483120702,0.0146869239293554
"ouest",8,"05-09",0.123787865286569,0.0946948335039111,0.160237082016763,-1.95703888777505,0.0235183006884108
"ouest",8,"10-14",0.132868635471941,0.0809683685458702,0.210419752536976,-1.87582954458011,0.0797320676488677
"sud sans abidjan",9,"80-84",0.0937650975636499,0.0277185426890691,0.272997360633636,-2.26850585408574,0.432548861278456
"sud sans abidjan",9,"85-89",0.138808885191575,0.0823107843446123,0.224596144134041,-1.8252183878426,0.0894342698818266
"sud sans abidjan",9,"90-94",0.126902914259765,0.0784277992920481,0.198874098571589,-1.92862441951412,0.0745869804657944
"sud sans abidjan",9,"95-99",0.137661529930183,0.100702277280256,0.185389059813002,-1.83484985954678,0.0327318974221221
"sud sans abidjan",9,"00-04",0.139431722405435,0.104648713733285,0.183407631529076,-1.82001792260229,0.0277656012544064
"sud sans abidjan",9,"05-09",0.113151321419067,0.0891685053645334,0.142574867071309,-2.05894831815331,0.0182644969624795
"sud sans abidjan",9,"10-14",0.0704006833232679,0.036260996218009,0.132271353295828,-2.5805506816117,0.127383440043552
"sud-ouest",10,"80-84",0.102075419235684,0.0226935968737071,0.357546076929295,-2.17437413465833,0.656738619300319
"sud-ouest",10,"85-89",0.152510373540753,0.0897103639570985,0.247327760698798,-1.71504598206157,0.0943811220769727
"sud-ouest",10,"90-94",0.122208359843482,0.0687119108196183,0.208050385295301,-1.97168179802222,0.104954835675786
"sud-ouest",10,"95-99",0.123363416106663,0.0642852947028038,0.223751590709651,-1.96095791935813,0.133834641533008
"sud-ouest",10,"00-04",0.0653505558392797,0.0441638288083805,0.0956837416962861,-2.66040558734669,0.0446766844645435
"sud-ouest",10,"05-09",0.0786763993980814,0.0518097084531173,0.117745136461206,-2.46046810255083,0.051899757988934
"sud-ouest",10,"10-14",0.0780244846713443,0.0353187543296443,0.163610153472709,-2.46949598368703,0.182757574990467
"ville d'abidjan",11,"80-84",0.125458729951891,0.0556347236745899,0.258891161134065,-1.94172262659605,0.206189772829326
"ville d'abidjan",11,"85-89",0.133367366364417,0.0744524619010138,0.227445709462323,-1.87150769208556,0.109550495224302
"ville d'abidjan",11,"90-94",0.0880335478168131,0.0521050159677577,0.144947907454777,-2.33788523748949,0.082541175557528
"ville d'abidjan",11,"95-99",0.103447961634528,0.0758464989301217,0.13957688847412,-2.15948763737538,0.0302130483828254
"ville d'abidjan",11,"00-04",0.0837445468668723,0.0616662532031915,0.112777450957069,-2.39252414821297,0.0283219317478256
"ville d'abidjan",11,"05-09",0.0992859699726439,0.0738680334898868,0.132201700838196,-2.20518354370217,0.0272517717222034
"ville d'abidjan",11,"10-14",0.080053854366045,0.0418933196488516,0.14761908101864,-2.4416155432096,0.12329767063045
