"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.123606527518559,0.0851055993751514,0.176171011560708,-1.9587118043214,0.0450937493973393
"All",0,"85-89",0.159933743358705,0.133627862196492,0.190280817321678,-1.65872114021966,0.0115385386333657
"All",0,"90-94",0.18034944386554,0.156288864194016,0.207204454104112,-1.51398177466972,0.0077122071846922
"All",0,"95-99",0.175501853166363,0.159077144882905,0.193232728316098,-1.54712529217001,0.00362376537050608
"All",0,"00-04",0.136132671750589,0.125527330840945,0.147482904177882,-1.84778926395024,0.00226643912899095
"All",0,"05-09",0.117715792441788,0.108417008910709,0.127697891230599,-2.01424105425142,0.00224048579780195
"All",0,"10-14",0.103957103167983,0.0948670113255184,0.113808683661092,-2.15400994324372,0.00268692938963689
"bandundu",1,"80-84",0.163736286605229,0.0592925018906552,0.378193172480667,-1.63068688490012,0.334439941341929
"bandundu",1,"85-89",0.166432516213704,0.0865896292620839,0.296036388172106,-1.6111247440289,0.144436507254608
"bandundu",1,"90-94",0.19700965625653,0.118956386801705,0.308353168599584,-1.40508994458107,0.0928605068744139
"bandundu",1,"95-99",0.150042466954658,0.109890608053301,0.201543206905691,-1.73426802005476,0.0332871683777527
"bandundu",1,"00-04",0.107560932073379,0.0854932893910702,0.134487033523259,-2.11590074311599,0.0168007683541139
"bandundu",1,"05-09",0.0961230066168637,0.0766261390454879,0.119936329799847,-2.24106459166253,0.0160146324842679
"bandundu",1,"10-14",0.0727653538907154,0.0549266690202694,0.0958102185002009,-2.54496672388145,0.0234749788993722
"bas-congo",2,"80-84",0.0873426198171164,0.0233528315289073,0.276950921491171,-2.34652199879473,0.500708369544484
"bas-congo",2,"85-89",0.206063186405841,0.105976253354593,0.362362520420688,-1.34882102634131,0.159881926906347
"bas-congo",2,"90-94",0.239827829067232,0.13247732909782,0.394599903446905,-1.15362366130882,0.137058537097765
"bas-congo",2,"95-99",0.197113846898554,0.138560630689729,0.272581116932296,-1.40443146208118,0.0465487201441149
"bas-congo",2,"00-04",0.150066065507568,0.12356917631736,0.18107082784327,-1.73408298848754,0.0131755015920424
"bas-congo",2,"05-09",0.129156577141923,0.0917317526548166,0.178843539410048,-1.90843674897023,0.0384322991507928
"bas-congo",2,"10-14",0.117104396197581,0.0824990044965331,0.1636366308669,-2.02014115247514,0.0393361304680222
"equateur",3,"80-84",0.148397752909502,0.0600626589899168,0.322125294908701,-1.74722338318544,0.2619872531955
"equateur",3,"85-89",0.170325344356856,0.102604546740727,0.269328508155323,-1.583323244372,0.0891759431571841
"equateur",3,"90-94",0.23041390044486,0.155668072341578,0.327143876520556,-1.205975578486,0.0611938929248529
"equateur",3,"95-99",0.17361698010742,0.123811257882042,0.238015523304535,-1.56020676139204,0.0409491899221936
"equateur",3,"00-04",0.133214411658926,0.103153848732107,0.170370942312591,-1.87283169535351,0.0218672287226081
"equateur",3,"05-09",0.133762083809392,0.103284688394868,0.171512662841258,-1.86809687290972,0.0223712775037341
"equateur",3,"10-14",0.14124979060275,0.110987236792177,0.178110762817101,-1.80494819980908,0.0197937979261999
"kasai-occidental",4,"80-84",0.232627552551225,0.131315657881287,0.378083355858188,-1.19353358568294,0.126044920818531
"kasai-occidental",4,"85-89",0.230523892724109,0.15311150654329,0.331743899536515,-1.20535538998825,0.0663999476082453
"kasai-occidental",4,"90-94",0.189795648086018,0.13228527124956,0.264681831364285,-1.45133854519441,0.0480351353019854
"kasai-occidental",4,"95-99",0.223945039844686,0.195039239412318,0.25577360372411,-1.24282267870401,0.00795129784790804
"kasai-occidental",4,"00-04",0.187318279151289,0.147839804843291,0.234438644639422,-1.46753034803156,0.0210131821700275
"kasai-occidental",4,"05-09",0.157341514128645,0.122259590831691,0.20019407685299,-1.67814306618319,0.0223573639400305
"kasai-occidental",4,"10-14",0.105018412604868,0.0710419657137205,0.152575511045177,-2.14266745239468,0.04771398533011
"kasai-oriental",5,"80-84",0.109542171019364,0.0431248213958784,0.251377685197737,-2.09542614646528,0.262481884923599
"kasai-oriental",5,"85-89",0.153669582637963,0.103176621426974,0.222735872199884,-1.70610511751305,0.0542034221688426
"kasai-oriental",5,"90-94",0.157839011814465,0.122912986499078,0.200421565186423,-1.67439559232043,0.0220036773570119
"kasai-oriental",5,"95-99",0.151332981673587,0.119198847437852,0.190258739912159,-1.72418431918877,0.0198090628664482
"kasai-oriental",5,"00-04",0.129775950325786,0.100750697758137,0.165622999032888,-1.90294120229602,0.0212884823395531
"kasai-oriental",5,"05-09",0.130134775278337,0.105473881948766,0.159533316053566,-1.89976763920573,0.0147532601898319
"kasai-oriental",5,"10-14",0.111249105418314,0.0842346075962655,0.145550305672166,-2.07804510784829,0.0247123068682416
"katanga",6,"80-84",0.0227011377736659,0.0051593763178568,0.0942350133283172,-3.76237745772388,0.585238222071876
"katanga",6,"85-89",0.215085643976789,0.159601244962887,0.283355291674234,-1.29453831833532,0.0349969451588437
"katanga",6,"90-94",0.221874663503497,0.175348075610492,0.27660567242671,-1.25477496847371,0.022411130072206
"katanga",6,"95-99",0.197727635761172,0.163696492441852,0.236830083980778,-1.40055764973994,0.0138211359215408
"katanga",6,"00-04",0.181883120990648,0.155433399232893,0.21170550125257,-1.50364092184645,0.0092954005222581
"katanga",6,"05-09",0.114802447847064,0.0943138754424297,0.139058531342107,-2.04259803650136,0.0125383413410125
"katanga",6,"10-14",0.124197764768918,0.109186330637516,0.140946493899276,-1.95326513427261,0.00553482458280294
"kinshasa",7,"80-84",0.127802620508018,0.0485864451726379,0.295992860400726,-1.92052870443272,0.289232631972472
"kinshasa",7,"85-89",0.0598696745923533,0.0301135613037876,0.115526417336067,-2.75384840001918,0.13433278870999
"kinshasa",7,"90-94",0.0975004777956162,0.0647297834822834,0.144302182913339,-2.22531088233382,0.0516196920674655
"kinshasa",7,"95-99",0.103059975427673,0.078556123502933,0.13409493786749,-2.16367789311255,0.0231872317643891
"kinshasa",7,"00-04",0.0938557383063093,0.0695316631061314,0.125540954903438,-2.26743961806547,0.0277447142607955
