"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.145912740166115,0.136134094917745,0.156266734537107,-1.76702459342295,0.00169752630047142
"All",0,"85-89",0.115286878710772,0.107159214422969,0.123945421592319,-2.03783981621755,0.00176118347403928
"All",0,"90-94",0.0842570206126213,0.0777627143456249,0.0912400366590308,-2.38586383863862,0.00198289586448402
"All",0,"95-99",0.0593929966649738,0.0477210093751435,0.0736988710819144,-2.7623490969325,0.0139073225110657
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"frontier governorates",1,"80-84",0.0966576235094271,0.0737192567069966,0.125764377384386,-2.23492655599683,0.0228059617028074
"frontier governorates",1,"85-89",0.0754348893915695,0.0572922668436036,0.0987210581370864,-2.50605358424706,0.0225831083522095
"frontier governorates",1,"90-94",0.0585451977442657,0.0409996553811724,0.0829497873757921,-2.77762727390304,0.0365487359112545
"frontier governorates",1,"95-99",0.0496520669905816,0.0221256338875345,0.107653966017742,-2.95178814196136,0.182307910626033
"frontier governorates",1,"00-04",NA,NA,NA,NA,NA
"frontier governorates",1,"05-09",NA,NA,NA,NA,NA
"frontier governorates",1,"10-14",NA,NA,NA,NA,NA
"lower egypt",2,"80-84",0.120990142171566,0.107557151030322,0.135845431338741,-1.98308703982275,0.00459459419005608
"lower egypt",2,"85-89",0.0993653209796275,0.0873118518491521,0.112876986336836,-2.20429654441616,0.00529435292974237
"lower egypt",2,"90-94",0.0688152660772113,0.0603426672282308,0.0783782582274131,-2.60503207187718,0.0051346248897928
"lower egypt",2,"95-99",0.0296695659495045,0.0176190607014816,0.0495462992344125,-3.48751486222457,0.0740875031496641
"lower egypt",2,"00-04",NA,NA,NA,NA,NA
"lower egypt",2,"05-09",NA,NA,NA,NA,NA
"lower egypt",2,"10-14",NA,NA,NA,NA,NA
"upper egypt",3,"80-84",0.201487295085858,0.18357057281495,0.22068004185754,-1.37702455078844,0.00346169272763195
"upper egypt",3,"85-89",0.14943902323217,0.135583683113059,0.16444089695736,-1.73900766619434,0.00335098524526462
"upper egypt",3,"90-94",0.116343291025039,0.105731026158198,0.127868409983667,-2.02752342287625,0.00301304481297858
"upper egypt",3,"95-99",0.0987478294178507,0.077424546805653,0.125147084296362,-2.21121567404826,0.0185091190998675
"upper egypt",3,"00-04",NA,NA,NA,NA,NA
"upper egypt",3,"05-09",NA,NA,NA,NA,NA
"upper egypt",3,"10-14",NA,NA,NA,NA,NA
"urban governorates",4,"80-84",0.0976345183990462,0.07891172392451,0.120219735463412,-2.223788525227,0.014185519145422
"urban governorates",4,"85-89",0.0818594753132349,0.0684284445257927,0.097650390874109,-2.41734639442476,0.00977087630423421
"urban governorates",4,"90-94",0.0406506436821874,0.0309555572093987,0.0532154232554841,-3.1612406302387,0.0207775308569076
"urban governorates",4,"95-99",0.0282301295499102,0.0133792089841875,0.0585867002265093,-3.53872918629114,0.151094290641098
"urban governorates",4,"00-04",NA,NA,NA,NA,NA
"urban governorates",4,"05-09",NA,NA,NA,NA,NA
"urban governorates",4,"10-14",NA,NA,NA,NA,NA
