"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.240205755213474,0.223526179021768,0.257716862981585,-1.15155179663396,0.00228466018995048
"All",0,"85-89",0.222985999185655,0.209798185341024,0.23675441995813,-1.24834938370309,0.00157537603840555
"All",0,"90-94",0.216199967719704,0.204452324548893,0.228428801706953,-1.28795017105235,0.00130288179943128
"All",0,"95-99",0.16574948659302,0.155811701400121,0.176188823747632,-1.61605620145955,0.00141285807876952
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"addis",1,"80-84",0.0778344678694927,0.0535023436656673,0.111923953581078,-2.47214037855894,0.0418390375185206
"addis",1,"85-89",0.0833900495299836,0.0646927649541663,0.106873687342135,-2.39715303580918,0.0195539839881849
"addis",1,"90-94",0.115930770987063,0.0895480036860053,0.148815961263294,-2.03154216182076,0.0215354821399178
"addis",1,"95-99",0.10959169159674,0.0815182027453579,0.145798524375384,-2.09491856596725,0.0278316338628585
"addis",1,"00-04",NA,NA,NA,NA,NA
"addis",1,"05-09",NA,NA,NA,NA,NA
"addis",1,"10-14",NA,NA,NA,NA,NA
"affar",2,"80-84",0.355925835987717,0.29942985577656,0.416740448232138,-0.593091497711553,0.0171834020179318
"affar",2,"85-89",0.3550134256191,0.305825821824413,0.4074684504091,-0.597073894260147,0.0129028008559957
"affar",2,"90-94",0.265777571915488,0.23060656233727,0.304191907946865,-1.01615225507747,0.00927296374531181
"affar",2,"95-99",0.202343054176941,0.173878619836018,0.234146503325572,-1.37171406762181,0.00907096917231512
"affar",2,"00-04",NA,NA,NA,NA,NA
"affar",2,"05-09",NA,NA,NA,NA,NA
"affar",2,"10-14",NA,NA,NA,NA,NA
"amhara",3,"80-84",0.256831626651272,0.222107071903462,0.294926786294425,-1.06250191092218,0.00948943532523226
"amhara",3,"85-89",0.214250792584895,0.18741290337508,0.243778934770667,-1.29949041016149,0.00729643244157718
"amhara",3,"90-94",0.203026120578358,0.18254005912856,0.225177974080407,-1.36748726106516,0.00451826833047044
"amhara",3,"95-99",0.162315487583428,0.142290246645576,0.18455258272017,-1.64109965714655,0.00627813623072238
"amhara",3,"00-04",NA,NA,NA,NA,NA
"amhara",3,"05-09",NA,NA,NA,NA,NA
"amhara",3,"10-14",NA,NA,NA,NA,NA
"ben-gumz",4,"80-84",0.206261283744569,0.159146750018592,0.262961831471052,-1.34761060158179,0.0261557414363489
"ben-gumz",4,"85-89",0.247439561694306,0.19549139424228,0.307908693798727,-1.1123149530694,0.0238050117447058
"ben-gumz",4,"90-94",0.233282007963557,0.197771264195906,0.272999071763012,-1.18987100083404,0.0115250640348436
"ben-gumz",4,"95-99",0.191941298372078,0.153563827863244,0.237221797779499,-1.43744511877671,0.0189032100112586
"ben-gumz",4,"00-04",NA,NA,NA,NA,NA
"ben-gumz",4,"05-09",NA,NA,NA,NA,NA
"ben-gumz",4,"10-14",NA,NA,NA,NA,NA
"dire dawa",5,"80-84",0.18205900631305,0.134760530729547,0.241328142634657,-1.50245935410069,0.033186087667825
"dire dawa",5,"85-89",0.196876394169442,0.158999689188027,0.241188373340276,-1.40593254110085,0.0175646355751575
"dire dawa",5,"90-94",0.191346607010375,0.152354736850274,0.23752131567397,-1.44128390656235,0.0196817673559592
"dire dawa",5,"95-99",0.16458298366173,0.132889878017745,0.202073168269799,-1.6245161179882,0.0164171504551484
"dire dawa",5,"00-04",NA,NA,NA,NA,NA
"dire dawa",5,"05-09",NA,NA,NA,NA,NA
"dire dawa",5,"10-14",NA,NA,NA,NA,NA
"gambela",6,"80-84",0.281518073562902,0.213435725987111,0.361340874499943,-0.936943900621578,0.0351374170173982
"gambela",6,"85-89",0.2790482314222,0.219289007618121,0.34783696694934,-0.949187600509299,0.0267610863383578
"gambela",6,"90-94",0.272968589360488,0.228998976035391,0.321856367010243,-0.979612951153919,0.0142977566139239
"gambela",6,"95-99",0.201778489019167,0.163303357180789,0.246646347381128,-1.37521563492008,0.0174133783709239
"gambela",6,"00-04",NA,NA,NA,NA,NA
"gambela",6,"05-09",NA,NA,NA,NA,NA
"gambela",6,"10-14",NA,NA,NA,NA,NA
"harari",7,"80-84",0.314632634122913,0.244509725229017,0.394368316919948,-0.778549277697081,0.0318092631320847
"harari",7,"85-89",0.219949686443211,0.176751818794678,0.270239443282361,-1.26595959995171,0.0193375311128348
"harari",7,"90-94",0.259337213716601,0.215023562952986,0.309186249928423,-1.0494162441606,0.0156881185170602
"harari",7,"95-99",0.131139277721277,0.102914461466063,0.165675309553405,-1.89092289173458,0.0195907432991395
"harari",7,"00-04",NA,NA,NA,NA,NA
"harari",7,"05-09",NA,NA,NA,NA,NA
"harari",7,"10-14",NA,NA,NA,NA,NA
"oromiya",8,"80-84",0.241481145422756,0.213206791130779,0.272207842562963,-1.14457625893402,0.00675831732289337
"oromiya",8,"85-89",0.226696606385733,0.203670424694711,0.251503856648502,-1.22705887231363,0.00484683445407802
"oromiya",8,"90-94",0.224172089532207,0.202238905579459,0.247745262705617,-1.24151671699164,0.00445659514623739
"oromiya",8,"95-99",0.170647234896915,0.153563242438881,0.189206982086617,-1.58104712364381,0.00412466664486927
"oromiya",8,"00-04",NA,NA,NA,NA,NA
"oromiya",8,"05-09",NA,NA,NA,NA,NA
"oromiya",8,"10-14",NA,NA,NA,NA,NA
"snnp",9,"80-84",0.229466558992082,0.195886489868036,0.266892495648418,-1.21132574908513,0.0105044746302357
"snnp",9,"85-89",0.239169867592856,0.21332874162418,0.267078483074321,-1.15723607412065,0.0056819846510712
"snnp",9,"90-94",0.227608800697772,0.203223506848175,0.25398741275877,-1.22186278763171,0.00542835730406263
"snnp",9,"95-99",0.169381720278902,0.150309460253558,0.190331908211346,-1.59001547103529,0.00526092035531648
"snnp",9,"00-04",NA,NA,NA,NA,NA
"snnp",9,"05-09",NA,NA,NA,NA,NA
"snnp",9,"10-14",NA,NA,NA,NA,NA
"somali",10,"80-84",0.167042619727787,0.115840014893708,0.234865430877919,-1.60673348891135,0.0471736904425355
"somali",10,"85-89",0.155092948891612,0.106906945064721,0.219656021950837,-1.69520201516123,0.0475813729860774
"somali",10,"90-94",0.213349899749035,0.153713789275531,0.288242572608837,-1.30485001038258,0.0418416642170743
"somali",10,"95-99",0.151108531731539,0.117083776653079,0.192861116989821,-1.72593301153132,0.0225632585098264
"somali",10,"00-04",NA,NA,NA,NA,NA
"somali",10,"05-09",NA,NA,NA,NA,NA
"somali",10,"10-14",NA,NA,NA,NA,NA
"tigray",11,"80-84",0.271626718978744,0.226643085556808,0.321823221011094,-0.986384898385267,0.0151169193327897
"tigray",11,"85-89",0.217966177788163,0.186795528060006,0.252721815095838,-1.27755808752858,0.00973780902220698
"tigray",11,"90-94",0.203981357974602,0.176889918894489,0.234042195613023,-1.3615939980089,0.00806070227741213
"tigray",11,"95-99",0.142972954480489,0.120913868221796,0.168286021497061,-1.79081399360005,0.00969561492035996
"tigray",11,"00-04",NA,NA,NA,NA,NA
"tigray",11,"05-09",NA,NA,NA,NA,NA
"tigray",11,"10-14",NA,NA,NA,NA,NA
