"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.129625526256417,0.0952589092357141,0.174006050878203,-1.90427382225191,0.0313042285584509
"All",0,"85-89",0.0744602393666808,0.0548289413928379,0.100374003322476,-2.5201118091959,0.0278416370518994
"All",0,"90-94",0.0695725580727475,0.053199699112578,0.0905027021932705,-2.59327388650485,0.0212574643572403
"All",0,"95-99",0.0581887349857475,0.0461385328300735,0.0731448045446091,-2.78411311983439,0.0155945775764132
"All",0,"00-04",0.0631233898019238,0.0545680179441791,0.0729166525835238,-2.69746020836394,0.00623266930386609
"All",0,"05-09",0.0543517510430375,0.0455939473751735,0.0646777762861213,-2.85639383909939,0.00890171038550366
"All",0,"10-14",0.0810696023950292,0.062922882387624,0.103869669823736,-2.42790230786467,0.0193945983804248
"east (haut-ogooué & ogooué-lolo)",1,"80-84",0.0963065572720506,0.052088335584659,0.171279348672868,-2.23895378223888,0.114209053293398
"east (haut-ogooué & ogooué-lolo)",1,"85-89",0.066572887680943,0.0435455411978679,0.100497851441344,-2.64056547714815,0.0524476907030902
"east (haut-ogooué & ogooué-lolo)",1,"90-94",0.056817126589256,0.0390004923759729,0.0820777934035899,-2.80942238636036,0.0406113996660445
"east (haut-ogooué & ogooué-lolo)",1,"95-99",0.0746532168612523,0.0582429637478886,0.095219650109635,-2.51731495230644,0.0183926126576898
"east (haut-ogooué & ogooué-lolo)",1,"00-04",0.0609521383522931,0.0471554371808362,0.0784531090951626,-2.73477750975549,0.0191497505332214
"east (haut-ogooué & ogooué-lolo)",1,"05-09",0.0539175084373612,0.0396398026374031,0.0729472204223168,-2.86487450860299,0.0270914986506983
"east (haut-ogooué & ogooué-lolo)",1,"10-14",0.0773648495134445,0.0547394039142595,0.108270913465252,-2.47870133298699,0.0356713194616322
"libreville,port-gentil",2,"80-84",0.150386737210699,0.0857877438255917,0.250310785573634,-1.73157103680569,0.104839582966272
"libreville,port-gentil",2,"85-89",0.0627085297735785,0.0316634411289194,0.120407525195634,-2.70449682191243,0.133423703499297
"libreville,port-gentil",2,"90-94",0.0752711339118575,0.0465389187817151,0.119518468548809,-2.50840386327727,0.0680824456258921
"libreville,port-gentil",2,"95-99",0.0419969049312516,0.0235155865833485,0.0739037334247304,-3.12725508527142,0.0934148274332061
"libreville,port-gentil",2,"00-04",0.0543435946574808,0.0412125156351053,0.0713471477047193,-2.85655254215902,0.0219493680864971
"libreville,port-gentil",2,"05-09",0.0471738375571026,0.0331919533960595,0.0666395285862823,-3.00559302627531,0.0348900835900036
