"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.180052804151373,0.128417286288104,0.246576759856648,-1.51598977861212,0.0414503243250884
"All",0,"85-89",0.126989229975665,0.10236129779303,0.156509455587825,-1.92784561303977,0.0154238431022501
"All",0,"90-94",0.10595968245073,0.0900473420045829,0.124299801736676,-2.13269220456582,0.00846851887464064
"All",0,"95-99",0.0918789814404281,0.0797811974352889,0.105600720649474,-2.29090535807214,0.0062072767675344
"All",0,"00-04",0.0846898971501586,0.0740045543450788,0.0967568615811035,-2.38026660157128,0.00558518065682878
"All",0,"05-09",0.0665175416777385,0.0583059602340014,0.0757925296752939,-2.64145647400168,0.0051401737130228
"All",0,"10-14",0.0510592000720327,0.0431340809395901,0.0603485839447614,-2.92236066987444,0.00815449846231319
"Banjul",1,"80-84",0.11242658931451,0.0359681939078253,0.30071565708329,-2.06619076497272,0.388918282883872
"Banjul",1,"85-89",0.08671613242772,0.0470056138674719,0.154534283443454,-2.35440681134697,0.111660722591301
"Banjul",1,"90-94",0.0818291939808402,0.0504220020014299,0.130118810549777,-2.41774936194632,0.0698065465166304
"Banjul",1,"95-99",0.0492559976554213,0.0335100851522532,0.0718506514927941,-2.9602136984382,0.0419869586091135
"Banjul",1,"00-04",0.0536386152713137,0.0352372697125478,0.0808441357714411,-2.87035526670365,0.0502653386049903
"Banjul",1,"05-09",0.0560732441929318,0.0411545786401742,0.0759714803678637,-2.82338980579408,0.0274968904921757
"Banjul",1,"10-14",0.0509101204527574,0.0363852254753825,0.0708072543742027,-2.92544176996394,0.0320873167208797
"Central River",2,"80-84",0.145982465418981,0.0639936549982398,0.299413536760114,-1.76646521124828,0.218599159610008
"Central River",2,"85-89",0.111390157362317,0.0611311108812466,0.194413434154702,-2.0766192974367,0.11169498186221
"Central River",2,"90-94",0.0843157345791468,0.0582754368359408,0.120503150535275,-2.3851031194474,0.0411171499398363
"Central River",2,"95-99",0.107744517290485,0.078923852786361,0.145427941176996,-2.11398966309027,0.0306385468266129
"Central River",2,"00-04",0.078095409534366,0.060697219658619,0.0999499391356369,-2.46851045879573,0.0190798547060728
"Central River",2,"05-09",0.057935079796278,0.0432713689552358,0.0771671951287768,-2.78875111982584,0.0245790604343182
"Central River",2,"10-14",0.0414342515859784,0.0297525510696155,0.0574310321778525,-3.14133028346968,0.0306807909886832
"Lower River",3,"80-84",0.380217720225482,0.242399459180379,0.5404913325186,-0.488624218103235,0.11030429629241
"Lower River",3,"85-89",0.167404196857726,0.109657158985721,0.247121025879061,-1.60413706550732,0.062530560258133
"Lower River",3,"90-94",0.14120334450311,0.102814857812318,0.190875725988393,-1.80533116054463,0.0339250993477807
"Lower River",3,"95-99",0.120083341216744,0.0798013294353281,0.176792299954977,-1.99164118519822,0.0535158764478045
"Lower River",3,"00-04",0.083504072043985,0.0530074354034251,0.129153353987602,-2.39566222657069,0.0617892194569838
"Lower River",3,"05-09",0.0721624569827357,0.0533225443957367,0.0969769955208195,-2.55393673178708,0.0271019656373555
"Lower River",3,"10-14",0.0341724907349223,0.020928351185286,0.0553243485741579,-3.34156430051314,0.0661080259898722
"North Bank",4,"80-84",0.206129558952067,0.111197271164592,0.350176997568767,-1.34841537739965,0.138781910559342
"North Bank",4,"85-89",0.148718852436124,0.108097720097222,0.201161826321128,-1.74468482006566,0.0348018238094207
"North Bank",4,"90-94",0.101704347345049,0.0747455903442753,0.136947263839454,-2.17842919980219,0.0296604878495571
"North Bank",4,"95-99",0.0963371102518396,0.0734005531243227,0.125470468102848,-2.23860277583124,0.0229603801130745
"North Bank",4,"00-04",0.0930753962786536,0.0720446243755673,0.119455037148162,-2.2766494421841,0.0202704402088814
"North Bank",4,"05-09",0.0552336937818162,0.0404265233170898,0.0750402159642046,-2.83936444023792,0.0279443050065035
"North Bank",4,"10-14",0.0289721481203409,0.0162695981646733,0.051077321267972,-3.51202019273291,0.0906268952558055
"Upper River",5,"80-84",0.240891513655175,0.154017992587896,0.356137711992972,-1.14779801910832,0.0803667108216594
"Upper River",5,"85-89",0.166198588732718,0.0949877937656373,0.274596819663229,-1.61281186701242,0.107089207664486
"Upper River",5,"90-94",0.212514707600261,0.1675349536119,0.265716007880767,-1.30983349600166,0.0224038460568193
"Upper River",5,"95-99",0.131261152030194,0.108653039737213,0.157740974152454,-1.88985369421605,0.0120019095416129
"Upper River",5,"00-04",0.121493189324977,0.0884757591694791,0.164607018102139,-1.97836545394422,0.0326264288307999
"Upper River",5,"05-09",0.117911337664349,0.0867427043823727,0.15833781882617,-2.01235960882907,0.0303965007889135
"Upper River",5,"10-14",0.0589104907224678,0.0450131271113836,0.0767536818828962,-2.77101907096857,0.0209554541334977
"Western",6,"80-84",0.149611733336981,0.0716013076550187,0.286396322011608,-1.73764953563788,0.17704925950264
"Western",6,"85-89",0.123188497679075,0.0765427177575752,0.192339905547995,-1.96257635088435,0.0724897657859785
"Western",6,"90-94",0.0835105284343054,0.0565300491858846,0.121707018790017,-2.39557786661856,0.0457484108167559
"Western",6,"95-99",0.0864058248417923,0.0626132756808809,0.118100291487297,-2.35833137249098,0.0314869840982253
"Western",6,"00-04",0.0857678443633628,0.0664872691367758,0.109980857708617,-2.36644037687547,0.0197587198239744
"Western",6,"05-09",0.0574260584231104,0.0462651885249228,0.0710786851674464,-2.79811618904169,0.0135180775992567
"Western",6,"10-14",0.0616396329390565,0.0448999044982121,0.0840709720806555,-2.72282900633811,0.0291359853816792
