"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.159540092004857,0.138017384706706,0.183703807483537,-1.66165400035558,0.00754102400953714
"All",0,"85-89",0.127447763983259,0.11315872314004,0.143249692499536,-1.92371593524273,0.00475544699217465
"All",0,"90-94",0.104525561822872,0.0922376145212411,0.118237293987105,-2.14792202410648,0.00500737941137235
"All",0,"95-99",0.116078542637328,0.103128180907327,0.130418670346064,-2.03010115586878,0.00459362684654363
"All",0,"00-04",0.0972755808754669,0.0850879936591201,0.110997071315107,-2.22786933281499,0.00564609056781652
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"ashanti",1,"80-84",0.127808487181274,0.0875136034741802,0.1829371718782,-1.92047607497958,0.0467774449963783
"ashanti",1,"85-89",0.110734414739267,0.0816410862101233,0.148518672454142,-2.08326126265253,0.0295630433924345
"ashanti",1,"90-94",0.0699211670770004,0.0448572818496724,0.107414510494346,-2.58790092632602,0.0576202195451152
"ashanti",1,"95-99",0.138006053728243,0.100192302054488,0.187123299907665,-1.83195069596143,0.034328090152556
"ashanti",1,"00-04",0.0955738751888832,0.0677675576692992,0.133159928028931,-2.24740111570346,0.0364311940391676
"ashanti",1,"05-09",NA,NA,NA,NA,NA
"ashanti",1,"10-14",NA,NA,NA,NA,NA
"brong ahafo",2,"80-84",0.131807333521429,0.0794588396265622,0.210748055556798,-1.8850723942127,0.08299706790854
"brong ahafo",2,"85-89",0.106564676411989,0.0727609085546046,0.153473823915233,-2.12632185543884,0.0456385725481203
"brong ahafo",2,"90-94",0.0737582217205989,0.0487899131203676,0.110026121750026,-2.53034283025572,0.0503674071381824
"brong ahafo",2,"95-99",0.0824095218402219,0.055068963677175,0.121577609319017,-2.41005020231215,0.0486885405945912
"brong ahafo",2,"00-04",0.0993049887049328,0.0667887209159961,0.145188959739056,-2.20497089156718,0.0486100035483858
"brong ahafo",2,"05-09",NA,NA,NA,NA,NA
"brong ahafo",2,"10-14",NA,NA,NA,NA,NA
"central",3,"80-84",0.187690460489712,0.10336079547126,0.316533861805687,-1.46508735469037,0.125863216511594
"central",3,"85-89",0.14816839228566,0.0936116305895875,0.226572727013462,-1.74903945107706,0.0707352023448596
"central",3,"90-94",0.083919365510623,0.0555601630564159,0.124840368267307,-2.39024798630447,0.0510588636641802
"central",3,"95-99",0.0839348104595922,0.0516871777589789,0.133470056845388,-2.39004709817137,0.0702350425996241
"central",3,"00-04",0.0802697167746752,0.045681682244666,0.137278978871658,-2.43868803292391,0.0939056282194246
"central",3,"05-09",NA,NA,NA,NA,NA
"central",3,"10-14",NA,NA,NA,NA,NA
"eastern",4,"80-84",0.0945758728972558,0.0512321752339224,0.168092643698519,-2.25900108249137,0.113324085241173
"eastern",4,"85-89",0.0418269422040309,0.0219360797414098,0.078310032630786,-3.13148772430448,0.11544974839536
"eastern",4,"90-94",0.125235405871354,0.0864661154790101,0.178000804879094,-1.94375960169278,0.0445761056632714
"eastern",4,"95-99",0.102547859125457,0.0649799797920654,0.158161483664937,-2.16923018610656,0.0643677474767198
"eastern",4,"00-04",0.079672902120521,0.0481625455670397,0.129004826844116,-2.44679961853088,0.0750712113391721
"eastern",4,"05-09",NA,NA,NA,NA,NA
"eastern",4,"10-14",NA,NA,NA,NA,NA
"greater accra",5,"80-84",0.146404454589713,0.100476050865189,0.208461751004002,-1.76308445279275,0.0478782864341392
"greater accra",5,"85-89",0.142371601225153,0.102182575637302,0.194935267473182,-1.79573035452083,0.0370920371886357
"greater accra",5,"90-94",0.105327726032581,0.0660974542847349,0.16375917784795,-2.13938078724465,0.0674065771409682
"greater accra",5,"95-99",0.0719667066086147,0.0498102030974106,0.102911409579451,-2.55686400478327,0.039915370732793
"greater accra",5,"00-04",0.0675911340563556,0.0399784212760126,0.112049698294395,-2.62429459441534,0.0799883971458944
"greater accra",5,"05-09",NA,NA,NA,NA,NA
"greater accra",5,"10-14",NA,NA,NA,NA,NA
"upper w,e & northern",6,"80-84",0.266004680149737,0.207509413290274,0.334038951742176,-1.01498874919359,0.0274986323335714
"upper w,e & northern",6,"85-89",0.185734423294327,0.152441744480032,0.224373250491323,-1.4779687524609,0.0146969441088614
"upper w,e & northern",6,"90-94",0.15026533935747,0.127612711384453,0.176127231014621,-1.73252147636741,0.00936900419900821
"upper w,e & northern",6,"95-99",0.15629073983678,0.135061065699433,0.180162335707279,-1.68608996718357,0.00759788538057228
