"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.15423900580316,0.131931641675559,0.179538060522041,-1.70173342185908,0.00864676721246812
"All",0,"85-89",0.111395654523511,0.0990483103394416,0.125068544851465,-2.07656376187582,0.00448644162971
"All",0,"90-94",0.080093907453561,0.0730621705467873,0.0877383434834398,-2.44107180208599,0.00257741641275071
"All",0,"95-99",0.0636084335523581,0.0580307018982017,0.0696826202203681,-2.68928766463999,0.00248545993362131
"All",0,"00-04",0.0532996367866854,0.0482248500842301,0.0588754180734083,-2.87705312015744,0.00289198034586655
"All",0,"05-09",0.0422975697368649,0.0380346535902435,0.0470149213834461,-3.11980748275558,0.00318852080711789
"All",0,"10-14",0.0355894353149648,0.0298856864669512,0.0423342535453016,-3.29946826791816,0.00848742091829932
"aceh",1,"80-84",0.106899154128393,0.0604756563813631,0.18205379090959,-2.12281359854548,0.100169220582219
"aceh",1,"85-89",0.12079624568827,0.0715652648445405,0.196718304924656,-1.9849114669473,0.0869616205764451
"aceh",1,"90-94",0.0953474699544866,0.0695835320950348,0.1293248052685,-2.2500231278789,0.0306406351701757
"aceh",1,"95-99",0.0591886567461889,0.0414851664224545,0.0837865914084622,-2.76601271958814,0.0364192949139762
"aceh",1,"00-04",0.0565872619824035,0.0386200656962198,0.0821986399846669,-2.81371996643724,0.0418338369442419
"aceh",1,"05-09",0.0596623057933865,0.0431310196326137,0.0819868203022429,-2.75753863266553,0.0304274043740555
"aceh",1,"10-14",0.0345775325769757,0.0175468748000404,0.0670103782254457,-3.32936167195251,0.126035102107904
"bali",2,"80-84",0.113349925727752,0.0670942495240645,0.18516542262793,-2.05697067799944,0.0861379763615193
"bali",2,"85-89",0.0535004906259841,0.028003815004594,0.0998270136637222,-2.87307962785205,0.118232080247542
"bali",2,"90-94",0.0379019795869119,0.0243258855138235,0.0585997265225827,-3.23411299522735,0.0544800880158007
"bali",2,"95-99",0.0363368964383067,0.0221067765239538,0.0591726666914546,-3.27790810003378,0.0681363399716306
"bali",2,"00-04",0.0225069038559101,0.0121297482236621,0.041389887071799,-3.77116912888072,0.102901125239632
"bali",2,"05-09",0.027172746519293,0.015844780471426,0.0462191129879105,-3.57799202152605,0.0790188140751199
"bali",2,"10-14",0.048606824970774,0.0266769760846354,0.0869536224113834,-2.97416345782005,0.100956349140325
"bengkulu",3,"80-84",0.126343424892484,0.0576916005483766,0.254615406128846,-1.9336835701374,0.192323973064795
"bengkulu",3,"85-89",0.092657818079079,0.0526687001499829,0.157946775753685,-2.28160631468858,0.0962368211218889
"bengkulu",3,"90-94",0.0840373086276832,0.0500071093831147,0.137864605011461,-2.38871478333444,0.0803504808983674
"bengkulu",3,"95-99",0.0695882668050515,0.0445752113064882,0.107064362040369,-2.59303123929763,0.0579815871107092
"bengkulu",3,"00-04",0.0346830858305841,0.0199937072108142,0.0595094069053844,-3.32620432781595,0.08337581996451
"bengkulu",3,"05-09",0.0367837220901399,0.0232080059206482,0.0578305097225686,-3.26522256142606,0.0586239185993313
"bengkulu",3,"10-14",0.0319386041268153,0.0124691519878119,0.079364709350556,-3.41148007190234,0.240143781429768
"central java",4,"80-84",0.17720732445625,0.111109489880499,0.270653442986377,-1.53538388415212,0.0770583807569869
"central java",4,"85-89",0.0680711205232787,0.0427593301395573,0.106696361721631,-2.61670345353715,0.0629531157288053
"central java",4,"90-94",0.0686281591699748,0.0496430622052073,0.0941544468828897,-2.60795566289229,0.0308091420559297
"central java",4,"95-99",0.0530408698645068,0.0381149471480321,0.0733660075661338,-2.88219318915538,0.0311813626561544
"central java",4,"00-04",0.0450252747573449,0.0301017622876584,0.0668375456101517,-3.05446088104402,0.0455156626089297
"central java",4,"05-09",0.0369870806539743,0.0222406419449386,0.060901987523509,-3.25949814728065,0.0714344883085319
"central java",4,"10-14",0.0435194946328575,0.0235533560513418,0.0790408376444313,-3.09005141727307,0.104834557142747
"central kalimantan",5,"80-84",0.220765847293878,0.113911889578646,0.384373249478184,-1.26120895651466,0.162539263168147
"central kalimantan",5,"85-89",0.111126868466949,0.0647784811205098,0.184108809300938,-2.07928200834981,0.0907788602682196
"central kalimantan",5,"90-94",0.0978825473451927,0.0715310479871607,0.132555791143144,-2.22097646175014,0.0305242221363099
"central kalimantan",5,"95-99",0.0828041080732337,0.0550725580839899,0.122686701361572,-2.40484339747371,0.0498522345407337
"central kalimantan",5,"00-04",0.0758125161075961,0.0527064097312517,0.10789444030669,-2.5006515565343,0.0392338205996414
"central kalimantan",5,"05-09",0.0572536468711166,0.0365713758510824,0.088557269887155,-2.80130592658672,0.0574862423644053
"central kalimantan",5,"10-14",0.0364850341641956,0.0158900761079272,0.0815606540218769,-3.27368586690883,0.189124087914359
"central sulawesi",6,"80-84",0.16986688753908,0.0982686403840763,0.277573443075315,-1.58657094853235,0.103333487687597
"central sulawesi",6,"85-89",0.16324194920463,0.119958737700031,0.218269066207881,-1.63430151035593,0.0334602568407928
"central sulawesi",6,"90-94",0.101433316521463,0.0702688085486485,0.144274595124879,-2.18139931742597,0.0418944762285168
"central sulawesi",6,"95-99",0.0807809978710519,0.0551074635941811,0.116935139885911,-2.43178263577903,0.0437601441920887
"central sulawesi",6,"00-04",0.0778408610931316,0.0570148745018658,0.105423551754288,-2.47205131034978,0.028985608047436
"central sulawesi",6,"05-09",0.0964157099580666,0.069563876546992,0.132160180901943,-2.2377002437687,0.0329374906609649
"central sulawesi",6,"10-14",0.080662643638474,0.0487312346980856,0.130643763700269,-2.43337758170874,0.0753751105658801
"east java",7,"80-84",0.0688331314364908,0.036638563133067,0.125628163050685,-2.60475330644982,0.114971595254696
"east java",7,"85-89",0.119727917155296,0.0868665407481839,0.162804251175813,-1.99500923333837,0.0332702171174204
"east java",7,"90-94",0.0930748825009872,0.0671062670385189,0.127716981556724,-2.27665552872045,0.0328728090314632
"east java",7,"95-99",0.0517368796520403,0.0340770312062681,0.0778114007573051,-2.90846115014737,0.0494852201940621
"east java",7,"00-04",0.0581407215862694,0.039094260605397,0.0856394839998042,-2.78498957120623,0.0452470937151754
"east java",7,"05-09",0.0295200877670756,0.0169896206878403,0.0508145052216481,-3.49271973115862,0.0831874283126915
"east java",7,"10-14",0.0149489773356041,0.0056285557155536,0.0390964207754417,-4.18805054763811,0.25318637560995
"east kalimantan",8,"80-84",0.197663290502939,0.113796157590452,0.320954576552578,-1.4009633269402,0.110517874743866
"east kalimantan",8,"85-89",0.134124758151926,0.0900266852100225,0.195190165228036,-1.86497043785843,0.0523258497782361
"east kalimantan",8,"90-94",0.080773123915692,0.0510358619245939,0.125545182754712,-2.4318886792777,0.0627458510920011
"east kalimantan",8,"95-99",0.0437305215670452,0.0254401852240301,0.0741699883331524,-3.08499346219788,0.0818288985777929
"east kalimantan",8,"00-04",0.0506200509802125,0.0342559672340679,0.0742006510664871,-2.93146132402804,0.043243672033259
"east kalimantan",8,"05-09",0.0283771872699007,0.0182630116316458,0.043842516403084,-3.53338211916917,0.0529638130506143
"east kalimantan",8,"10-14",0.0280769478891585,0.0118366500673387,0.0651308559550478,-3.54432775698773,0.201736538986628
"east nusa tenggara",9,"80-84",0.218585354847016,0.0856682242167269,0.455084611412028,-1.27392934635485,0.311433625053589
"east nusa tenggara",9,"85-89",0.103472643637237,0.0627144239022174,0.166027562592005,-2.15922154212128,0.07737055063126
"east nusa tenggara",9,"90-94",0.0906996723682141,0.0647223249178283,0.125702125834304,-2.30512168818717,0.0347979138217835
"east nusa tenggara",9,"95-99",0.0753151004178023,0.0483221793778618,0.115555496996809,-2.50777237891997,0.0581331963059988
"east nusa tenggara",9,"00-04",0.0723301456797496,0.0546658886881717,0.0951278992972767,-2.55143491409995,0.0232514405698186
"east nusa tenggara",9,"05-09",0.0610077777106754,0.0433495708910353,0.0852182085637976,-2.73380583670286,0.0338000771763859
"east nusa tenggara",9,"10-14",0.0332473793692456,0.0123466759965637,0.086432893907359,-3.36996669321419,0.266591387202078
"irian jaya",10,"80-84",0.0350667469538536,0.0107509640294228,0.108354479814162,-3.31480562992751,0.379334840024701
"irian jaya",10,"85-89",0.0751342421048726,0.0399559611091445,0.136868894791345,-2.51037219206543,0.116448560904841
"irian jaya",10,"90-94",0.101393755776018,0.0636005440733887,0.157858798753447,-2.18183343630508,0.0670693773653211
