"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.0975507135355365,0.0879274140583584,0.108102411100418,-2.22474011474054,0.0034109134818595
"All",0,"85-89",0.086836876981947,0.0778310783547628,0.0967753756648377,-2.35288315022193,0.00370524664676169
"All",0,"90-94",0.101206934588524,0.0898400278742682,0.113832154839416,-2.18388554678812,0.00451547179690561
"All",0,"95-99",NA,NA,NA,NA,NA
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"central",1,"80-84",0.0516452420969192,0.0354694307040654,0.074627254310964,-2.91033057629032,0.0401321388255796
"central",1,"85-89",0.0397865265927497,0.021428246479519,0.0727044013231321,-3.18362730071775,0.105880030714793
"central",1,"90-94",0.0542244827961406,0.0316038543012792,0.0915060373161318,-2.85887272550755,0.0826561881591573
"central",1,"95-99",NA,NA,NA,NA,NA
"central",1,"00-04",NA,NA,NA,NA,NA
"central",1,"05-09",NA,NA,NA,NA,NA
"central",1,"10-14",NA,NA,NA,NA,NA
"coast",2,"80-84",0.167281612150735,0.127760042367665,0.216001303713066,-1.60501682268698,0.0259768400901541
"coast",2,"85-89",0.0953221397652906,0.0738131623697772,0.122271350214123,-2.2503168245823,0.0202956687876582
"coast",2,"90-94",0.0944769718570431,0.0688494826476898,0.128328981099306,-2.26015658765996,0.0308661811699308
"coast",2,"95-99",NA,NA,NA,NA,NA
"coast",2,"00-04",NA,NA,NA,NA,NA
"coast",2,"05-09",NA,NA,NA,NA,NA
"coast",2,"10-14",NA,NA,NA,NA,NA
"eastern",3,"80-84",0.0744387723846924,0.0579461319050669,0.0951514238583956,-2.5204233457831,0.01871454992367
"eastern",3,"85-89",0.0571688794581736,0.0433714406624929,0.0750114231221719,-2.80287749424108,0.0220040682175262
"eastern",3,"90-94",0.0655780736795429,0.047996581710264,0.088997729716348,-2.65668668007833,0.0284779795190597
"eastern",3,"95-99",NA,NA,NA,NA,NA
"eastern",3,"00-04",NA,NA,NA,NA,NA
"eastern",3,"05-09",NA,NA,NA,NA,NA
"eastern",3,"10-14",NA,NA,NA,NA,NA
"nairobi",4,"80-84",0.0687386877848656,0.0397513994994589,0.116303727700975,-2.60622773526787,0.0870641531487414
"nairobi",4,"85-89",0.0601209504564864,0.0356237878278908,0.099721956317704,-2.74939282220427,0.0784814883937318
"nairobi",4,"90-94",0.0861592289607219,0.0476747540484013,0.150790572576547,-2.36145926127662,0.10432141955649
"nairobi",4,"95-99",NA,NA,NA,NA,NA
"nairobi",4,"00-04",NA,NA,NA,NA,NA
"nairobi",4,"05-09",NA,NA,NA,NA,NA
"nairobi",4,"10-14",NA,NA,NA,NA,NA
"nyanza",5,"80-84",0.156531984277512,0.128761668903575,0.188992366445708,-1.68426162126083,0.0134956779694966
"nyanza",5,"85-89",0.184690240395098,0.155467522889176,0.217988046348953,-1.4848880686652,0.0112037993660705
"nyanza",5,"90-94",0.201474773651991,0.166410980729451,0.241783773559154,-1.377102378571,0.0142756053222841
"nyanza",5,"95-99",NA,NA,NA,NA,NA
"nyanza",5,"00-04",NA,NA,NA,NA,NA
"nyanza",5,"05-09",NA,NA,NA,NA,NA
"nyanza",5,"10-14",NA,NA,NA,NA,NA
"rift valley",6,"80-84",0.0767312292017505,0.0587610100232739,0.0996154518648307,-2.48761159885154,0.0213088794029552
"rift valley",6,"85-89",0.0596751353157289,0.043293056167787,0.0817266411694968,-2.75730997651882,0.0297740487224555
"rift valley",6,"90-94",0.058043803098706,0.0427998015829754,0.0782732756639225,-2.78676082204377,0.0267763410914108
"rift valley",6,"95-99",NA,NA,NA,NA,NA
"rift valley",6,"00-04",NA,NA,NA,NA,NA
"rift valley",6,"05-09",NA,NA,NA,NA,NA
"rift valley",6,"10-14",NA,NA,NA,NA,NA
"western",7,"80-84",0.102583977561533,0.0800412528611341,0.130574475881231,-2.16883779124679,0.0193939573341775
"western",7,"85-89",0.0997027823653232,0.0769758381830793,0.128207778004972,-2.20053136666905,0.0209418810313259
"western",7,"90-94",0.142707701849582,0.110796974186046,0.181928683838482,-1.79298043645725,0.0218392610166206
"western",7,"95-99",NA,NA,NA,NA,NA
"western",7,"00-04",NA,NA,NA,NA,NA
"western",7,"05-09",NA,NA,NA,NA,NA
"western",7,"10-14",NA,NA,NA,NA,NA
