"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.0956025085486082,0.0781264558872033,0.116493775272567,-2.24706990692283,0.0127152630371863
"All",0,"85-89",0.0831611351005598,0.070571249313951,0.0977608060451653,-2.40015162447345,0.00822898586706772
"All",0,"90-94",0.0919912384446635,0.0798154450872975,0.10581085988459,-2.28956068962793,0.00627808690428248
"All",0,"95-99",0.0887003039302905,0.07662324300718,0.102469663686684,-2.3296085021824,0.00662490546760549
"All",0,"00-04",0.111767981991871,0.0999577339220021,0.124780182485327,-2.07280785717722,0.00406007756392942
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"berea",1,"80-84",0.172106175031105,0.118435323017014,0.243384019861195,-1.57077333239241,0.0496121180063836
"berea",1,"85-89",0.081937131382195,0.0491484686875022,0.133528419173262,-2.41631360986289,0.0776613675424404
"berea",1,"90-94",0.113304075605403,0.0727228546541282,0.172322315936198,-2.05742697080967,0.0620362680186339
"berea",1,"95-99",0.0850546281173097,0.0570482331084584,0.124987632751642,-2.37557062684216,0.0480314844761442
"berea",1,"00-04",0.110601590251497,0.0798146361100835,0.151311266314161,-2.08461082268117,0.033785446876087
"berea",1,"05-09",NA,NA,NA,NA,NA
"berea",1,"10-14",NA,NA,NA,NA,NA
"butha-buthe",2,"80-84",0.0587169066505008,0.0295399800103283,0.113346289198289,-2.77451623417214,0.134016716776869
"butha-buthe",2,"85-89",0.0632655308492396,0.0361555022748451,0.108416616491823,-2.69505921354412,0.0900160477907963
"butha-buthe",2,"90-94",0.0687735850381732,0.041961263415216,0.110738074112478,-2.60568271034013,0.0710571192968765
"butha-buthe",2,"95-99",0.0997548049853436,0.0574170806031479,0.167755065553649,-2.19995194023579,0.0931934852293575
"butha-buthe",2,"00-04",0.0963069894528383,0.0696145801549042,0.131784409604124,-2.23894881645749,0.0325623097376831
"butha-buthe",2,"05-09",NA,NA,NA,NA,NA
"butha-buthe",2,"10-14",NA,NA,NA,NA,NA
"leribe",3,"80-84",0.0736999066799702,0.0283906229649073,0.178067071139014,-2.53119672402521,0.26120267128
"leribe",3,"85-89",0.111197501440638,0.0748966955669178,0.162011285906515,-2.07856713697682,0.0493103945130195
"leribe",3,"90-94",0.0792208371208551,0.0515639955252122,0.119837373739851,-2.45298086860766,0.0548463457196812
"leribe",3,"95-99",0.0976338075326938,0.0618091459553185,0.150883146980774,-2.22379659392585,0.0640695725628051
"leribe",3,"00-04",0.129860150255288,0.0936721373759848,0.177293735633159,-1.90219584142761,0.0351392707853966
"leribe",3,"05-09",NA,NA,NA,NA,NA
"leribe",3,"10-14",NA,NA,NA,NA,NA
"mafeteng",4,"80-84",0.0548291059865663,0.0257917381508333,0.112773567633738,-2.84714456727451,0.16017994242637
"mafeteng",4,"85-89",0.0815826291239133,0.0471702640192134,0.137477777805717,-2.42103557874306,0.0889767099498437
"mafeteng",4,"90-94",0.0698193777242011,0.0421140470556419,0.113589709151064,-2.58946719572552,0.0744760843182645
"mafeteng",4,"95-99",0.0626178840094284,0.0321066874404475,0.118572032425824,-2.70604008263802,0.127562065680655
"mafeteng",4,"00-04",0.0827384154185175,0.0556509078434191,0.121316720937837,-2.40570868332924,0.0471724372706665
"mafeteng",4,"05-09",NA,NA,NA,NA,NA
"mafeteng",4,"10-14",NA,NA,NA,NA,NA
"maseru",5,"80-84",0.0541953390060802,0.0295278704420687,0.0974016777273827,-2.85944114974446,0.104308760291337
"maseru",5,"85-89",0.0415367432373034,0.0237461509906834,0.0716774246305911,-3.13875281291657,0.0868324505181616
"maseru",5,"90-94",0.0744690151131827,0.0495740204851999,0.110413377644541,-2.51998447617908,0.0489102237803956
"maseru",5,"95-99",0.0610064781451705,0.0425474566056438,0.0867482792231717,-2.73382852256558,0.0375557772337408
"maseru",5,"00-04",0.100843920560396,0.0750495483161722,0.134217317320049,-2.1878826533228,0.0272780490253377
"maseru",5,"05-09",NA,NA,NA,NA,NA
"maseru",5,"10-14",NA,NA,NA,NA,NA
"mohale's hoek",6,"80-84",0.115513144757207,0.0677936208505465,0.189976863299805,-2.03562332135226,0.0892282618623098
"mohale's hoek",6,"85-89",0.109523746736247,0.0733163620530007,0.160514939475017,-2.09561504471344,0.0506758652186301
"mohale's hoek",6,"90-94",0.0832410486845099,0.0596142771942882,0.115085784751224,-2.39910397131724,0.0336044396824436
"mohale's hoek",6,"95-99",0.13016596018271,0.0957745883649092,0.17452325725148,-1.89949218155784,0.0310902275835492
"mohale's hoek",6,"00-04",0.126970523403839,0.0954748733313531,0.166938534244927,-1.92801435964751,0.0267453496235754
"mohale's hoek",6,"05-09",NA,NA,NA,NA,NA
"mohale's hoek",6,"10-14",NA,NA,NA,NA,NA
"mokhotlong",7,"80-84",0.0634198298667712,0.024253959506504,0.155737099933793,-2.69245853787867,0.261445608202477
"mokhotlong",7,"85-89",0.0911125716555733,0.0489798211748779,0.163266194231984,-2.30012545214363,0.115466004722402
"mokhotlong",7,"90-94",0.104493903671504,0.0771947420456927,0.139982693285719,-2.1482602975832,0.0288363191032908
"mokhotlong",7,"95-99",0.0642331718755255,0.0295015910416534,0.134199438110688,-2.67884655705658,0.172705539656039
"mokhotlong",7,"00-04",0.111919365987381,0.0807642449193393,0.153091162029039,-2.07128387747011,0.0338730917485786
"mokhotlong",7,"05-09",NA,NA,NA,NA,NA
"mokhotlong",7,"10-14",NA,NA,NA,NA,NA
"qasha's nek",8,"80-84",0.177373498630953,0.0899740021603876,0.319833560060523,-1.53424460080356,0.158258694790196
"qasha's nek",8,"85-89",0.117154774098525,0.0682555445125889,0.193799546256842,-2.01965398699728,0.0918946172742437
