"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.218838364815466,0.186918884250034,0.254502475282496,-1.27244869057711,0.0101753612713519
"All",0,"85-89",0.238656184435158,0.2134391820526,0.265845522344095,-1.16006109290445,0.00541723594606529
"All",0,"90-94",0.244616222291286,0.220358935244655,0.270616911074298,-1.12753539217872,0.00481770612274364
"All",0,"95-99",0.193836619100146,0.175781988472763,0.2132658232257,-1.42527079314325,0.00374356408703451
"All",0,"00-04",0.134253677837414,0.120809474648332,0.148940556386954,-1.86386080667101,0.00380665875819335
"All",0,"05-09",0.0899707208636789,0.0763128331367309,0.105793029321372,-2.31399248020426,0.00839122850347613
"All",0,"10-14",NA,NA,NA,NA,NA
"north central",1,"80-84",0.231099135486095,0.175845288817069,0.297448660562973,-1.20211526998073,0.0305615912716607
"north central",1,"85-89",0.23907421590257,0.194253048840501,0.290508528020985,-1.15776179840676,0.0182596095534943
"north central",1,"90-94",0.228386393434054,0.187053081807506,0.275755059362086,-1.2174450124972,0.0165087091790795
"north central",1,"95-99",0.194735367139382,0.16133507454808,0.233128224851322,-1.41952941458131,0.0136273022793059
"north central",1,"00-04",0.133626395694601,0.108559426332858,0.163420381885204,-1.86926841512582,0.0145321759973289
"north central",1,"05-09",0.0885536313950128,0.0649130347933586,0.119701735726054,-2.33142438084472,0.0294180050643383
"north central",1,"10-14",NA,NA,NA,NA,NA
"north western",2,"80-84",0.157670951804375,0.0813917174265074,0.283384533859356,-1.67566045356614,0.145619947023351
"north western",2,"85-89",0.233217997151471,0.153152669350925,0.338413401031849,-1.19022891418494,0.0703510144776324
"north western",2,"90-94",0.277425948382489,0.183986934966561,0.395329016359411,-0.957265863423464,0.0737592254092694
"north western",2,"95-99",0.217925703954232,0.166887001303393,0.279339804501735,-1.27779554661192,0.0283583640279204
"north western",2,"00-04",0.126967897136804,0.0994243489775962,0.160779587348905,-1.92803805214829,0.0197723974420379
"north western",2,"05-09",0.0983531055753163,0.0636048203882016,0.149062959733377,-2.21565885271631,0.0584105491009215
"north western",2,"10-14",NA,NA,NA,NA,NA
"south central",3,"80-84",0.240344185401506,0.193001088794438,0.29505449831787,-1.15079345333906,0.0203845807995916
"south central",3,"85-89",0.255543551030841,0.218982787615563,0.295895808354079,-1.06926150414323,0.0106580626430825
"south central",3,"90-94",0.268646820499649,0.232775643175075,0.307827928962238,-1.00149890676174,0.00951707683943683
"south central",3,"95-99",0.19826260426152,0.172232245113332,0.227147511203009,-1.39718868140665,0.00776406346550631
"south central",3,"00-04",0.14081541582121,0.121068885888038,0.163184674567732,-1.80853385643266,0.00786444782025313
"south central",3,"05-09",0.0865840484719556,0.0661166154838966,0.11262339230128,-2.35607576368189,0.0221738066527984
"south central",3,"10-14",NA,NA,NA,NA,NA
"south eastern a",4,"80-84",0.136727898974479,0.072044737052987,0.244202072064711,-1.84273712609068,0.132322311779538
"south eastern a",4,"85-89",0.213867150436916,0.163995415215991,0.273935552979436,-1.30177076804769,0.0278397511460779
"south eastern a",4,"90-94",0.270120814134397,0.198980992642365,0.355409626058512,-0.99400970295662,0.0413734265839165
"south eastern a",4,"95-99",0.173381218841439,0.126533407863517,0.232948197941153,-1.56185087549462,0.035659204716804
"south eastern a",4,"00-04",0.141740308902175,0.110775837470504,0.179611824022533,-1.8009101512322,0.0206913117059073
"south eastern a",4,"05-09",0.0731008617273428,0.0473673909518222,0.111182995487742,-2.54000460017186,0.055392782567388
"south eastern a",4,"10-14",NA,NA,NA,NA,NA
"south eastern b",5,"80-84",0.144504269438799,0.0952197647416438,0.213284529691194,-1.77837204933732,0.0582732682935755
"south eastern b",5,"85-89",0.159576280329871,0.126795578944074,0.198901407498849,-1.66138413835124,0.0187262891107216
"south eastern b",5,"90-94",0.129868600049941,0.0970612935138087,0.171656842772452,-1.90212106423177,0.0280386428889652
"south eastern b",5,"95-99",0.155146750871225,0.121284411868492,0.196350799396547,-1.69479149378447,0.0212232475888621
"south eastern b",5,"00-04",0.107819550591208,0.0827112541436445,0.139391618484504,-2.11320940778869,0.0223262450048735
"south eastern b",5,"05-09",0.118455037797817,0.0844747254227997,0.163660632394287,-2.00714254629817,0.0367837074561412
"south eastern b",5,"10-14",NA,NA,NA,NA,NA
