"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.155182039748324,0.132866161166744,0.18046598855439,-1.69452229471207,0.00855927612050431
"All",0,"85-89",0.15822630205264,0.141845240182952,0.176110907490806,-1.67148491108619,0.0043026439116439
"All",0,"90-94",0.126638817800708,0.115082531452071,0.139173049139958,-1.93101011518149,0.00308346381977166
"All",0,"95-99",0.105795481378506,0.0964468009441546,0.11593406766408,-2.13442670761879,0.00275724663303502
"All",0,"00-04",0.0905744335437361,0.0839072558147216,0.0977148703827822,-2.30664117177979,0.00182651068129884
"All",0,"05-09",0.0661114215417106,0.0599117236634832,0.0729029161192227,-2.6480156123128,0.00287470467077011
"All",0,"10-14",NA,NA,NA,NA,NA
"antananarivo",1,"80-84",0.113170870293129,0.0805429887897872,0.156762752625388,-2.05875352222781,0.0368494286112276
"antananarivo",1,"85-89",0.137885177487905,0.108832429534042,0.173186339854154,-1.83296717493842,0.0189428744706796
"antananarivo",1,"90-94",0.101373571156751,0.0819499916858885,0.124775170605333,-2.18205498963067,0.0142646427565225
"antananarivo",1,"95-99",0.078527002594731,0.0636814442771794,0.0964767917120238,-2.46253092607194,0.0132409349463945
"antananarivo",1,"00-04",0.0602569251289016,0.0504383193076815,0.0718422665804063,-2.7469890076344,0.00922616618652557
"antananarivo",1,"05-09",0.0652447045421249,0.0521279122290105,0.0813786717494017,-2.66213989248031,0.0147924549430582
"antananarivo",1,"10-14",NA,NA,NA,NA,NA
"antsiranana",2,"80-84",0.138489496096493,0.0857783876686036,0.215940905453174,-1.827892766176,0.0754631876965469
"antsiranana",2,"85-89",0.102524425095351,0.0641655849852374,0.159896530985334,-2.16948484159696,0.0678379458920877
"antsiranana",2,"90-94",0.0825388825509692,0.0513844565795426,0.129993802930494,-2.40834071426851,0.0670008083921576
"antsiranana",2,"95-99",0.0724900502101177,0.0523421897900652,0.0995784136164613,-2.54905420799888,0.0313692739714157
"antsiranana",2,"00-04",0.0767029895000826,0.0529008763852056,0.10997106181617,-2.48801028678406,0.0410229602608397
"antsiranana",2,"05-09",0.0513146766210554,0.0307882445187636,0.0843352382492615,-2.91710035079723,0.0737453883225069
"antsiranana",2,"10-14",NA,NA,NA,NA,NA
"fianarantsoa",3,"80-84",0.232999544597066,0.175970959811033,0.301742276875093,-1.191450896068,0.0323343465226959
"fianarantsoa",3,"85-89",0.2096992737865,0.176561542949106,0.247189401573358,-1.32673906432409,0.0118192578164497
"fianarantsoa",3,"90-94",0.191437234757726,0.163098978157805,0.223384989600857,-1.44069830865715,0.00986310781242921
"fianarantsoa",3,"95-99",0.173362691655328,0.147724963493088,0.202393231815947,-1.56198015226145,0.00945463005761621
"fianarantsoa",3,"00-04",0.146074237944665,0.130005575132136,0.163755152639181,-1.76572928878267,0.00475696389760399
"fianarantsoa",3,"05-09",0.0890352910982067,0.077090313669283,0.102625307121142,-2.32547133732461,0.00642331029485152
"fianarantsoa",3,"10-14",NA,NA,NA,NA,NA
"mahajanga",4,"80-84",0.128706458757268,0.0794269727026812,0.201856563592131,-1.91244463849037,0.0752672386042015
"mahajanga",4,"85-89",0.100261816266823,0.074099543172278,0.134321151444726,-2.19431888680051,0.0285273064792161
"mahajanga",4,"90-94",0.0901126830392656,0.0717276841175587,0.112638254181055,-2.31225984336875,0.0160349330119117
"mahajanga",4,"95-99",0.0687995106606011,0.0540669489565411,0.0871765418364119,-2.60527797004764,0.0171497022091967
"mahajanga",4,"00-04",0.0889315681622784,0.0685853253798797,0.114571190244266,-2.32675083478788,0.0206831848788702
"mahajanga",4,"05-09",0.0575100118948255,0.0460800974689185,0.0715623645000854,-2.79656624400946,0.014209202658095
"mahajanga",4,"10-14",NA,NA,NA,NA,NA
"toamasina",5,"80-84",0.172200419219603,0.112406419977325,0.254675181194953,-1.57011204640518,0.0641148850239698
"toamasina",5,"85-89",0.161413973793424,0.11836090340086,0.216285524580231,-1.64774484062352,0.0337933384683897
"toamasina",5,"90-94",0.127035036384719,0.101241495133483,0.158243029765465,-1.92743249626186,0.0170699394296413
"toamasina",5,"95-99",0.0929635064561906,0.075788557728233,0.113552381600879,-2.27797567229951,0.012947418330156
"toamasina",5,"00-04",0.064489834030839,0.0510784112835411,0.0811215961273306,-2.67458441308354,0.0159306093189128
"toamasina",5,"05-09",0.0486207123898723,0.0347104052020342,0.0677145648450451,-2.97386319234954,0.0321675055549636
"toamasina",5,"10-14",NA,NA,NA,NA,NA
"toliary",6,"80-84",0.164125988130274,0.1144430672963,0.229781070373826,-1.62784354502211,0.0455481444173025
"toliary",6,"85-89",0.204785574130908,0.161436821050341,0.256217753853567,-1.35664834449078,0.0220330192447024
"toliary",6,"90-94",0.146593524912974,0.116035606917578,0.183528057080121,-1.76157233804504,0.0188294805091322
"toliary",6,"95-99",0.133794036974845,0.112358103657174,0.158588906045554,-1.8678211328815,0.0103146607590229
"toliary",6,"00-04",0.105794614716335,0.0925637885835466,0.120665143422801,-2.13443586871469,0.0057243210488817
"toliary",6,"05-09",0.0619084384410246,0.050568682411504,0.0755886235761602,-2.7181910636808,0.0119593872226232
"toliary",6,"10-14",NA,NA,NA,NA,NA
