"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.243509651520161,0.21822767701256,0.270706361635806,-1.13353319665364,0.00528544319246891
"All",0,"85-89",0.24557877918423,0.228004412038935,0.264044445007954,-1.12233307175192,0.00246353045908743
"All",0,"90-94",0.21992249902529,0.206934408653077,0.233485778731649,-1.26611806784131,0.00155893664612597
"All",0,"95-99",0.182038570480952,0.171717678776611,0.192835367268172,-1.50259659297061,0.00130878005852561
"All",0,"00-04",0.150456395224372,0.143347301838109,0.157853087220857,-1.73102596024489,0.000837963539890073
"All",0,"05-09",0.108666129421129,0.102839597032944,0.114780539182182,-2.10443892302824,0.000988602348839921
"All",0,"10-14",NA,NA,NA,NA,NA
"central region",1,"80-84",0.260306397131105,0.221729002600406,0.302982712630939,-1.04437666258658,0.0116162293839399
"central region",1,"85-89",0.25893316558651,0.231673934108353,0.288196697156194,-1.05152083564786,0.00565298013528803
"central region",1,"90-94",0.229805350169332,0.209667649524471,0.251262290741716,-1.20941062789458,0.00359519117732526
"central region",1,"95-99",0.192783468461075,0.175185301611302,0.211695726670791,-1.43202431492874,0.00358118668656946
"central region",1,"00-04",0.150087436767363,0.139200484264138,0.161665949563982,-1.73391544135648,0.00201731947330861
"central region",1,"05-09",0.110615441134019,0.101262543591791,0.120716167431064,-2.08447002486622,0.00254129964659053
"central region",1,"10-14",NA,NA,NA,NA,NA
"northern region",2,"80-84",0.24325512610734,0.158181616455588,0.354799035482808,-1.13491537977816,0.0750410373390565
"northern region",2,"85-89",0.207799579157651,0.173645200654487,0.246666529118119,-1.33824036298491,0.0128028984667556
"northern region",2,"90-94",0.155313054721276,0.133358569458677,0.180130620250371,-1.69352329182219,0.00825351716011634
"northern region",2,"95-99",0.152027749517768,0.125471328620504,0.183028566818104,-1.7187848449679,0.0129247959417216
"northern region",2,"00-04",0.13253867857156,0.111517424467262,0.156823064514218,-1.87869640800201,0.0100655550130025
"northern region",2,"05-09",0.0958347071728973,0.077339143757808,0.118186880159747,-2.24438728254183,0.0143362191956607
"northern region",2,"10-14",NA,NA,NA,NA,NA
"southern region",3,"80-84",0.226750609498995,0.193780084594417,0.263497437706983,-1.22675084636512,0.0102965988702968
"southern region",3,"85-89",0.241921788949986,0.215370951687042,0.270616890554325,-1.14217207336066,0.00591014635842455
"southern region",3,"90-94",0.226823138233276,0.207326964990167,0.247580033912077,-1.22633723451886,0.00342933389747543
"southern region",3,"95-99",0.178483488876378,0.166149565912726,0.191522708393195,-1.52665593837658,0.00194820086613619
"southern region",3,"00-04",0.155383968328354,0.145088006959577,0.166268468839605,-1.69298285499586,0.00169427395972373
"southern region",3,"05-09",0.109962667379256,0.102285211467621,0.118140550499087,-2.09112248788517,0.0017064616490133
"southern region",3,"10-14",NA,NA,NA,NA,NA
