"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.291639651266923,0.27884078698762,0.304777708515508,-0.887433962179071,0.00102616159497837
"All",0,"85-89",0.278133847786486,0.267795584889572,0.288713848043338,-0.953737272280605,0.000706568795097195
"All",0,"90-94",0.242447572852327,0.233062528607927,0.252086317949796,-1.13930725316381,0.000698258845528979
"All",0,"95-99",NA,NA,NA,NA,NA
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"Bamako",1,"80-84",0.195061827173494,0.161519687345125,0.233628689081732,-1.41744889978851,0.0137128140134894
"Bamako",1,"85-89",0.169100157516917,0.144029036240458,0.19752831773794,-1.59201807369138,0.00941760886963603
"Bamako",1,"90-94",0.157782558971295,0.136924356068056,0.18115126303024,-1.6748203482661,0.00719523028598113
"Bamako",1,"95-99",NA,NA,NA,NA,NA
"Bamako",1,"00-04",NA,NA,NA,NA,NA
"Bamako",1,"05-09",NA,NA,NA,NA,NA
"Bamako",1,"10-14",NA,NA,NA,NA,NA
"Kayes, Koulikoro",2,"80-84",0.298097107573336,0.276707557609529,0.320407635494809,-0.856375766817599,0.00284146535486297
"Kayes, Koulikoro",2,"85-89",0.264962430361408,0.249162922846548,0.281388329810618,-1.02033356934656,0.00178246149918909
"Kayes, Koulikoro",2,"90-94",0.236567593364653,0.220396309652417,0.253539539590736,-1.17159061567448,0.00219221935157472
"Kayes, Koulikoro",2,"95-99",NA,NA,NA,NA,NA
"Kayes, Koulikoro",2,"00-04",NA,NA,NA,NA,NA
"Kayes, Koulikoro",2,"05-09",NA,NA,NA,NA,NA
"Kayes, Koulikoro",2,"10-14",NA,NA,NA,NA,NA
"Mopti, Tombouctou, Gao, Kidal",3,"80-84",0.36114372338127,0.329873799071003,0.393636651922494,-0.570403505048141,0.00498284273708043
"Mopti, Tombouctou, Gao, Kidal",3,"85-89",0.360927514905567,0.333716353507271,0.389061853103973,-0.571340734710155,0.00375378509324058
"Mopti, Tombouctou, Gao, Kidal",3,"90-94",0.29563692978959,0.272634850277191,0.319726625239372,-0.868161835048511,0.00333185221970387
"Mopti, Tombouctou, Gao, Kidal",3,"95-99",NA,NA,NA,NA,NA
"Mopti, Tombouctou, Gao, Kidal",3,"00-04",NA,NA,NA,NA,NA
"Mopti, Tombouctou, Gao, Kidal",3,"05-09",NA,NA,NA,NA,NA
"Mopti, Tombouctou, Gao, Kidal",3,"10-14",NA,NA,NA,NA,NA
"Sikasso, Segou",4,"80-84",0.276985389315499,0.257244637335205,0.297633990475162,-0.959464671727428,0.00264890817018132
"Sikasso, Segou",4,"85-89",0.274472460939401,0.25804603111335,0.291533680892134,-0.972048098866438,0.00184122725106194
"Sikasso, Segou",4,"90-94",0.243416689572055,0.228449093560528,0.259035699206272,-1.13403790660974,0.00179554863918416
"Sikasso, Segou",4,"95-99",NA,NA,NA,NA,NA
"Sikasso, Segou",4,"00-04",NA,NA,NA,NA,NA
"Sikasso, Segou",4,"05-09",NA,NA,NA,NA,NA
"Sikasso, Segou",4,"10-14",NA,NA,NA,NA,NA
