"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.10850570290889,0.0997836457227576,0.117890311198322,-2.10609630732989,0.00227744382962345
"All",0,"85-89",0.0802613728808536,0.0724844693712376,0.0887927875828787,-2.43880105861078,0.00316912613403495
"All",0,"90-94",0.0736859205575116,0.0632413228072757,0.0856976859366978,-2.53140161206785,0.0070071568831261
"All",0,"95-99",NA,NA,NA,NA,NA
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"centre",1,"80-84",0.0769554582720916,0.0638721157933013,0.0924540697414031,-2.4844507004185,0.010456333816383
"centre",1,"85-89",0.0555940804225409,0.043759172400297,0.0703941744428858,-2.83247934490657,0.0165088186970026
"centre",1,"90-94",0.061299001823398,0.0451661735780413,0.0826952186901214,-2.72873344336162,0.0270671945334529
"centre",1,"95-99",NA,NA,NA,NA,NA
"centre",1,"00-04",NA,NA,NA,NA,NA
"centre",1,"05-09",NA,NA,NA,NA,NA
"centre",1,"10-14",NA,NA,NA,NA,NA
"centre-nord",2,"80-84",0.120092462014538,0.0994264474483347,0.144365373424498,-1.9915548686067,0.0117062154208638
"centre-nord",2,"85-89",0.0880657235810725,0.0645255334812,0.119100463584938,-2.33748452755365,0.0294778229550497
"centre-nord",2,"90-94",0.0962499684244841,0.0680560346685446,0.134439028534332,-2.23960416330077,0.0370649042135764
"centre-nord",2,"95-99",NA,NA,NA,NA,NA
"centre-nord",2,"00-04",NA,NA,NA,NA,NA
"centre-nord",2,"05-09",NA,NA,NA,NA,NA
"centre-nord",2,"10-14",NA,NA,NA,NA,NA
"centre-sud",3,"80-84",0.118111412231083,0.0903526098756625,0.152964385532918,-2.01043737983969,0.0232570670882387
"centre-sud",3,"85-89",0.0613197039692369,0.0411935639958546,0.0903523533341704,-2.7283737220696,0.0457089483316378
"centre-sud",3,"90-94",0.046094335850861,0.0222472094856528,0.0930703580951111,-3.029874706141,0.147667439131506
"centre-sud",3,"95-99",NA,NA,NA,NA,NA
"centre-sud",3,"00-04",NA,NA,NA,NA,NA
"centre-sud",3,"05-09",NA,NA,NA,NA,NA
"centre-sud",3,"10-14",NA,NA,NA,NA,NA
"nord-ouest",4,"80-84",0.109991097509467,0.0909487760012661,0.13243952768465,-2.09083203468936,0.011619613010138
"nord-ouest",4,"85-89",0.095248723109478,0.0788253323629486,0.11466800352183,-2.25116846551929,0.0111809680067976
"nord-ouest",4,"90-94",0.0805829013628301,0.0564850746371299,0.113722277408013,-2.43445339569632,0.0378241681571335
"nord-ouest",4,"95-99",NA,NA,NA,NA,NA
"nord-ouest",4,"00-04",NA,NA,NA,NA,NA
"nord-ouest",4,"05-09",NA,NA,NA,NA,NA
"nord-ouest",4,"10-14",NA,NA,NA,NA,NA
"oriental",5,"80-84",0.0994021210654912,0.0704348164115396,0.138507537386722,-2.20388540057348,0.0368308485386456
"oriental",5,"85-89",0.0710108899973154,0.0490856151913839,0.101682392547342,-2.57126377094235,0.0401228396661725
"oriental",5,"90-94",0.0599097797672351,0.0295682370174243,0.117612933581778,-2.75313608960048,0.141743739427446
"oriental",5,"95-99",NA,NA,NA,NA,NA
"oriental",5,"00-04",NA,NA,NA,NA,NA
"oriental",5,"05-09",NA,NA,NA,NA,NA
"oriental",5,"10-14",NA,NA,NA,NA,NA
"sud",6,"80-84",0.147101860325087,0.118413887943231,0.181310623027941,-1.75751485194965,0.0162727010248124
"sud",6,"85-89",0.11242009858658,0.0890948278919328,0.140907359948448,-2.06625581253642,0.0173925567835074
"sud",6,"90-94",0.06302146524485,0.0409357108362055,0.0958323339554712,-2.69918498696449,0.0538378906818384
"sud",6,"95-99",NA,NA,NA,NA,NA
"sud",6,"00-04",NA,NA,NA,NA,NA
"sud",6,"05-09",NA,NA,NA,NA,NA
"sud",6,"10-14",NA,NA,NA,NA,NA
"tensift",7,"80-84",0.121273476802397,0.0958847571180535,0.152252645847493,-1.98042559244679,0.0180585681421942
"tensift",7,"85-89",0.080597484826384,0.0595183961690956,0.10828243422691,-2.4342565756392,0.0276400899558641
"tensift",7,"90-94",0.0956497967566805,0.065431555351284,0.137766488634379,-2.24652310732398,0.0443069636915122
"tensift",7,"95-99",NA,NA,NA,NA,NA
"tensift",7,"00-04",NA,NA,NA,NA,NA
"tensift",7,"05-09",NA,NA,NA,NA,NA
"tensift",7,"10-14",NA,NA,NA,NA,NA
