"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.256881712712355,0.236686458237263,0.278172160044443,-1.06223951719521,0.00307544125146738
"All",0,"85-89",0.234674614364948,0.21895923056434,0.251155233624798,-1.18210114914537,0.00209176944216257
"All",0,"90-94",0.22240663855064,0.207950890285227,0.23756587479209,-1.25169630434989,0.00190856282866719
"All",0,"95-99",0.198778815037792,0.18805933307117,0.209951316840364,-1.39394432063465,0.00122952899840339
"All",0,"00-04",0.146619998878481,0.135571148108287,0.158404306990084,-1.76136073797811,0.00216573222482712
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"Cabo Delgado",1,"80-84",0.316015265468137,0.24688389352447,0.394367796643873,-0.772145078574063,0.0306540203516247
"Cabo Delgado",1,"85-89",0.276836063396062,0.229895220958976,0.329263517638848,-0.960210439320646,0.0161001228650944
"Cabo Delgado",1,"90-94",0.287393241358621,0.239499000375714,0.340576010431888,-0.90807828073715,0.0159267551850358
"Cabo Delgado",1,"95-99",0.27775315243632,0.239919760315562,0.319048290200906,-0.955634196231791,0.0101525059875856
"Cabo Delgado",1,"00-04",0.20309924915647,0.164791553601651,0.247671316800534,-1.36703537094467,0.0170554669886906
"Cabo Delgado",1,"05-09",NA,NA,NA,NA,NA
"Cabo Delgado",1,"10-14",NA,NA,NA,NA,NA
"Gaza",2,"80-84",0.229583948568253,0.177687466204436,0.29126884628717,-1.2106619438741,0.0268957151159766
"Gaza",2,"85-89",0.208621303994469,0.166730813842593,0.257780655156876,-1.33325594341166,0.0197897781678952
"Gaza",2,"90-94",0.20504040300673,0.164194446118633,0.252971998227077,-1.35508424441391,0.019296240540258
"Gaza",2,"95-99",0.167151590166014,0.139598656906178,0.19888565188721,-1.60595051838662,0.0117745506234789
"Gaza",2,"00-04",0.142016064794576,0.11013019139618,0.181253421240019,-1.79864519221742,0.022008645346523
"Gaza",2,"05-09",NA,NA,NA,NA,NA
"Gaza",2,"10-14",NA,NA,NA,NA,NA
"Inhambane",3,"80-84",0.242986721100429,0.194704571301838,0.298799269633803,-1.13637399859239,0.0209004582913466
"Inhambane",3,"85-89",0.201462255533477,0.163967561681548,0.245018120694857,-1.37718018936194,0.0165074300888758
"Inhambane",3,"90-94",0.216684537528631,0.181701014666298,0.256293978090718,-1.28509295262194,0.0125733089517432
"Inhambane",3,"95-99",0.163076220457524,0.138241880355216,0.191381118813724,-1.63551530079484,0.00984327130133946
"Inhambane",3,"00-04",0.126768547669551,0.0972168059337685,0.163674728033566,-1.92983767918077,0.0232261708558353
"Inhambane",3,"05-09",NA,NA,NA,NA,NA
"Inhambane",3,"10-14",NA,NA,NA,NA,NA
"Manica",4,"80-84",0.247203423786653,0.170784024226373,0.34364649526646,-1.11358346443416,0.0566503175179818
"Manica",4,"85-89",0.255274919399844,0.203429888487368,0.315106134213158,-1.07067405124351,0.0225497861564319
"Manica",4,"90-94",0.232357789103616,0.192180422309058,0.278043634359945,-1.19504537524942,0.0151017964821404
"Manica",4,"95-99",0.220970282441187,0.187057725244753,0.259071682112068,-1.2600209696015,0.0113950961672232
"Manica",4,"00-04",0.1053011149826,0.0815455513815457,0.134960165611135,-2.13966321263188,0.0206820351953969
"Manica",4,"05-09",NA,NA,NA,NA,NA
"Manica",4,"10-14",NA,NA,NA,NA,NA
"Maputo cidade",5,"80-84",0.0996282595088075,0.0715461695541746,0.137104989047739,-2.20136186868001,0.0340783778487381
"Maputo cidade",5,"85-89",0.0920413145004951,0.064449999835274,0.129805700880362,-2.28896133011036,0.0388433083059376
"Maputo cidade",5,"90-94",0.085541170764621,0.0641197986383149,0.113253043443497,-2.36933465738984,0.0252429444909258
"Maputo cidade",5,"95-99",0.0896713156898555,0.0653268319646227,0.121904702304814,-2.31765478841461,0.0306510014770236
"Maputo cidade",5,"00-04",0.0952977552236935,0.0681117480144789,0.131800049437623,-2.25059962272477,0.0347689849430445
"Maputo cidade",5,"05-09",NA,NA,NA,NA,NA
"Maputo cidade",5,"10-14",NA,NA,NA,NA,NA
"Maputo provincia",6,"80-84",0.137219074538712,0.0905764028324663,0.202531503629462,-1.83858207367458,0.0570244144120038
"Maputo provincia",6,"85-89",0.1150150667124,0.0823691214394551,0.158366806254517,-2.04050748565724,0.0356523574549161
"Maputo provincia",6,"90-94",0.121115257055557,0.0876735587716011,0.165005715917946,-1.98191113628785,0.0338246513834761
"Maputo provincia",6,"95-99",0.107113048870144,0.0798140026981294,0.142305297290247,-2.12057517016131,0.0273780327657492
"Maputo provincia",6,"00-04",0.102351523165989,0.0731987728617562,0.141344182969351,-2.17136534654712,0.0350992312081999
"Maputo provincia",6,"05-09",NA,NA,NA,NA,NA
"Maputo provincia",6,"10-14",NA,NA,NA,NA,NA
"Nampula",7,"80-84",0.316576198263725,0.263391794712729,0.375032045607834,-0.769551202070082,0.0174438137971111
"Nampula",7,"85-89",0.263508354439223,0.223778495526732,0.307497600613089,-1.02781281927373,0.0121418326452549
"Nampula",7,"90-94",0.298500249213138,0.258824526575356,0.341456007185225,-0.854449776567758,0.0101681427676292
"Nampula",7,"95-99",0.248833829565044,0.223652282473042,0.275843237675278,-1.10484157030531,0.00507794180302362
"Nampula",7,"00-04",0.165450332592881,0.136657061748153,0.19891251977591,-1.61822121429717,0.0131922013585876
"Nampula",7,"05-09",NA,NA,NA,NA,NA
"Nampula",7,"10-14",NA,NA,NA,NA,NA
"Niassa",8,"80-84",0.343221769060061,0.230336782601235,0.477133784422282,-0.648969618201411,0.0808912404401835
"Niassa",8,"85-89",0.267003836389078,0.198770184374208,0.348473389495355,-1.00987744125885,0.0384096260681862
"Niassa",8,"90-94",0.23662717757953,0.18746524732437,0.294016443839905,-1.17126072682307,0.0227009422750506
"Niassa",8,"95-99",0.214830080617193,0.172028781561959,0.264873756486966,-1.29605275922399,0.0197243243656159
"Niassa",8,"00-04",0.203389139722562,0.150602925208054,0.268821427209896,-1.3652452154483,0.0346114739077317
"Niassa",8,"05-09",NA,NA,NA,NA,NA
"Niassa",8,"10-14",NA,NA,NA,NA,NA
"Sofala",9,"80-84",0.322108934799857,0.257952318054236,0.393755104213652,-0.744096809071801,0.0254284813114893
"Sofala",9,"85-89",0.31889890657182,0.269737743259948,0.372450213040085,-0.758836598370911,0.0146362244110863
"Sofala",9,"90-94",0.243053638025791,0.203798138308576,0.287143566207654,-1.13601024328329,0.0133799603130907
"Sofala",9,"95-99",0.244907474715672,0.207975690877353,0.286029083727456,-1.12595980679218,0.0116128066503334
"Sofala",9,"00-04",0.159859291965689,0.127408189312075,0.198693686269887,-1.65927538427569,0.0182527455875312
"Sofala",9,"05-09",NA,NA,NA,NA,NA
"Sofala",9,"10-14",NA,NA,NA,NA,NA
"Tete",10,"80-84",0.315909266859879,0.25763472661739,0.380607046063657,-0.772635517447971,0.021242815998235
"Tete",10,"85-89",0.25954811483565,0.220384084619438,0.302967268788985,-1.04831855640762,0.0120456129676954
"Tete",10,"90-94",0.251887871152848,0.217210150075219,0.290050513978921,-1.08856883886916,0.00973984360680023
"Tete",10,"95-99",0.236744395252584,0.205201612135254,0.271479661050198,-1.17061191676312,0.00876391796186061
"Tete",10,"00-04",0.177454120624212,0.14659843327274,0.213181913518867,-1.53369216133155,0.0135134847777329
"Tete",10,"05-09",NA,NA,NA,NA,NA
"Tete",10,"10-14",NA,NA,NA,NA,NA
"Zambezia",11,"80-84",0.199910592841546,0.149675168410992,0.261815164931924,-1.38685324956595,0.0319432122578606
"Zambezia",11,"85-89",0.234338812239722,0.186044503620678,0.290692369123696,-1.1839717745691,0.0221878306616635
"Zambezia",11,"90-94",0.139956733737698,0.110035264068977,0.176401894376895,-1.81564936747498,0.0196481185547119
"Zambezia",11,"95-99",0.124608271840392,0.0997902073279995,0.154539047594359,-1.94949648418804,0.0162778403669588
"Zambezia",11,"00-04",0.105999749756223,0.079671478927146,0.139707726065603,-2.13226932176928,0.0257562354133896
"Zambezia",11,"05-09",NA,NA,NA,NA,NA
"Zambezia",11,"10-14",NA,NA,NA,NA,NA
