"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.0901728120373493,0.0702911403475762,0.114982475994981,-2.31152671516105,0.0190755527561351
"All",0,"85-89",0.0588957542747363,0.0475315700932578,0.0727693847072909,-2.7712849108656,0.0133404959858767
"All",0,"90-94",0.0607159809704299,0.050338787758616,0.0730678079133248,-2.73891096180839,0.0102486779252144
"All",0,"95-99",0.0574492004869729,0.0482927317285806,0.0682173257574673,-2.79768872903516,0.0087452143587514
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"caprivi",1,"80-84",0.0767348836306135,0.0183353178680673,0.269984861400403,-2.48756001547952,0.580152741821971
"caprivi",1,"85-89",0.0473041364458761,0.0155340885138078,0.135130979949724,-3.00269797392838,0.342096965863423
"caprivi",1,"90-94",0.0191181482816897,0.00712711951745026,0.0502622097926704,-3.93781395999435,0.259735777974383
"caprivi",1,"95-99",0.0209048965277498,0.00758311549972098,0.0563022414008998,-3.84664536614279,0.27487157838914
"caprivi",1,"00-04",NA,NA,NA,NA,NA
"caprivi",1,"05-09",NA,NA,NA,NA,NA
"caprivi",1,"10-14",NA,NA,NA,NA,NA
"erongo",2,"80-84",0.041585804675377,0.0155779581586448,0.106324728164698,-3.13752116346503,0.264854699503132
"erongo",2,"85-89",0.0336173829162335,0.0184899728287487,0.0603600412642171,-3.35851655784174,0.0979301556675977
"erongo",2,"90-94",0.0141537974681281,0.00459906652445417,0.0427071683391002,-4.24351740084159,0.334624284769918
"erongo",2,"95-99",0.026410016274352,0.0103756624823229,0.0655814657153084,-3.607246911218,0.235241358223395
"erongo",2,"00-04",NA,NA,NA,NA,NA
"erongo",2,"05-09",NA,NA,NA,NA,NA
"erongo",2,"10-14",NA,NA,NA,NA,NA
"hardap",3,"80-84",0.103074055890856,0.0370676277459537,0.255438838594007,-2.16352558001668,0.311394565260511
"hardap",3,"85-89",0.0763324917815851,0.0408553287500704,0.138178446535678,-2.49325347716346,0.1143417517313
"hardap",3,"90-94",0.0554201202137639,0.0262603170510033,0.113195309536273,-2.83579754841476,0.157277717469966
"hardap",3,"95-99",0.0671405711645648,0.040821019217338,0.108510038677112,-2.63146602514089,0.0718634381114906
"hardap",3,"00-04",NA,NA,NA,NA,NA
"hardap",3,"05-09",NA,NA,NA,NA,NA
"hardap",3,"10-14",NA,NA,NA,NA,NA
"karas",4,"80-84",0.114557675376934,0.0662554151123417,0.19087539690225,-2.04500891072774,0.0939259452500208
"karas",4,"85-89",0.0818058552327224,0.0436131217461879,0.148259774169735,-2.41806003402581,0.116767511427317
"karas",4,"90-94",0.0858877695124584,0.0424307247103547,0.166131163356028,-2.36491191606082,0.147059424422164
"karas",4,"95-99",0.0460155437398247,0.0252693061966412,0.0823554479753057,-3.03166813128848,0.100357725361074
"karas",4,"00-04",NA,NA,NA,NA,NA
"karas",4,"05-09",NA,NA,NA,NA,NA
"karas",4,"10-14",NA,NA,NA,NA,NA
"kavango",5,"80-84",0.139453840259731,0.0821620002672736,0.226822790588366,-1.81983360483333,0.091693183512552
"kavango",5,"85-89",0.110076285171506,0.0610007867338543,0.190618495456486,-2.08996211838623,0.107951671874198
"kavango",5,"90-94",0.0661425952598158,0.0361264777226405,0.118043702956217,-2.64751080932072,0.105437683793951
"kavango",5,"95-99",0.0773766696918594,0.0474760216033875,0.123664040913733,-2.47853574838151,0.0704860018083685
"kavango",5,"00-04",NA,NA,NA,NA,NA
"kavango",5,"05-09",NA,NA,NA,NA,NA
"kavango",5,"10-14",NA,NA,NA,NA,NA
"khomas",6,"80-84",0.0558877732712862,0.0187307345464772,0.155104003686572,-2.82689941211031,0.333448829043948
