"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.190555437608865,0.176825721253597,0.205085608524436,-1.44640512370481,0.00218412570902544
"All",0,"85-89",0.192343905971844,0.178989276009975,0.206444394769428,-1.43485139499374,0.00203237690894266
"All",0,"90-94",NA,NA,NA,NA,NA
"All",0,"95-99",NA,NA,NA,NA,NA
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"NA",1,"80-84",0.265964221693808,0.122368529403869,0.484953941568256,-1.01519597688831,0.237413117129116
"NA",1,"85-89",0.165293329484258,0.0863497237717766,0.293245094525142,-1.61935872032206,0.142428116063917
"NA",1,"90-94",NA,NA,NA,NA,NA
"NA",1,"95-99",NA,NA,NA,NA,NA
"NA",1,"00-04",NA,NA,NA,NA,NA
"NA",1,"05-09",NA,NA,NA,NA,NA
"NA",1,"10-14",NA,NA,NA,NA,NA
"north central",2,"80-84",0.181853317553085,0.147529707055248,0.222082136622002,-1.50384122430591,0.0163047070184442
"north central",2,"85-89",0.16170688252733,0.121425687218904,0.212124462931122,-1.64558249227425,0.0289384676899937
"north central",2,"90-94",NA,NA,NA,NA,NA
"north central",2,"95-99",NA,NA,NA,NA,NA
"north central",2,"00-04",NA,NA,NA,NA,NA
"north central",2,"05-09",NA,NA,NA,NA,NA
"north central",2,"10-14",NA,NA,NA,NA,NA
"north east",3,"80-84",0.169682483546636,0.134884685813747,0.211265206628238,-1.58787923078237,0.0190564383589013
"north east",3,"85-89",0.166710709553477,0.139066528131985,0.198582583429426,-1.6091208371622,0.0119152694611531
"north east",3,"90-94",NA,NA,NA,NA,NA
"north east",3,"95-99",NA,NA,NA,NA,NA
"north east",3,"00-04",NA,NA,NA,NA,NA
"north east",3,"05-09",NA,NA,NA,NA,NA
"north east",3,"10-14",NA,NA,NA,NA,NA
"north west",4,"80-84",0.256011307798311,0.230128733005955,0.283732056716918,-1.06680422147274,0.0051592571516991
"north west",4,"85-89",0.286260793736922,0.263365753172614,0.310307732162423,-0.913614376746816,0.00343871354986247
"north west",4,"90-94",NA,NA,NA,NA,NA
"north west",4,"95-99",NA,NA,NA,NA,NA
"north west",4,"00-04",NA,NA,NA,NA,NA
"north west",4,"05-09",NA,NA,NA,NA,NA
"north west",4,"10-14",NA,NA,NA,NA,NA
"south east",5,"80-84",0.144442921578376,0.119882849858561,0.173045263026723,-1.7788683873384,0.0119964594971187
"south east",5,"85-89",0.168622763288063,0.146085142084893,0.19384810059936,-1.59541959695248,0.00754286977924053
"south east",5,"90-94",NA,NA,NA,NA,NA
"south east",5,"95-99",NA,NA,NA,NA,NA
"south east",5,"00-04",NA,NA,NA,NA,NA
"south east",5,"05-09",NA,NA,NA,NA,NA
"south east",5,"10-14",NA,NA,NA,NA,NA
"south south",6,"80-84",0.154606556040412,0.126560726809245,0.187532945808948,-1.69891859142073,0.0141078697359093
"south south",6,"85-89",0.129906160207521,0.10421680217058,0.160791270291101,-1.90178872241957,0.0161965766482069
"south south",6,"90-94",NA,NA,NA,NA,NA
"south south",6,"95-99",NA,NA,NA,NA,NA
"south south",6,"00-04",NA,NA,NA,NA,NA
"south south",6,"05-09",NA,NA,NA,NA,NA
"south south",6,"10-14",NA,NA,NA,NA,NA
"south west",7,"80-84",0.177165349064925,0.140821764075682,0.220481572224888,-1.53567179831648,0.0193741687591836
"south west",7,"85-89",0.153817303575263,0.129313358834011,0.18199400514204,-1.704969731778,0.0106297706999669
"south west",7,"90-94",NA,NA,NA,NA,NA
"south west",7,"95-99",NA,NA,NA,NA,NA
"south west",7,"00-04",NA,NA,NA,NA,NA
"south west",7,"05-09",NA,NA,NA,NA,NA
"south west",7,"10-14",NA,NA,NA,NA,NA
