"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.0803930887986734,0.0495933905065429,0.127749664931374,-2.4370180960291,0.0693149936788122
"All",0,"85-89",0.0710902636709566,0.0569202581642248,0.0884569496781118,-2.57006118299867,0.014675927109307
"All",0,"90-94",0.0435825850808823,0.0364267966158597,0.0520681186142329,-3.08853679842896,0.00908427047668954
"All",0,"95-99",0.0360490969989009,0.0308801661137428,0.0420457009148845,-3.2861585479737,0.00667376972284796
"All",0,"00-04",0.0360569032790193,0.0315571873067771,0.0411709539061135,-3.28593392738211,0.00495419700399746
"All",0,"05-09",0.0344548956894087,0.0303512977020537,0.0390909466594949,-3.3330417194301,0.00447091850759972
"All",0,"10-14",0.0293645211864735,0.0245260465534107,0.0351231563659215,-3.49816380653331,0.00891168509641697
"Bicol",1,"80-84",0.099387022410713,0.0166481480203811,0.418376854180823,-2.20405407181011,0.914802837072576
"Bicol",1,"85-89",0.0728973168745819,0.0313487007772506,0.160394851257042,-2.54301249593849,0.205142295859598
"Bicol",1,"90-94",0.0466391399881035,0.0255329620488459,0.0836937510640764,-3.01755338635819,0.101480777122608
"Bicol",1,"95-99",0.0254640525280859,0.0126595836670302,0.0505563820678635,-3.64469365357137,0.131931947576138
"Bicol",1,"00-04",0.029957238308569,0.0174640170475603,0.0509245107029873,-3.47756917963022,0.0794421096001624
"Bicol",1,"05-09",0.031435230329355,0.0166266732664078,0.0586464570565945,-3.42788610791345,0.110694204749379
"Bicol",1,"10-14",0.0536449684311548,0.0307972851271176,0.091836635299628,-2.87023011667522,0.087214073756954
"Cagayan Valley",2,"80-84",0.0897744648761029,0.0144955405671751,0.398080117923459,-2.31639183022744,0.942638620403375
"Cagayan Valley",2,"85-89",0.0350966905163611,0.0115500244849695,0.101707778670936,-3.31392106014927,0.3356607786203
"Cagayan Valley",2,"90-94",0.028746743437444,0.0135036520621772,0.0601473298226087,-3.52006276554984,0.154798428427843
"Cagayan Valley",2,"95-99",0.0250583094932566,0.011528650622188,0.0536048829792181,-3.66117217577816,0.162526922107774
"Cagayan Valley",2,"00-04",0.028834670798363,0.0157593491171622,0.0521832423788215,-3.51691821047622,0.0992667206480511
"Cagayan Valley",2,"05-09",0.019604054883579,0.00910276453331644,0.0417100810893155,-3.91222008904261,0.157490275855292
"Cagayan Valley",2,"10-14",0.026479908776876,0.0112935842898537,0.0608306684351185,-3.60453217665211,0.195962692320898
"Central Luzon",3,"80-84",3.85341758502022e-11,1.63298950455146e-11,9.09303277376135e-11,-23.9794755839342,0.191881468002657
"Central Luzon",3,"85-89",0.035395253022384,0.011155177743966,0.106628871977986,-3.30514071307517,0.362155020339903
"Central Luzon",3,"90-94",0.0226215527546604,0.0104274558292776,0.0483785458949322,-3.76597081994073,0.16117537695833
