"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.223284114848083,0.111200678279673,0.397779883536004,-1.24662960917185,0.18015722703057
"All",0,"85-89",0.0946079494554591,0.063715944104158,0.138265791477525,-2.25862655008927,0.0478773267271326
"All",0,"90-94",0.102289724120216,0.0816740847895921,0.127387193007023,-2.17203816416496,0.0159818605752225
"All",0,"95-99",0.127007691238448,0.108529733330411,0.148108975311646,-1.92767910011906,0.00826355977566003
"All",0,"00-04",0.0981905167059817,0.0862666945559882,0.111561230158463,-2.21749364241819,0.00529361083758514
"All",0,"05-09",0.0714843761441571,0.0624188941059166,0.0817516911024596,-2.56410829728083,0.00549789114064734
"All",0,"10-14",0.0555151524128338,0.0487590818566058,0.0631452041562967,-2.8339836440877,0.00487822129932698
"Dakar",1,"80-84",NA,NA,NA,NA,NA
"Dakar",1,"85-89",0.0405592080821561,0.00742858016837898,0.192754368747044,-3.16358777182838,0.780345321190102
"Dakar",1,"90-94",0.0622827691545105,0.023829476658001,0.153058255271487,-2.71176363494592,0.260812778838671
"Dakar",1,"95-99",0.125274760451909,0.0750446855959352,0.20179080836914,-1.94340041643448,0.0840620406878011
"Dakar",1,"00-04",0.0618786012499961,0.0376727338635577,0.100020943667618,-2.71870494239089,0.0708544644352368
"Dakar",1,"05-09",0.0447531986498577,0.023629344440236,0.0831528190774896,-3.06080681745086,0.113582156000443
"Dakar",1,"10-14",0.034661690285969,0.0180981302927221,0.0653750646885108,-3.32684356918886,0.115756669715951
"Diourbel",2,"80-84",0.576521917721702,0.0918788496116261,0.948237062462257,0.308511598601763,1.75896112494625
"Diourbel",2,"85-89",NA,NA,NA,NA,NA
"Diourbel",2,"90-94",0.16263505504523,0.112274945759045,0.229738012449071,-1.63875122637852,0.04790023370692
"Diourbel",2,"95-99",0.125067354076055,0.0595178940505537,0.244073756371016,-1.94529448251531,0.172833683390407
"Diourbel",2,"00-04",0.109400186636618,0.0710722004489347,0.164732315790286,-2.09688258733638,0.0583520376228367
"Diourbel",2,"05-09",0.0711241000404483,0.0498557549440341,0.100505730451296,-2.56954890619105,0.0371816603687047
"Diourbel",2,"10-14",0.0631091321285882,0.0444809450559375,0.0888135078005893,-2.69770132195844,0.0355398052240475
"Fatick",3,"80-84",NA,NA,NA,NA,NA
"Fatick",3,"85-89",0.0645396362852216,0.0212056137131531,0.180130617505928,-2.67375922461091,0.349255497961529
"Fatick",3,"90-94",0.146259635270461,0.0730385147185391,0.27139381774645,-1.76424375886638,0.157032512603289
"Fatick",3,"95-99",0.14826964461015,0.109199410023322,0.198208360543766,-1.74823745333635,0.0320179767404127
"Fatick",3,"00-04",0.117268286617507,0.0845235218585595,0.160474862040723,-2.01855696129459,0.0344641294587773
"Fatick",3,"05-09",0.0599938156939703,0.0374330538002078,0.0948125362032046,-2.7516449691487,0.0638886613672868
"Fatick",3,"10-14",0.0605011327509385,0.0358403964066761,0.100363892180806,-2.74268452513975,0.0786020638799414
"Kaolack",4,"80-84",0.468961615486351,0.21112265124239,0.744510347158026,-0.124313384064773,0.371030257865123
"Kaolack",4,"85-89",0.163320095127898,0.0780191494512265,0.310477288411311,-1.63372951697438,0.18186569191048
"Kaolack",4,"90-94",0.137689396819247,0.093984798290509,0.197291828249399,-1.834615133546,0.0484260056821371
"Kaolack",4,"95-99",0.139008340035868,0.0980307318511515,0.193441335488979,-1.82355088633922,0.0407701647267925
"Kaolack",4,"00-04",0.120106525188142,0.0917043273912354,0.15579646295409,-1.99142178989297,0.0236758103304938
"Kaolack",4,"05-09",0.10014636328937,0.0803976405072073,0.124091523448979,-2.19559937540705,0.0151643629970384
"Kaolack",4,"10-14",0.0541562050977099,0.0416616276820914,0.0701237916940313,-2.86020487595929,0.019746071414113
"Kolda",5,"80-84",0.171803142371763,0.0196679155677818,0.682026304512334,-1.57290157663116,1.42052839639311
"Kolda",5,"85-89",0.164668784014933,0.0826772148465611,0.301267566909745,-1.62389222522271,0.159444368609718
"Kolda",5,"90-94",0.13955000768522,0.096843572816868,0.196981770754608,-1.81903248422552,0.0445670578151908
"Kolda",5,"95-99",0.219893522884543,0.182944475634346,0.261912946021811,-1.26628697718504,0.0137992503358156
"Kolda",5,"00-04",0.175605114232043,0.148978319509638,0.205839823405168,-1.54641184031105,0.0100233382396763
"Kolda",5,"05-09",0.137022476693078,0.105525859257873,0.176069499578328,-1.8402436700844,0.0229679819739662
"Kolda",5,"10-14",0.0998135721532107,0.0766280257841164,0.129034095480014,-2.19929771633506,0.0218582474660903
"Louga",6,"80-84",0.179464262020039,0.0236035642959734,0.664298273235059,-1.51998137520082,1.26279119171477
"Louga",6,"85-89",0.0462913113824773,0.00648351517745286,0.265257286733544,-3.02540398261757,1.04813793582469
"Louga",6,"90-94",0.110858195443775,0.0523089882301451,0.219745611949864,-2.08200486691515,0.172848233595736
"Louga",6,"95-99",0.0850733689740112,0.0505373479896198,0.13973699788289,-2.37532982881122,0.0810110973117239
