"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.279461708944486,0.234997082721723,0.328724415802734,-0.94713327434234,0.0141534187099218
"All",0,"85-89",0.288500998728351,0.260903059281698,0.317763113456374,-0.90267546609595,0.00500103361000242
"All",0,"90-94",0.249463672704005,0.232213067156074,0.267549223015867,-1.10147474982126,0.00231890917725263
"All",0,"95-99",0.228298983447122,0.216065851802325,0.241011790339495,-1.21794108993353,0.00130490513536206
"All",0,"00-04",0.217994407811378,0.206625918251669,0.229807209517185,-1.27739248143741,0.00120343886137049
"All",0,"05-09",0.192052115188908,0.18336487388551,0.201049603760972,-1.43673078897278,0.000845285521199591
"All",0,"10-14",0.130863364986188,0.121575259746704,0.140747366887772,-1.89334658186317,0.00184775886733222
"eastern",1,"80-84",0.328647241425339,0.249093740631241,0.419416788457816,-0.714309758487042,0.0394202631161683
"eastern",1,"85-89",0.337212687330772,0.277843862582402,0.402201983477853,-0.675740292393347,0.0203276167037358
"eastern",1,"90-94",0.30314319594833,0.266508903893467,0.342462078350803,-0.832374655768795,0.00843740265314599
"eastern",1,"95-99",0.285389196884364,0.260314754541272,0.311860594914604,-0.917884211401349,0.00416231495941361
"eastern",1,"00-04",0.253790408926905,0.229148826618674,0.280118907872528,-1.07849774924478,0.00471803282945415
"eastern",1,"05-09",0.22290442253023,0.204051170787059,0.242967877942344,-1.24882027006297,0.00328550598981653
"eastern",1,"10-14",0.139959946072771,0.119623012311383,0.16311374530916,-1.81562268030216,0.00847016056992517
"northern",2,"80-84",0.172517389582987,0.11585026695548,0.249093609610017,-1.56789005186136,0.0561511917855434
"northern",2,"85-89",0.251408027029858,0.210614305176571,0.297128960437535,-1.09111684772893,0.0137839458784913
"northern",2,"90-94",0.221009702261007,0.19610746447929,0.248098184688935,-1.25979198884176,0.00593635553562496
"northern",2,"95-99",0.214097805058269,0.194442686499156,0.235159751407169,-1.30039940717364,0.0038111548106472
"northern",2,"00-04",0.190865587224754,0.174611176186756,0.20825133992241,-1.4443956015714,0.00308701138567519
"northern",2,"05-09",0.183469116773491,0.169706472807578,0.198081599188769,-1.49301838324158,0.00233408918097063
"northern",2,"10-14",0.124949020823027,0.110424655837596,0.141080823477525,-1.94637632587714,0.00510473898876599
"southern",3,"80-84",0.36385679158509,0.278658132747669,0.458545574459783,-0.558663347945079,0.0400962508842061
"southern",3,"85-89",0.31162140326215,0.257297894565491,0.371674598278294,-0.792549972638989,0.0186288287533169
"southern",3,"90-94",0.291240588693589,0.257041113066305,0.327981597879194,-0.889366442833592,0.0077046640326908
"southern",3,"95-99",0.251079598177008,0.228047656698102,0.275607185547143,-1.0928626922007,0.00416603208543587
"southern",3,"00-04",0.25883748892847,0.234273801989266,0.285018031990193,-1.05201950554533,0.0045574252990892
"southern",3,"05-09",0.186962104521632,0.172746276348884,0.202062050405693,-1.46987177366458,0.00241991404270907
"southern",3,"10-14",0.125423639897645,0.109769511808253,0.142951710304558,-1.94204248286925,0.00593983816220887
"western",4,"80-84",0.318365403494824,0.203213783111183,0.46101428997428,-0.761293941309301,0.0952934978958716
"western",4,"85-89",0.250804180669568,0.189616493450725,0.323846211401232,-1.09432791241985,0.0333961998987335
"western",4,"90-94",0.172341271031774,0.127547546621905,0.228741760488413,-1.56912426141558,0.0325657353756049
"western",4,"95-99",0.123364296547311,0.096528160704683,0.156369949129537,-1.96094977807656,0.0197525009487175
"western",4,"00-04",0.152964000879993,0.126288469151726,0.184086942336749,-1.71154059031979,0.0129036893200052
"western",4,"05-09",0.165595752592114,0.139606119952748,0.195325327728713,-1.61716840102351,0.0105586692556513
"western",4,"10-14",0.142227242029339,0.116501804419797,0.172523993767996,-1.79691313908538,0.0136595936679346
