"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.208128549742996,0.170197254656694,0.251946756813512,-1.33624315194766,0.0160088771402548
"All",0,"85-89",0.155483123562118,0.136537745467813,0.176519871211116,-1.69222752440652,0.00602400549339319
"All",0,"90-94",0.161859336873433,0.146801480979687,0.17813923905216,-1.64445827501076,0.00346986470765415
"All",0,"95-99",0.145828172798024,0.132974964778513,0.159694927357259,-1.76770334638701,0.00299173277709358
"All",0,"00-04",0.110775365780831,0.101374279780296,0.120930950667269,-2.08284546641035,0.00256178357326557
"All",0,"05-09",0.0782940664618605,0.0707596816236146,0.0865559741007177,-2.46575440799797,0.00311122747968972
"All",0,"10-14",NA,NA,NA,NA,NA
"arusha",1,"80-84",0.161499938516806,0.0588095404742677,0.372529983625675,-1.64710989262673,0.329893288844164
"arusha",1,"85-89",0.127949624713043,0.0779980026323895,0.202853092232214,-1.91921056253844,0.0789333975600924
"arusha",1,"90-94",0.0552676388909981,0.0292807216630941,0.101897182519137,-2.83871412623072,0.114218489544866
"arusha",1,"95-99",0.0758952027674485,0.0524525787603956,0.108614069532522,-2.49947200436968,0.0405123916057462
"arusha",1,"00-04",0.0501145218469912,0.0343896240999503,0.072489950701495,-2.94203060469961,0.0402006873841458
"arusha",1,"05-09",0.0424192407442028,0.0280181101690581,0.0637370737558687,-3.11680801092563,0.0480607111252369
"arusha",1,"10-14",NA,NA,NA,NA,NA
"dar es salaam",2,"80-84",0.213706443785207,0.073371749893792,0.482646897560938,-1.3027268886043,0.395942240153843
"dar es salaam",2,"85-89",0.160842399527227,0.0824806771097408,0.290112552757103,-1.65197353142055,0.149228467492725
"dar es salaam",2,"90-94",0.0493157998217432,0.0199788873844577,0.116605357223963,-2.95893742317673,0.227070614387383
"dar es salaam",2,"95-99",0.0842027488194143,0.0498866259996836,0.138678862844604,-2.38656743164184,0.0817117483639624
"dar es salaam",2,"00-04",0.089714456969969,0.0506840388809811,0.15392765161655,-2.31712640752863,0.0978206989646463
"dar es salaam",2,"05-09",0.113690250701892,0.0765349682942392,0.165647700295519,-2.05358884240731,0.0496663020840528
"dar es salaam",2,"10-14",NA,NA,NA,NA,NA
"dodoma",3,"80-84",0.319704392668076,0.18164250328076,0.498749388141479,-0.755130624432472,0.146478796868779
"dodoma",3,"85-89",0.252628593696854,0.172749072130888,0.353654043796671,-1.08464185772111,0.0603842783603349
"dodoma",3,"90-94",0.232415298979765,0.167102507652129,0.313642930740279,-1.19472297981898,0.0440973679693296
"dodoma",3,"95-99",0.164945068229578,0.112627766914485,0.235125247843724,-1.62188501058868,0.0509237669812249
"dodoma",3,"00-04",0.127303679771545,0.0908082732764283,0.17563305381365,-1.92501222618162,0.0373515436204038
"dodoma",3,"05-09",0.0662277739426591,0.0430946471541261,0.100474852018063,-2.64613261825048,0.0536965751053881
"dodoma",3,"10-14",NA,NA,NA,NA,NA
"iringa",4,"80-84",0.28320029631987,0.14180981696818,0.485767548430696,-0.928642040121719,0.197803864298285
"iringa",4,"85-89",0.165672046732968,0.0806077883174148,0.310214829459877,-1.61661634225081,0.173972502765672
"iringa",4,"90-94",0.178796456088372,0.118338515964397,0.26099816321184,-1.52452295865535,0.0609144736820525
"iringa",4,"95-99",0.117733466987202,0.0672837488945448,0.197981278330392,-2.01407088669415,0.0984943641348309
"iringa",4,"00-04",0.117889541786557,0.0774288413214936,0.175471771051084,-2.01256918472664,0.0563443560430258
"iringa",4,"05-09",0.119910665000666,0.0825060327732978,0.171110368332259,-1.99327641215689,0.0449409308862743
"iringa",4,"10-14",NA,NA,NA,NA,NA
"kagera",5,"80-84",0.248072280139032,0.0882381247385017,0.529341160083171,-1.10892004624956,0.391545325446298
"kagera",5,"85-89",0.172085095825927,0.0846742613925423,0.318347979769429,-1.57092127872476,0.170603525914104
"kagera",5,"90-94",0.205825304877574,0.140565470171345,0.291120130535383,-1.35027568166241,0.0551612486430069
"kagera",5,"95-99",0.156632091908768,0.113427883124841,0.212351004195557,-1.68350359821336,0.036157891475713
"kagera",5,"00-04",0.124440756471298,0.0884652488602484,0.172281091093689,-1.95103306664363,0.0378846214270322
"kagera",5,"05-09",0.0793220236854476,0.0541722554739859,0.114731390821031,-2.45159451316549,0.0433966629136338
"kagera",5,"10-14",NA,NA,NA,NA,NA
"kigoma",6,"80-84",0.228156806621479,0.124128680698942,0.38140331114093,-1.21874827110456,0.140688392481272
"kigoma",6,"85-89",0.161643904622649,0.0802895013420424,0.298662674051099,-1.64604714883259,0.163441776812683
"kigoma",6,"90-94",0.19230032948713,0.12076387561314,0.292132892483805,-1.43513192852072,0.0787702852704329
"kigoma",6,"95-99",0.187995792768889,0.106753266138968,0.309634353565181,-1.46308593777671,0.113826643473345
"kigoma",6,"00-04",0.109010949486893,0.0744194870494718,0.156954586480074,-2.10088380721672,0.0458805906858707
"kigoma",6,"05-09",0.0903290350858826,0.0520152022647966,0.15232956247574,-2.30962400810428,0.0915955805235106
"kigoma",6,"10-14",NA,NA,NA,NA,NA
"kilimanjaro",7,"80-84",0.0876943205920229,0.0161794997495385,0.359729709590783,-2.34211797092214,0.811481949810355
"kilimanjaro",7,"85-89",0.0989886300556161,0.0506009188916486,0.184648354068668,-2.20851288116287,0.136206154640928
"kilimanjaro",7,"90-94",0.024659001880731,0.00918789860492369,0.0644857205245424,-3.67764512983017,0.261878121519621
"kilimanjaro",7,"95-99",0.0407190088738328,0.0196524598039573,0.0824682829187563,-3.15948900435616,0.146512955543928
"kilimanjaro",7,"00-04",0.0286597090738919,0.0117409630914372,0.0682741005509119,-3.52318458958884,0.215415864396169
"kilimanjaro",7,"05-09",0.0378720230570185,0.0180339407278514,0.0778037474589342,-3.23493481239714,0.151297328702105
"kilimanjaro",7,"10-14",NA,NA,NA,NA,NA
"lindi",8,"80-84",0.244446254503497,0.141804248310178,0.387810215777936,-1.12845545138891,0.117530570379763
"lindi",8,"85-89",0.296024282427032,0.210861558133985,0.398225400060261,-0.866302377293512,0.0535228059197125
"lindi",8,"90-94",0.299488437289801,0.216651592653949,0.397909526879128,-0.849735061909601,0.0493837247444754
"lindi",8,"95-99",0.279742576078885,0.210995914926256,0.360649782685782,-0.945738872192549,0.0362554067956914
"lindi",8,"00-04",0.175701556264916,0.12841379817553,0.235693856219894,-1.54574580066761,0.0355049246433567
"lindi",8,"05-09",0.0849469010922931,0.0567866967199899,0.125217716100456,-2.3769557269284,0.0488145282944567
"lindi",8,"10-14",NA,NA,NA,NA,NA
"mara",9,"80-84",0.104202379857238,0.0402567979441901,0.243907949776698,-2.15137954870664,0.270838496614768
"mara",9,"85-89",0.257486075105701,0.174619723478103,0.36241021492099,-1.05907598318525,0.0635674575646263
"mara",9,"90-94",0.212747663837685,0.151244876918076,0.290694467668184,-1.30844204086736,0.0451423955009934
"mara",9,"95-99",0.227469747142871,0.172520506733061,0.293708632482753,-1.22265392032302,0.0310228264213803
"mara",9,"00-04",0.153661576634398,0.115380517009512,0.201746980371214,-1.70616667730973,0.0284785394212552
