"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.17149167259984,0.117809678498606,0.242899731488795,-1.57509217883518,0.0499963354376914
"All",0,"85-89",0.13389269450209,0.110819838809278,0.160900089132415,-1.86697011838558,0.0120806906132395
"All",0,"90-94",0.131049597881237,0.111613560630712,0.153286183872419,-1.89171018764763,0.00868485564823715
"All",0,"95-99",0.132863238076007,0.11874556041836,0.148376767545092,-1.87587639185974,0.00429755868817397
"All",0,"00-04",0.114831887097006,0.104324463379772,0.126248434764308,-2.04230837756492,0.00302308894053419
"All",0,"05-09",0.0976899213290673,0.0887773853498694,0.10739175426438,-2.22315983456334,0.00289715183956587
"All",0,"10-14",0.0865094937892008,0.0771474072013386,0.0968884208987257,-2.35701882029717,0.00405008973486749
"centrale",1,"80-84",0.0916485455547252,0.0203664787800849,0.328704041296587,-2.29367026347956,0.649543029107513
"centrale",1,"85-89",0.166774965749994,0.111815689659721,0.241405491586868,-1.60865836161379,0.0559654491457504
"centrale",1,"90-94",0.111034110777151,0.0783959674349434,0.15497536161749,-2.080221406547,0.0384097656931136
"centrale",1,"95-99",0.127951589518338,0.0974995802521608,0.166163537692368,-1.91919295348203,0.0243955319312363
"centrale",1,"00-04",0.147890702423813,0.116392518091402,0.186117484654543,-1.75124129833743,0.0198017239667524
"centrale",1,"05-09",0.104042068993359,0.0848940062436293,0.126910067512405,-2.15309813297017,0.0131245545757479
"centrale",1,"10-14",0.114979415322109,0.0923378457017536,0.142302373966597,-2.04085778911819,0.0155695455504178
"kara",2,"80-84",0.231300786883153,0.100545709215058,0.447497806067562,-1.20098078146614,0.255237972863815
"kara",2,"85-89",0.114337059220809,0.0777489262524548,0.165061677665047,-2.04718570430557,0.0472740491535015
"kara",2,"90-94",0.207862808999257,0.159962169318054,0.265572573585805,-1.33785630780496,0.0267654885669881
"kara",2,"95-99",0.138329002355303,0.107082087660047,0.176887599594941,-1.82923860174435,0.0221441270047242
"kara",2,"00-04",0.158440407050086,0.126632513038651,0.196440846350507,-1.66987828678925,0.0177587760705624
"kara",2,"05-09",0.141043566480466,0.117592378501544,0.168279679620239,-1.80664937824183,0.011347068947207
"kara",2,"10-14",0.102265471285192,0.0837007931409718,0.124388789140482,-2.17230230766773,0.0126902814178362
"lome",3,"80-84",0.140101557474115,0.0492148271088713,0.338989577563445,-1.81444672203254,0.342265322711163
"lome",3,"85-89",0.123408310978908,0.0653311521115824,0.220911515695178,-1.9605428479012,0.127621484776804
"lome",3,"90-94",0.0737039465388281,0.0459873867140594,0.116092476329443,-2.53113754925353,0.065384941582276
"lome",3,"95-99",0.0886094222513012,0.0606073932172311,0.127789092851796,-2.3307333426508,0.0437771951117766
"lome",3,"00-04",0.0801470208468821,0.0619316793630654,0.103130856511012,-2.44035114336051,0.0200373999934524
"lome",3,"05-09",0.0616375267390398,0.0478239121612742,0.0791096122606406,-2.72286542104714,0.0187471597880483
"lome",3,"10-14",0.0566667033303653,0.0425885473342953,0.075033844843393,-2.81223286771467,0.023493462813134
"maritime",4,"80-84",0.125791002280804,0.0542359681290489,0.26527163491775,-1.93869765718579,0.220309557426663
"maritime",4,"85-89",0.0941502203859389,0.0473214381354513,0.178631085083147,-2.26398189023375,0.141908195617916
"maritime",4,"90-94",0.0812357467711912,0.0501315980021876,0.129017208761934,-2.42567418265852,0.0693105668852715
"maritime",4,"95-99",0.14248948419464,0.105629401829409,0.18948699213,-1.79476524043439,0.0303443073853283
"maritime",4,"00-04",0.0768447525297404,0.05468815886734,0.106962256647307,-2.48601023346301,0.0344640479142892
"maritime",4,"05-09",0.0796463220634491,0.0557429243936429,0.1125777947455,-2.44716216964554,0.0380832891360065
"maritime",4,"10-14",0.0884658554629727,0.0625603849689633,0.123683148830479,-2.33251238954877,0.0365111350220159
"plateaux",5,"80-84",0.19296427888375,0.0909564263849043,0.363613818063022,-1.43086284310396,0.197555591298328
"plateaux",5,"85-89",0.13502012044,0.09503630081685,0.188325281600953,-1.85728243840775,0.0408948977647083
"plateaux",5,"90-94",0.143140616105742,0.0939176923545968,0.212122056848633,-1.7894463491463,0.059295675108291
"plateaux",5,"95-99",0.128708375797533,0.100632515452226,0.163195884495669,-1.91242754370541,0.0200878356567665
"plateaux",5,"00-04",0.116966312897865,0.0971321950506196,0.140221497748347,-2.02147738122495,0.0112651908275125
"plateaux",5,"05-09",0.101420439385425,0.082842260154526,0.123603466613578,-2.18154060787416,0.0129221960231152
"plateaux",5,"10-14",0.0953395342161922,0.0745923526191259,0.121102188203965,-2.25011513311208,0.0187083975871575
"savanes",6,"80-84",0.244988802540823,0.106004701675747,0.47032913140222,-1.12552007462554,0.263816139304056
"savanes",6,"85-89",0.182603243106097,0.125924584803972,0.257283793542941,-1.4988088748191,0.0500943534610583
"savanes",6,"90-94",0.171801188247135,0.140687509188553,0.208129206915661,-1.57291531039371,0.0145818556541879
"savanes",6,"95-99",0.171105463553132,0.139604268879116,0.207996432649397,-1.57781281692832,0.0150904018932277
"savanes",6,"00-04",0.135766380440605,0.115079297221926,0.159501960424263,-1.85090750749942,0.00929577083610786
"savanes",6,"05-09",0.117794286245406,0.0984615700306911,0.140332069806242,-2.01348549817893,0.0105119557345395
"savanes",6,"10-14",0.084061100987596,0.0648843110531573,0.108249555370165,-2.38840573118345,0.0203591849125693
