"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.220237587350754,0.195414302653575,0.247245162919703,-1.26428236797888,0.00592946789031926
"All",0,"85-89",0.195516756050715,0.177740954537363,0.214606322495376,-1.41455405385716,0.00357411240865531
"All",0,"90-94",0.166497388399862,0.1529153366304,0.18102799857608,-1.61065721146808,0.00266913951908153
"All",0,"95-99",0.163700956495119,0.151999553753039,0.176116086017795,-1.63094492932863,0.00201858871723541
"All",0,"00-04",0.137214720556345,0.127781995620864,0.147226224417824,-1.83861885077108,0.00175443027592845
"All",0,"05-09",0.114557750721368,0.0984759462655099,0.1328787303077,-2.04500816793683,0.00745837994037603
"All",0,"10-14",NA,NA,NA,NA,NA
"Central",1,"80-84",0.243351330582178,0.201129210175047,0.291206005818218,-1.13439283257816,0.0156075745613098
"Central",1,"85-89",0.168569498339795,0.136536833929586,0.206321575488605,-1.59579959543971,0.0160826120776545
"Central",1,"90-94",0.141326386790247,0.118681490038296,0.167470979127566,-1.80431687315466,0.0104814300280562
"Central",1,"95-99",0.150131562293813,0.12631608454675,0.177524823893189,-1.73356956669225,0.0104504095317184
"Central",1,"00-04",0.123744648372778,0.107313140184945,0.142291072920675,-1.95743739070947,0.0067516676622172
"Central",1,"05-09",0.10843623464734,0.0782073541588698,0.148467359072072,-2.10681465954486,0.033763795200671
"Central",1,"10-14",NA,NA,NA,NA,NA
"Eastern",2,"80-84",0.18397105653264,0.148414387104477,0.225787691549308,-1.48967138048779,0.0172500232842021
"Eastern",2,"85-89",0.18211249711082,0.155943064819405,0.211572721796257,-1.50210018799939,0.00906694759922791
"Eastern",2,"90-94",0.169866230700844,0.142834684894473,0.200815007538553,-1.58657560656606,0.0109790895143601
"Eastern",2,"95-99",0.136495188859571,0.116871057853626,0.158821862203852,-1.84471010169131,0.0082191915009088
"Eastern",2,"00-04",0.106072119866126,0.0927623050376603,0.121036884764537,-2.13150586207153,0.0057683245911721
"Eastern",2,"05-09",0.110408150175059,0.080221157961623,0.150100676188658,-2.08657880666913,0.0323951571933988
"Eastern",2,"10-14",NA,NA,NA,NA,NA
"Northern",3,"80-84",0.255017991851823,0.21503326897321,0.299599998159285,-1.07202596900016,0.0129247555408317
"Northern",3,"85-89",0.240375681263122,0.197523498192462,0.289174451774826,-1.15062095554087,0.0164295733591652
"Northern",3,"90-94",0.194245700595346,0.172386988429903,0.218145529709021,-1.4226550009398,0.00556024891681358
"Northern",3,"95-99",0.185688170903137,0.166088193941678,0.207026909476688,-1.47827460878101,0.00476780319662645
"Northern",3,"00-04",0.175193811871656,0.155711438481404,0.19654632697883,-1.54925557774379,0.00519258552517345
"Northern",3,"05-09",0.119124948653732,0.0928978495899046,0.151519708969503,-2.00074285899147,0.0201200937523285
"Northern",3,"10-14",NA,NA,NA,NA,NA
"Western",4,"80-84",0.209081374406876,0.150221224171337,0.283315194466795,-1.33047155970291,0.0421512011920552
"Western",4,"85-89",0.200702089335403,0.164202410064643,0.242956640349199,-1.38191206468281,0.0156733838463735
"Western",4,"90-94",0.166085356832725,0.136624615649605,0.20042408177725,-1.61362919680913,0.0137688035404726
"Western",4,"95-99",0.183438003341243,0.158172141082572,0.211724697920808,-1.49322608534262,0.00830969980698321
"Western",4,"00-04",0.145499361032982,0.124638171622203,0.169177360870207,-1.77034555524649,0.00832936895342854
"Western",4,"05-09",0.120167064730378,0.0878612020292658,0.162238731541384,-1.99084906251647,0.0317405499389695
"Western",4,"10-14",NA,NA,NA,NA,NA
