"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.165558290453923,0.152071069102846,0.179987785602736,-1.61743954892138,0.00265599085382453
"All",0,"85-89",0.186012253947376,0.173278948064702,0.199455511808477,-1.4761327589192,0.00194469542112593
"All",0,"90-94",0.194394505597199,0.184522262422863,0.204662371070999,-1.42170453340474,0.00107626346205021
"All",0,"95-99",NA,NA,NA,NA,NA
"All",0,"00-04",NA,NA,NA,NA,NA
"All",0,"05-09",NA,NA,NA,NA,NA
"All",0,"10-14",NA,NA,NA,NA,NA
"central",1,"80-84",0.141008263703233,0.102859111099531,0.190305106738893,-1.80694080530937,0.0335335525159294
"central",1,"85-89",0.16027835910579,0.125268976506407,0.202803508066207,-1.65615840898841,0.0214861855124794
"central",1,"90-94",0.151766790451918,0.12078820327531,0.188982703686834,-1.72081053994176,0.0181673963591937
"central",1,"95-99",NA,NA,NA,NA,NA
"central",1,"00-04",NA,NA,NA,NA,NA
"central",1,"05-09",NA,NA,NA,NA,NA
"central",1,"10-14",NA,NA,NA,NA,NA
"copperbelt",2,"80-84",0.113589131445707,0.0818658635117693,0.155522970075934,-2.05459274955692,0.0342392192512958
"copperbelt",2,"85-89",0.164740370642894,0.129523889260901,0.207252189253718,-1.62337188650652,0.0206726106834513
"copperbelt",2,"90-94",0.189300362409724,0.16714203298079,0.213642724070541,-1.45456265227411,0.00597144950415271
"copperbelt",2,"95-99",NA,NA,NA,NA,NA
"copperbelt",2,"00-04",NA,NA,NA,NA,NA
"copperbelt",2,"05-09",NA,NA,NA,NA,NA
"copperbelt",2,"10-14",NA,NA,NA,NA,NA
"eastern",3,"80-84",0.237748284996512,0.197695274949203,0.28305314735268,-1.16506434786312,0.0144614914915697
"eastern",3,"85-89",0.250954094283191,0.223928762237701,0.280064006572305,-1.09353023987754,0.00580930538305184
"eastern",3,"90-94",0.240559007130291,0.21985539477713,0.262556114111986,-1.14961721559846,0.00355691696614003
"eastern",3,"95-99",NA,NA,NA,NA,NA
"eastern",3,"00-04",NA,NA,NA,NA,NA
"eastern",3,"05-09",NA,NA,NA,NA,NA
"eastern",3,"10-14",NA,NA,NA,NA,NA
"luapula",4,"80-84",0.219233835556391,0.183319190723466,0.259945063529691,-1.27013679723528,0.0130480271097661
"luapula",4,"85-89",0.285685667437257,0.239516296342811,0.336813092810088,-0.916430965645739,0.0148574519022943
"luapula",4,"90-94",0.250752656208705,0.219468063505419,0.284869196909928,-1.09460214119213,0.00789649774895081
"luapula",4,"95-99",NA,NA,NA,NA,NA
"luapula",4,"00-04",NA,NA,NA,NA,NA
"luapula",4,"05-09",NA,NA,NA,NA,NA
"luapula",4,"10-14",NA,NA,NA,NA,NA
"lusaka",5,"80-84",0.120670103772739,0.0919733892477858,0.156774617896314,-1.98609972878152,0.0240060634730756
"lusaka",5,"85-89",0.117272951295295,0.0889594466713683,0.153083705309906,-2.01851189987691,0.0246779347439875
"lusaka",5,"90-94",0.19222062064009,0.163601062976709,0.224502899667711,-1.43564519770005,0.0100033859553397
"lusaka",5,"95-99",NA,NA,NA,NA,NA
"lusaka",5,"00-04",NA,NA,NA,NA,NA
"lusaka",5,"05-09",NA,NA,NA,NA,NA
"lusaka",5,"10-14",NA,NA,NA,NA,NA
"north-western",6,"80-84",0.154368544529799,0.10574587012693,0.21985179394695,-1.70074074316232,0.0490799869936847
"north-western",6,"85-89",0.145439905653226,0.109228474153617,0.191080979058646,-1.77082384526536,0.027975697192112
"north-western",6,"90-94",0.150658957000791,0.121980423848312,0.184661965475752,-1.72944208579121,0.0155448381134479
"north-western",6,"95-99",NA,NA,NA,NA,NA
"north-western",6,"00-04",NA,NA,NA,NA,NA
"north-western",6,"05-09",NA,NA,NA,NA,NA
"north-western",6,"10-14",NA,NA,NA,NA,NA
"northern",7,"80-84",0.167637104189581,0.126094048506533,0.219430329770791,-1.60246696964932,0.0289492647442184
"northern",7,"85-89",0.222214417384537,0.184927780321063,0.264578676973084,-1.2528081256227,0.013831135258823
"northern",7,"90-94",0.18733335441809,0.155576757064941,0.223853751035325,-1.4674313216503,0.0130714204361097
"northern",7,"95-99",NA,NA,NA,NA,NA
"northern",7,"00-04",NA,NA,NA,NA,NA
"northern",7,"05-09",NA,NA,NA,NA,NA
"northern",7,"10-14",NA,NA,NA,NA,NA
"southern",8,"80-84",0.157315696062252,0.125298562601375,0.195683798911236,-1.6783378073511,0.0182594940504594
"southern",8,"85-89",0.107647326140538,0.0845189746809132,0.136163339346943,-2.11500104367318,0.0186235383579642
"southern",8,"90-94",0.152571283528861,0.1271116919801,0.182066628706988,-1.71457480554775,0.011718121707422
"southern",8,"95-99",NA,NA,NA,NA,NA
"southern",8,"00-04",NA,NA,NA,NA,NA
"southern",8,"05-09",NA,NA,NA,NA,NA
"southern",8,"10-14",NA,NA,NA,NA,NA
"western",9,"80-84",0.189774072787979,0.159695605971614,0.224007546373857,-1.45147885721707,0.0113726601345594
"western",9,"85-89",0.194642327379035,0.153813228188391,0.243194522114187,-1.42012283679928,0.0211262430052363
"western",9,"90-94",0.186017254624258,0.156698275845035,0.2193947777253,-1.47609973224306,0.0111438975303818
"western",9,"95-99",NA,NA,NA,NA,NA
"western",9,"00-04",NA,NA,NA,NA,NA
"western",9,"05-09",NA,NA,NA,NA,NA
"western",9,"10-14",NA,NA,NA,NA,NA
