"region","region_num","years","u5m","lower","upper","logit.est","var.est"
"All",0,"80-84",0.0426146581919714,0.0158139270218379,0.109770116369335,-3.11200768332183,0.270259410662236
"All",0,"85-89",0.100490108914411,0.0637326750562122,0.154938932928453,-2.19179074564062,0.0638908193995975
"All",0,"90-94",0.0714236903940039,0.0536628007729096,0.0944760821827157,-2.56502295076534,0.0241931940331084
"All",0,"95-99",0.0770810260516704,0.0653498256426748,0.0907137474187252,-2.48268429013758,0.00822320643301559
"All",0,"00-04",0.0736878534519806,0.0636219600950137,0.0852014051550274,-2.53137329422797,0.00647287499969713
"All",0,"05-09",0.0846377125395499,0.0782030475164277,0.0915492482463515,-2.38093998750734,0.00192873115894321
"All",0,"10-14",NA,NA,NA,NA,NA
"bulawayo",1,"80-84",NA,NA,NA,NA,NA
"bulawayo",1,"85-89",0.113106969470452,0.0386313473896357,0.288129320554108,-2.05939037469421,0.347212400301801
"bulawayo",1,"90-94",0.0739288773208376,0.0292923952744719,0.174365618310294,-2.52784752429689,0.246374319279349
"bulawayo",1,"95-99",0.0467597825257553,0.0215078415110804,0.0986698917649313,-3.01484345066492,0.167751464665844
"bulawayo",1,"00-04",0.0363094419396891,0.0172811030656805,0.0746974133857109,-3.27869242923713,0.151158732042552
"bulawayo",1,"05-09",0.0447243116620167,0.0311629730065128,0.0637985810942404,-3.06148273888498,0.0366820098211912
"bulawayo",1,"10-14",NA,NA,NA,NA,NA
"harare",2,"80-84",NA,NA,NA,NA,NA
"harare",2,"85-89",0.0587336429464711,0.0169543809897813,0.18417737680264,-2.77421346064843,0.430456116560056
"harare",2,"90-94",0.0934998509000267,0.025824201978615,0.286389802783876,-2.27163135303238,0.480527143732276
"harare",2,"95-99",0.0641395086634761,0.0330775632722347,0.12072858593387,-2.68040588379193,0.125688323223638
"harare",2,"00-04",0.0568523059073487,0.0352574317089765,0.0904339998969144,-2.80876611125984,0.0651885227314482
"harare",2,"05-09",0.0576639375575138,0.0444051668924104,0.0745726510442983,-2.79372998602242,0.0197220818230578
"harare",2,"10-14",NA,NA,NA,NA,NA
