"country","period","Median","Lower","Upper"
"Cambodia","80-84",146.703063158529,143.337392346072,150.277420143701
"Cameroon","80-84",158.551818429503,156.208429434695,160.949180631119
"Ethiopia","80-84",254.720205627604,235.075872579033,275.780981224725
"Indonesia","80-84",118.238560449217,117.063738039233,119.371773009731
"Bangladesh","80-84",184.198186461091,182.223782246781,186.070184253588
"Philippines","80-84",78.3166928494287,77.0777213709572,79.6841169290944
"Egypt","80-84",141.988398751927,138.719843631799,145.182957532086
"Morocco","80-84",110.918419686043,109.27402662438,112.748430230732
"Niger","80-84",313.589998982272,309.877658520578,317.328609846261
"Burkina Faso","80-84",242.414701553438,239.487280119397,245.154261725834
"Senegal","80-84",182.523776123675,180.578616438898,184.677872858248
"Mali","80-84",264.911090293037,261.520935821977,267.917065485156
"Ghana","80-84",148.916625320406,146.861956690433,151.026212659728
"Nigeria","80-84",218.113892640858,214.921001287895,221.28287351877
"Kenya","80-84",101.936359615421,100.326563131439,103.622655133929
"Uganda","80-84",192.807584957094,189.878049968386,195.867518046507
"Rwanda","80-84",183.049678242978,178.716944755644,187.118171806941
"Zambia","80-84",160.625493058101,156.425257078438,164.929812193756
"Zimbabwe","80-84",83.1936644111019,81.6620477145668,84.7061866090915
"Malawi","80-84",249.541245562214,244.170835841244,254.871426110484
"Congo","80-84",112.056285668401,107.164799842304,117.10722200259
"Benin","80-84",213.865686667731,210.955886261491,216.862931092657
"Chad","80-84",229.890864594022,226.288581694152,233.503797155882
"Democratic Republic of the Congo","80-84",177.530566362742,170.428971945913,184.576099254327
"Eritrea","80-84",179.818823524571,176.289068455321,183.734506867491
"Gabon","80-84",105.560937517524,102.427284851559,108.517998737306
"Guinea","80-84",266.346176284466,262.092234785886,270.457809361099
"Lesotho","80-84",98.560612352493,96.0856644760034,101.229065658773
"Liberia","80-84",236.316710352415,232.469160255439,239.956203151933
"Madagascar","80-84",165.734715356455,161.519077770488,170.175044951386
"Mozambique","80-84",250.420827861767,237.090599502692,264.065496164925
"Namibia","80-84",92.7571398501306,89.626937080302,95.9816217831055
"Sierra Leone","80-84",270.31135842815,265.058217085013,276.099731109848
"Tanzania","80-84",171.356442144587,169.321540858471,173.538521956266
"Togo","80-84",162.287018583725,159.600631664314,164.743376837471
"Cambodia","85-89",125.894361612956,123.581427699314,128.427125729994
"Cameroon","85-89",140.838009597613,138.752735189585,142.8972529462
"Ethiopia","85-89",211.555411590844,208.668266744407,214.261412151578
"Indonesia","85-89",97.1191175049949,96.161564312302,98.2141608541459
"Bangladesh","85-89",155.517072017621,153.984614463396,157.016893392566
"Philippines","85-89",65.0150104445764,64.0838308232934,66.0717601315171
"Egypt","85-89",97.5299408371315,95.2410543296908,99.9700339052011
"Morocco","85-89",83.0993597046235,81.6065261216604,84.4647882526728
"Niger","85-89",306.352497503877,303.064626648519,309.70165808339
"Burkina Faso","85-89",218.125054942439,215.858476759068,220.786650901203
"Senegal","85-89",155.767178032425,154.153421084267,157.310449998306
"Mali","85-89",240.251819274108,237.663381884854,243.275143237653
"Ghana","85-89",134.207725695689,132.479207808781,135.867946239141
"Nigeria","85-89",210.743898105784,207.859338266721,213.876881532838
"Kenya","85-89",93.6689862905484,92.162642928293,95.1369840709525
"Uganda","85-89",177.002550869796,174.762673279926,179.149092864534
"Rwanda","85-89",156.426370027118,152.451186141248,159.969352963872
"Zambia","85-89",170.453506206317,166.388525370157,174.58050492432
"Zimbabwe","85-89",69.1378635777394,68.1019908566998,70.2705543517906
"Malawi","85-89",235.408345976589,230.636334843525,240.450033206862
"Congo","85-89",96.3062460788632,93.2382528581076,99.3049638833695
"Benin","85-89",191.789230573106,189.486900356501,194.291308198256
"Chad","85-89",212.024088852828,208.562898398247,215.037694423775
"Democratic Republic of the Congo","85-89",161.021844590489,156.178728305802,166.635615379598
"Eritrea","85-89",161.602523408714,158.075358135366,165.109876260341
"Gabon","85-89",89.6564970182819,87.525268874739,91.8560523482139
"Guinea","85-89",243.384611733136,239.924477863404,247.152603562507
"Lesotho","85-89",94.4081656472689,92.0908111618903,96.8296978132844
"Liberia","85-89",227.045871304837,223.850110906873,230.330111866427
"Madagascar","85-89",161.668077342209,157.730348389582,165.744550863435
"Mozambique","85-89",230.619488257595,223.881997215715,238.235351674022
"Namibia","85-89",77.1838447334502,74.6659147850616,79.7745701117721
"Sierra Leone","85-89",256.495804071346,252.649187280808,260.155917522575
"Tanzania","85-89",161.406134381817,159.638777732522,163.272985519451
"Togo","85-89",150.467000132957,148.209262472186,152.782852262268
"Cambodia","90-94",115.925681547507,114.016879638688,117.926775210473
"Cameroon","90-94",138.185817687335,136.102537979888,140.0914789449
"Ethiopia","90-94",191.459455540408,188.827198077613,193.827798590826
"Indonesia","90-94",76.0746500215762,75.2058426584095,76.9015630405259
"Bangladesh","90-94",125.934858052623,124.544730043678,127.289753959443
"Philippines","90-94",50.1203774848427,49.2856078649372,51.0530327585495
"Egypt","90-94",74.5335826718173,72.6199114050415,76.5547724027583
"Morocco","90-94",63.5798346431155,62.3927391117885,64.9315643621056
"Niger","90-94",285.112886802649,281.839071655887,288.728932655968
"Burkina Faso","90-94",202.654086203636,200.297268556868,204.839981031041
"Senegal","90-94",139.814766071291,138.057604291628,141.31797327187
"Mali","90-94",222.21128309673,219.547770513661,225.137796400444
"Ghana","90-94",116.653033704512,115.068631576514,118.427698354556
"Nigeria","90-94",204.176485593042,201.5442558432,206.97125870329
"Kenya","90-94",93.4766571321751,91.9328435733422,95.0164306581657
"Uganda","90-94",162.284645244068,160.444242599757,164.147898083477
"Rwanda","90-94",187.820518375485,163.449630826308,216.868960728608
"Zambia","90-94",168.576089755056,164.394921371969,172.061504595275
"Zimbabwe","90-94",66.9883725485286,65.8715640575234,68.0791120820135
"Malawi","90-94",212.050588408628,207.953577388544,216.479407756804
"Congo","90-94",95.2651205085875,92.6021373453127,97.8512832065352
"Benin","90-94",172.460353116333,170.195879606905,174.629211154544
"Chad","90-94",195.245994496428,192.477142196149,198.259050322761
"Democratic Republic of the Congo","90-94",165.88738465104,160.541637446378,171.622527392487
"Eritrea","90-94",134.764050035301,131.59260139015,137.989750629072
"Gabon","90-94",79.8961972458128,78.2252327722583,81.797022389159
"Guinea","90-94",218.397630099967,215.395348456493,221.437961857863
"Lesotho","90-94",90.8040501462788,88.6804289657477,92.8204179639898
"Liberia","90-94",220.599717439446,216.618075813315,224.477517390043
"Madagascar","90-94",139.437516141107,135.984919697469,142.879172576518
"Mozambique","90-94",205.174586432571,202.809062132387,207.706948120701
"Namibia","90-94",66.027378796848,64.0577399581218,68.0285422017453
"Sierra Leone","90-94",238.748449485772,235.45661771534,241.95898326421
"Tanzania","90-94",150.463768328638,148.527581692209,152.190303317646
"Togo","90-94",140.725557724094,138.553174563247,143.151302123003
"Cambodia","95-99",110.025125506139,108.02955430553,112.095012148877
"Cameroon","95-99",140.208921921708,137.837072657313,142.574394172369
"Ethiopia","95-99",162.489132810569,160.107289218973,164.872223982419
"Indonesia","95-99",58.0417510571981,57.2929796672828,58.799357844208
"Bangladesh","95-99",97.7379092757148,96.6855995923663,98.8899391696301
"Philippines","95-99",39.9069717180101,39.1711294648533,40.6131540495116
"Egypt","95-99",52.5137030223102,50.8588956179332,54.1984530460041
"Morocco","95-99",50.4230061719694,49.0969561206152,51.8506975695213
"Niger","95-99",248.853545844065,245.14648731233,252.333138223705
"Burkina Faso","95-99",188.880739229146,186.702000915664,191.417445096507
"Senegal","95-99",128.376358656115,126.778025938853,129.940369740311
"Mali","95-99",205.615346929794,202.492953109036,208.44460918516
"Ghana","95-99",105.143527725764,103.633066069064,106.604008900534
"Nigeria","95-99",192.147002603137,189.680947126098,194.71154265391
"Kenya","95-99",93.7143479841276,92.0266290697132,95.270266088359
"Uganda","95-99",143.806209480251,141.822042857851,145.600878923976
"Rwanda","95-99",176.384389935996,171.824315677305,180.546231123542
"Zambia","95-99",154.773768814965,150.929725773219,158.697954639463
"Zimbabwe","95-99",74.1230222633908,72.8738931388932,75.482074304866
"Malawi","95-99",184.448616246085,180.186567936447,188.563452288051
"Congo","95-99",108.34087438057,104.244687857985,112.753998525716
"Benin","95-99",152.557046265329,150.338404780946,154.784220768591
"Chad","95-99",186.825869359593,183.798454620033,190.073593096933
"Democratic Republic of the Congo","95-99",162.406338655868,157.265518643935,167.952151469424
"Eritrea","95-99",106.701990869789,102.583984563641,110.977246070266
"Gabon","95-99",73.5343474456751,71.8592227429891,75.2433627476
"Guinea","95-99",191.12420102303,188.412307490342,193.907516180181
"Lesotho","95-99",97.1929208104357,95.0798521856372,99.4535120807894
"Liberia","95-99",195.344816892444,192.456189445156,198.265175515527
"Madagascar","95-99",119.846122432428,116.475248132505,123.517635254543
"Mozambique","95-99",176.972452666691,174.795958669008,179.197855564733
"Namibia","95-99",61.1370196411277,59.1586506325495,63.3104009442841
"Sierra Leone","95-99",221.118068922496,218.346467245421,224.346348421482
"Tanzania","95-99",134.948581880725,133.299359347459,136.868658245538
"Togo","95-99",130.009176574559,127.731991048699,132.368103518361
"Cambodia","00-04",84.1441515238281,82.3968877646609,85.9738267531423
"Cameroon","00-04",132.615835106902,130.138966844067,135.267249259797
"Ethiopia","00-04",129.270088942938,127.172871939418,131.384769338835
"Indonesia","00-04",46.1194187165738,45.2833619258983,46.9811446489138
"Bangladesh","00-04",76.0882711026873,75.0437818363133,77.0762623488511
"Philippines","00-04",34.5597697995857,33.8702037223727,35.376070597409
"Egypt","00-04",38.0467348440118,36.6701018247827,39.3801302756377
"Morocco","00-04",40.276242364226,38.4909119053205,42.0314021003949
"Niger","00-04",203.865328841355,200.76164946576,207.100302752501
"Burkina Faso","00-04",168.262431609501,165.683272213669,170.793707019985
"Senegal","00-04",107.374197576175,106.020576490988,108.761280786323
"Mali","00-04",182.239601436464,179.263522772784,185.51836699582
"Ghana","00-04",93.2992018529655,91.8037752206728,94.7982532107908
"Nigeria","00-04",175.489746881492,172.920673609383,177.997250761786
"Kenya","00-04",81.8797232286612,80.1428783051711,83.7295615985084
"Uganda","00-04",121.658792831299,119.86717628507,123.37538366739
"Rwanda","00-04",137.761007695555,133.646570022789,141.352957307553
"Zambia","00-04",130.724607905457,126.828961429123,134.324492260329
"Zimbabwe","00-04",81.0331652514295,79.5057681770338,82.396421218976
"Malawi","00-04",147.193958883129,143.207735846642,151.062952613544
"Congo","00-04",103.82578248901,100.738121525992,106.978126686119
"Benin","00-04",130.489565606262,128.207941389843,132.685362674927
"Chad","00-04",178.315778033573,174.294060876339,182.451220542148
"Democratic Republic of the Congo","00-04",142.426900346201,137.669225540493,147.568850558468
"Eritrea","00-04",95.5178185288906,86.4874698244158,106.447633595798
"Gabon","00-04",69.9885955212835,68.3325391924429,71.7582308652795
"Guinea","00-04",164.934781369472,162.057429327401,167.721042332945
"Lesotho","00-04",112.342007482726,109.667467585734,115.038130766901
"Liberia","00-04",146.9485234693,144.512418212935,149.520204073906
"Madagascar","00-04",98.5458888866954,95.1441899817923,102.107733665175
"Mozambique","00-04",144.163834588779,141.979463116464,146.212153086846
"Namibia","00-04",64.6754113930292,62.3275492239589,66.9967661046735
"Sierra Leone","00-04",198.591099114246,196.167184711098,201.450629207445
"Tanzania","00-04",110.670587509136,108.672722727039,112.554923566771
"Togo","00-04",117.780484632754,115.567407364857,120.257489934266
"Cambodia","05-09",55.8004075090799,54.2674543274268,57.2825818666192
"Cameroon","05-09",117.528885297279,114.485915240835,120.779823738024
"Ethiopia","05-09",97.8592092523656,95.469916051191,100.572385116916
"Indonesia","05-09",35.9075123333316,34.9910649331066,36.9375291276358
"Bangladesh","05-09",59.1278606533808,58.1192445037674,60.1664239637769
"Philippines","05-09",30.5088106883672,29.6107950730882,31.3383830601675
"Egypt","05-09",31.3214180042978,29.7768900865146,32.9236273075935
"Morocco","05-09",32.2523629591128,30.1961433580555,34.4112099338896
"Niger","05-09",158.011605922588,154.33084090298,161.763340901331
"Burkina Faso","05-09",144.035257218513,140.791580816892,147.393329878266
"Senegal","05-09",81.941791651061,80.7016921550542,83.2629418215333
"Mali","05-09",158.738176791531,154.995403583413,162.520109593482
"Ghana","05-09",79.4933492940003,77.8533035571646,81.0786653903126
"Nigeria","05-09",149.693644085647,146.705520595963,152.372490403659
"Kenya","05-09",63.7496390069117,62.1634985309585,65.4478433457766
"Uganda","05-09",99.9838824864394,97.9007674166957,102.171095740349
"Rwanda","05-09",86.7435275902442,83.6975733062573,89.9807104028241
"Zambia","05-09",98.9838228649185,95.3902180944585,102.717188814686
"Zimbabwe","05-09",81.8961726686483,79.9267073133662,83.6294770290901
"Malawi","05-09",112.490707209809,109.061007417141,115.985011081281
"Congo","05-09",79.421930973846,76.789260403072,81.9937192478056
"Benin","05-09",107.754418536771,105.253863295006,110.365032374321
"Chad","05-09",159.787865885948,154.386621106785,165.01758030485
"Democratic Republic of the Congo","05-09",120.739790430444,116.107616441826,125.816958156326
"Eritrea","05-09",78.7077970246737,72.8938736266646,84.441835547166
"Gabon","05-09",63.2285447915941,61.1306404017201,64.9716882840337
"Guinea","05-09",141.979247716545,138.52525623755,145.728299001138
"Lesotho","05-09",116.613318598699,112.838178767115,120.416382480347
"Liberia","05-09",106.281091351457,104.223928561859,108.453850220992
"Madagascar","05-09",78.8350843784228,75.5197363896639,82.7890861495323
"Mozambique","05-09",114.910031074491,112.422715206778,117.287612352725
"Namibia","05-09",61.5755531351627,58.7524633341537,64.5101953453957
"Sierra Leone","05-09",168.797885263545,165.81502317573,171.712364072664
"Tanzania","05-09",87.5467308045651,85.1054141447566,89.8695062460981
"Togo","05-09",104.1676548359,101.746059215613,106.690136040707
"Cambodia","10-14",38.4674404704493,36.8545201825478,40.1291236196688
"Cameroon","10-14",99.6405174448458,95.0737686364913,104.519036626339
"Ethiopia","10-14",72.8652305197369,69.7193518485605,75.8452936733672
"Indonesia","10-14",27.60142019301,26.3279016384336,29.0750185604335
"Bangladesh","10-14",45.840645258774,44.6461507368544,47.2020375296669
"Philippines","10-14",26.338510682245,25.1896658458653,27.4812308662802
"Egypt","10-14",25.7899612922761,24.1412410020284,27.4701415397919
"Morocco","10-14",25.871474058173,23.7768145660551,28.259294345736
"Niger","10-14",127.021546339515,121.926065028066,131.915013896829
"Burkina Faso","10-14",122.57680190278,118.412424528548,127.043646385866
"Senegal","10-14",61.6473154043852,59.9066347629753,63.1974440019361
