"country","period","Median","Lower","Upper"
"Cambodia","80-84",144.505512309455,139.309994958318,150.197136288843
"Cameroon","80-84",169.281525773959,163.271289262865,175.029221109896
"Ethiopia","80-84",235.806802120512,227.458352517526,244.60499194872
"Indonesia","80-84",113.875936122597,111.529524280328,116.312543416828
"Bangladesh","80-84",188.957400281101,186.382477962447,191.583429840339
"Philippines","80-84",78.3599064514803,76.1833696061748,80.7875160395486
"Egypt","80-84",147.623646039687,144.539062681431,150.813694467817
"Morocco","80-84",120.682798505075,117.853593601616,123.931988615645
"Niger","80-84",323.446980545232,313.753214951294,332.988135278681
"Burkina Faso","80-84",232.027554015872,224.896428540424,238.696281822333
"Senegal","80-84",192.098148142,187.981790055978,196.672606834284
"Mali","80-84",308.663837753472,299.757211753596,318.129031398242
"Ghana","80-84",162.85132667801,158.953785206583,166.772452136241
"Nigeria","80-84",210.736641885796,203.419841775493,218.045276007294
"Kenya","80-84",102.571784011253,99.8050916566684,105.458284095439
"Uganda","80-84",209.199318787804,203.144078293849,215.577369592218
"Rwanda","80-84",188.625700245637,182.955397813506,193.807783364288
"Zambia","80-84",162.094202592155,157.418262379828,167.224826411354
"Zimbabwe","80-84",94.3590426526086,91.1319164913352,97.6391669560229
"Malawi","80-84",247.375788474856,240.905090973526,254.481558982517
"Congo","80-84",107.209777870559,97.734510715082,116.733993076124
"Benin","80-84",210.23794045524,204.332336780541,216.732511590731
"Chad","80-84",236.466050009057,227.145006932855,245.732251459878
"Democratic Republic of the Congo","80-84",205.536207273152,194.806941203858,217.487019857065
"Eritrea","80-84",184.991196958775,176.715055766096,193.262970922944
"Gabon","80-84",109.943413535086,102.254499905344,119.095045034977
"Guinea","80-84",277.317886682712,268.921140565847,287.270944678864
"Lesotho","80-84",109.692171479289,105.001998925957,115.300604551255
"Liberia","80-84",236.869304790321,227.224305647552,245.587833360104
"Madagascar","80-84",180.074412502708,174.504554375,186.074811371108
"Mozambique","80-84",259.854046378182,250.078430058252,271.136267662815
"Namibia","80-84",94.2470644784301,90.4518301694189,98.0362375242622
"Sierra Leone","80-84",281.410164609536,268.543713744059,294.890718233277
"Tanzania","80-84",179.26938112384,174.321939311668,184.400310307789
"Togo","80-84",169.653844354424,163.433586980503,175.536835805567
"Cambodia","85-89",118.746442921297,114.622794694836,122.972279635878
"Cameroon","85-89",142.176216304669,137.559620775083,146.540141658528
"Ethiopia","85-89",215.745856900396,208.648237994734,222.988320851039
"Indonesia","85-89",95.8979892903635,93.9688113902712,97.9556328510217
"Bangladesh","85-89",161.561317490373,159.492665889551,163.697991624795
"Philippines","85-89",68.2083609157027,66.1389264546042,70.4984186612128
"Egypt","85-89",103.225196036012,101.143431086147,105.399204656117
"Morocco","85-89",93.0611386404095,90.4885955703183,95.6834955996022
"Niger","85-89",335.447964688287,325.613773002611,344.979981716822
"Burkina Faso","85-89",210.068995511539,204.380652803642,216.269077184123
"Senegal","85-89",157.152055011605,153.532629628779,160.547777074189
"Mali","85-89",271.396397316107,263.510209639364,279.204631869376
"Ghana","85-89",143.803509220936,140.485023393439,147.510250019768
"Nigeria","85-89",211.461146436076,205.534030984423,217.769132634753
"Kenya","85-89",97.4694269841202,94.6968141553931,100.117805350741
"Uganda","85-89",192.142139228894,187.024793343799,197.236701447202
"Rwanda","85-89",153.067136224294,148.608208503497,157.433659643921
"Zambia","85-89",183.56669942208,178.670190469542,188.633757055769
"Zimbabwe","85-89",75.7578132819428,73.211125716589,78.6606310757599
"Malawi","85-89",251.187949175302,244.394349138575,258.12888820493
"Congo","85-89",94.6785818030692,88.5566028801809,101.046545304723
"Benin","85-89",192.26919930166,186.660393292977,198.043295446361
"Chad","85-89",223.015898600112,215.48422838665,230.642622138673
"Democratic Republic of the Congo","85-89",192.62506710375,184.313256228644,202.273111756087
"Eritrea","85-89",166.520601029274,159.761527076295,173.348909433293
"Gabon","85-89",96.9165268697802,90.8473719837508,103.921389033575
"Guinea","85-89",253.38041838791,246.203493698784,260.643257254998
"Lesotho","85-89",92.6804654685799,88.5952153849596,96.9096357983624
"Liberia","85-89",242.852625930703,234.472667405428,252.21233585083
"Madagascar","85-89",175.509693323312,170.54239186735,181.156639674621
"Mozambique","85-89",248.724120718583,238.905013585872,257.880457178837
"Namibia","85-89",81.0042615346773,77.9749329786631,84.3156088492085
"Sierra Leone","85-89",268.020993549322,258.063661745597,278.783062992302
"Tanzania","85-89",171.798587299524,167.301035264691,176.393941584382
"Togo","85-89",153.331567299988,148.783435928157,158.656491545877
"Cambodia","90-94",118.35921307548,114.557944435738,122.205108203059
"Cameroon","90-94",143.13407073208,138.458317548192,148.010438787451
"Ethiopia","90-94",194.167921294583,188.175331240321,201.316820311647
"Indonesia","90-94",77.3100333471128,75.8318648471817,78.9145384101307
"Bangladesh","90-94",131.850062879736,130.150867402819,133.749437981504
"Philippines","90-94",52.3249460729139,50.7166020055273,54.0057702579735
"Egypt","90-94",77.6356184424958,76.0092971950228,79.237025376386
"Morocco","90-94",73.153555824826,70.8892049093057,75.35773031807
"Niger","90-94",311.640281669975,303.317683540005,320.120789949195
"Burkina Faso","90-94",201.77132164473,196.362739634243,207.540119150958
"Senegal","90-94",139.519255940521,136.446377513267,142.904984714013
"Mali","90-94",247.329998875977,239.501419523433,254.410702559809
"Ghana","90-94",120.403885513833,117.318556322196,123.759079480222
"Nigeria","90-94",211.301429336557,205.574775172045,217.093516999758
"Kenya","90-94",108.118950906011,105.074446883613,111.37020172769
"Uganda","90-94",179.549158125598,174.340363100154,184.650965640967
"Rwanda","90-94",182.690416535534,176.513081659492,189.448576218486
"Zambia","90-94",188.268078794822,183.240893580445,193.10090754127
"Zimbabwe","90-94",83.1445357050019,80.3298460129252,86.0094018788912
"Malawi","90-94",227.09473551893,221.439976673875,233.441628237944
"Congo","90-94",98.3183346040941,93.0350693285142,103.568799505526
"Benin","90-94",170.470393501996,165.822334211456,175.170330636957
"Chad","90-94",209.678269404288,202.882545859162,216.800900537217
"Democratic Republic of the Congo","90-94",182.132185974491,174.456942061829,190.415783312787
"Eritrea","90-94",138.537803069011,133.119248201834,143.949766032723
"Gabon","90-94",91.9347577311493,86.1434953167105,97.9864709498701
"Guinea","90-94",225.397901307765,219.013656385586,232.149140715028
"Lesotho","90-94",90.0098262755048,86.4478581411278,93.7984190973378
"Liberia","90-94",253.529585032131,244.13217802624,264.031205508428
"Madagascar","90-94",151.616305633936,146.902453243046,156.189989039541
"Mozambique","90-94",231.853632184499,224.043388268681,239.633802590964
"Namibia","90-94",70.9732839679055,68.0874623823491,74.1057486199468
"Sierra Leone","90-94",262.54852018449,253.365309085527,271.49796794274
"Tanzania","90-94",162.565192477512,158.288058940168,166.924986636873
"Togo","90-94",142.101713441004,137.897698531578,146.751046850851
"Cambodia","95-99",120.876812314177,116.968026874302,125.013487790547
"Cameroon","95-99",154.138375061151,148.713301154252,159.727623754948
"Ethiopia","95-99",161.995988241475,156.753095574169,167.619260989739
"Indonesia","95-99",60.747405831182,59.446914817005,62.1607210228479
"Bangladesh","95-99",103.313012330899,101.758114727851,104.988574868877
"Philippines","95-99",42.8460505406348,41.5794803495244,44.3111805555177
"Egypt","95-99",56.8481968604584,55.6011327438071,58.3440332544894
"Morocco","95-99",57.7325725893496,55.7329900306868,59.7945297675466
"Niger","95-99",255.867829377233,248.962496539868,263.805508382299
"Burkina Faso","95-99",193.785981898662,188.267776511728,200.092282708081
"Senegal","95-99",142.318629064446,138.718520941699,145.752129061319
"Mali","95-99",234.255998100195,227.417550365052,242.229636829758
"Ghana","95-99",109.016642095357,106.251586555847,112.080970418825
"Nigeria","95-99",200.4537799516,194.944919229286,205.958457546709
"Kenya","95-99",113.988579072345,110.541589360041,117.417198282269
"Uganda","95-99",163.026873243161,158.728840129552,167.423424260784
"Rwanda","95-99",225.092856638482,212.463260161206,236.581069074816
"Zambia","95-99",175.170532329802,170.413382385489,180.0793212614
"Zimbabwe","95-99",101.157760823284,97.3112294070188,105.095702961889
"Malawi","95-99",197.099425795956,192.432053414678,202.116385556704
"Congo","95-99",115.576829323077,110.269364521424,120.961432549488
"Benin","95-99",153.578077448518,149.228280424739,158.092324147519
"Chad","95-99",198.219495387174,191.972635088139,205.094310268186
"Democratic Republic of the Congo","95-99",171.660754935679,164.491628245722,179.335042881735
"Eritrea","95-99",105.551591489578,101.33377113035,109.890949517288
"Gabon","95-99",88.826479491594,83.3074075280563,94.8526691909245
"Guinea","95-99",191.828848560583,185.907654447161,197.586209503099
"Lesotho","95-99",107.247805342383,103.631729638231,111.666529016839
"Liberia","95-99",215.177790078319,207.456725982964,223.064910413104
"Madagascar","95-99",127.217394118995,123.038505103668,131.46600124653
"Mozambique","95-99",198.196484410992,192.018808222301,205.077584473455
"Namibia","95-99",72.6482913336612,69.2066982268681,75.9187059429917
"Sierra Leone","95-99",250.101924705239,242.006563026855,258.611425745638
"Tanzania","95-99",149.000979749715,144.885555281182,152.974063603627
"Togo","95-99",129.915836554675,125.917669845832,133.996189949565
"Cambodia","00-04",89.4567217603711,85.5928139303585,92.934702238031
"Cameroon","00-04",139.950034000534,133.557143131087,146.003560955064
"Ethiopia","00-04",131.723235613374,126.675325032411,136.417894008703
"Indonesia","00-04",48.910540422651,47.7079164275941,50.0629860495754
"Bangladesh","00-04",79.1578487943334,77.9523238458622,80.556340120508
"Philippines","00-04",38.0828122075737,36.7594094400274,39.5712277486067
"Egypt","00-04",41.5264696791831,40.3020865432296,42.8794861851502
"Morocco","00-04",45.8752350551217,44.0107129018271,47.8182190190532
"Niger","00-04",205.976722891028,199.461543392004,212.555533460122
"Burkina Faso","00-04",176.958290932748,170.598613689829,183.875791840929
"Senegal","00-04",120.047640517644,116.360371923835,123.447970580265
"Mali","00-04",200.964184971511,193.89670860548,208.554882061787
"Ghana","00-04",94.3614100828815,91.4625916221401,97.3743014353007
"Nigeria","00-04",175.322925986159,170.328034382162,180.061210096413
"Kenya","00-04",99.7051714964616,96.1375726287208,103.529951198397
"Uganda","00-04",132.14332497372,128.318144429605,136.046971541132
"Rwanda","00-04",153.900683646778,149.437396264192,158.949762772654
"Zambia","00-04",141.885295380688,137.342620471512,147.011622049854
"Zimbabwe","00-04",104.553525933699,100.330191673219,109.081510290815
"Malawi","00-04",148.180747785142,143.933205710744,152.985051523118
"Congo","00-04",113.92960877272,108.874247809898,118.7397319752
"Benin","00-04",136.922457082252,132.1833157369,141.283114091207
"Chad","00-04",184.234060533139,176.95071222647,191.971795578111
"Democratic Republic of the Congo","00-04",152.220196466986,146.0052269977,158.368701918832
"Eritrea","00-04",80.554756964747,76.599009344061,84.5546726724292
"Gabon","00-04",83.1562935135095,77.529541259109,89.2374765141452
"Guinea","00-04",156.12993239613,150.876777378404,161.285809632235
"Lesotho","00-04",120.239252749685,115.874050501058,124.56664231025
"Liberia","00-04",157.477431135308,151.797599283417,163.442954611522
"Madagascar","00-04",97.0726361051524,92.8246541178359,101.477464057935
"Mozambique","00-04",154.797046120001,149.665070925053,160.173850362589
"Namibia","00-04",75.5807116829352,72.4909213178422,78.8066462551344
"Sierra Leone","00-04",223.387049494632,216.57115852197,230.81496919705
"Tanzania","00-04",114.330374675143,110.509425115363,118.196796519759
"Togo","00-04",114.229248265733,110.537869195983,118.01397146047
"Cambodia","05-09",56.0267371276783,53.002723278761,59.4855255922249
"Cameroon","05-09",116.627022508086,105.172895083515,128.47622319515
"Ethiopia","05-09",94.3915666674626,89.2012052803501,99.5363670363721
"Indonesia","05-09",37.9124237264172,36.7046804874162,39.1699139521078
"Bangladesh","05-09",59.6765225896075,58.5175340234094,60.9250493585943
"Philippines","05-09",34.2582877057607,32.7450400408397,35.8095907480733
"Egypt","05-09",32.8150824634822,31.3159488618187,34.1024841620609
"Morocco","05-09",37.1624822116206,35.2288644208154,39.2519757007347
"Niger","05-09",151.080651999388,144.773183850268,157.847338512425
"Burkina Faso","05-09",139.536960271319,133.632085541509,145.7189021666
"Senegal","05-09",82.31022602789,79.0513625858419,85.7595210555577
"Mali","05-09",155.289490917932,143.816236878842,166.767388932036
"Ghana","05-09",82.1978477055693,79.0392326803947,85.5253903045427
"Nigeria","05-09",146.489346092358,141.676886394755,151.761547873265
"Kenya","05-09",75.4191091590564,71.5443862123862,79.4330127056634
"Uganda","05-09",92.8203793219144,89.4919757361971,96.2111538391829
"Rwanda","05-09",88.7904808045321,85.4167966211077,92.1553584850163
"Zambia","05-09",98.6914663003512,95.1188114643894,102.471324110125
"Zimbabwe","05-09",97.5951185129573,93.3159042039561,102.220045370739
"Malawi","05-09",105.239078417397,101.005075544064,109.831828280839
"Congo","05-09",79.6584516680255,75.4090296292054,84.7673293840716
"Benin","05-09",118.350572785441,113.027840255305,124.290432874186
"Chad","05-09",171.260076220239,160.471408248334,182.073303122628
"Democratic Republic of the Congo","05-09",129.237047387723,122.261547805271,136.705114236452
"Eritrea","05-09",63.6168123183498,58.0685206889286,69.1003166041556
"Gabon","05-09",71.6434897203058,66.7921700562015,76.8940436712422
"Guinea","05-09",126.224761945257,120.10532371867,132.365780089612
"Lesotho","05-09",117.974379000222,113.030786116508,123.214491196864
"Liberia","05-09",108.355352262884,103.628841239082,113.288079489132
"Madagascar","05-09",71.356746536404,66.4114400396894,76.6142239319604
"Mozambique","05-09",120.29484502249,115.630061333266,125.696894741109
"Namibia","05-09",64.5103783648133,61.0426552637826,68.5072051119294
"Sierra Leone","05-09",187.570863265099,180.45469244606,194.587335597773
"Tanzania","05-09",79.5891851063291,75.4953131008858,84.1475207105133
"Togo","05-09",99.1986372071789,95.3101923624152,103.133344922604
"Cambodia","10-14",36.4389169729355,33.2374189970156,40.06950746683
"Cameroon","10-14",98.845018796932,80.9139500494599,120.501597794277
"Ethiopia","10-14",67.3574066504504,60.1913061191914,75.4135285301696
"Indonesia","10-14",30.5648236131841,28.9298618398078,32.4077945503313
"Bangladesh","10-14",44.2633511674957,42.6230534361339,45.992465954063
"Philippines","10-14",30.4781600299175,28.0602470843425,32.9682510826813
"Egypt","10-14",26.8437880067388,24.9807431094401,28.8571282643573
"Morocco","10-14",30.5134356538274,27.8721736785371,33.4829865557356
"Niger","10-14",110.694175811644,101.565794485471,121.647277953697
"Burkina Faso","10-14",102.061711096773,93.10728468362,111.528437387803
"Senegal","10-14",56.6764642165986,51.7863602980945,62.087064372717
"Mali","10-14",128.090339510677,110.803566261921,148.020671607694
"Ghana","10-14",68.9108507643542,64.119602020277,74.3452424595668
"Nigeria","10-14",120.805144766709,112.424479394601,130.512743060796
"Kenya","10-14",56.3130286273325,51.5850373452568,61.0630058705852
"Uganda","10-14",65.5621897602507,59.9646315086419,71.096435959304
"Rwanda","10-14",53.3354246776295,49.1201213495434,57.8199130090475
"Zambia","10-14",74.298587932895,70.1312684911045,78.8851994320718
"Zimbabwe","10-14",81.0339405235154,73.887003898397,88.6167429353423
"Malawi","10-14",79.651605040427,72.8947460474828,87.1003232145202
"Congo","10-14",53.1661169470283,46.9952066773265,60.0340904313132
"Benin","10-14",106.288975859422,98.5196347034426,115.371914963556
"Chad","10-14",153.042088103903,134.673883857134,175.781359019677
"Democratic Republic of the Congo","10-14",107.922803543384,97.6158155961909,119.215300413409
"Eritrea","10-14",52.8585060303013,45.7314248254511,60.9548176055447
"Gabon","10-14",57.25468867526,51.4477209257752,64.3743895069667
"Guinea","10-14",104.642135203522,96.2088546109537,113.991163859526
"Lesotho","10-14",95.6060392892402,88.7963900851722,103.233364334135
"Liberia","10-14",80.9912830351593,75.0068752507368,87.2232094808419
"Madagascar","10-14",55.7063128809399,48.6255998874014,64.6989704423139
"Mozambique","10-14",92.1007980906431,85.7575768019864,99.2456826799051
"Namibia","10-14",50.3880415720315,45.1379828440859,56.4795055558819
"Sierra Leone","10-14",142.262711007008,134.043717011713,150.473305712196
"Tanzania","10-14",56.6403254278052,50.6978947850499,63.7124970750185
"Togo","10-14",85.6393680335649,80.536998873368,90.825584635236
"Angola","80-84",232.95336317731,214.364622446577,254.997291515783
"Comoros","80-84",164.082435659524,156.287738088495,172.550732025324
"Burundi","80-84",201.568520344772,193.318927277299,211.059726025647
"Gambia","80-84",228.473125110116,214.235724300699,242.386836483393
"Cote d'Ivoire","80-84",160.364342576185,154.828351690652,165.77165793887
"Angola","85-89",227.721613454486,214.733583976823,241.685725770144
"Comoros","85-89",137.657637850025,130.876332012671,145.534934938186
"Burundi","85-89",172.345802324107,164.060335530168,180.821472706601
"Gambia","85-89",191.144417696713,180.52545759667,202.282104051232
"Cote d'Ivoire","85-89",152.920682061912,148.314846690277,157.648690107868
"Angola","90-94",226.998963596829,215.426051394291,238.748896728811
"Comoros","90-94",116.851300703212,110.737831375621,123.029130696166
"Burundi","90-94",173.742316884374,165.420786718478,182.227364839568
"Gambia","90-94",158.236557212595,150.733759487453,166.370248247324
"Cote d'Ivoire","90-94",153.013307395289,148.258032863171,157.661364211339
"Angola","95-99",223.286786541549,211.971948750978,235.646961779248
"Comoros","95-99",101.904400489311,94.261808195992,109.798327964381
"Burundi","95-99",164.767778516481,156.206545165715,173.934462839291
"Gambia","95-99",132.660810979305,126.029119162773,139.896443776672
"Cote d'Ivoire","95-99",150.88792207507,145.616186046576,156.267886659014
