"CountryName","Year","Lower","Median","Upper"
"Angola",1980,187.4,234.1,290.2
"Angola",1981,190,232.8,282.9
"Angola",1982,192.7,231.5,276.8
"Angola",1983,194.3,230.2,271.5
"Angola",1984,196,229.1,267.4
"Angola",1985,197.4,228.3,264
"Angola",1986,198.4,227.5,260.9
"Angola",1987,199.8,226.9,258.6
"Angola",1988,200.6,226.5,257.3
"Angola",1989,201.1,226.2,256.1
"Angola",1990,201.6,226,255.3
"Angola",1991,201.9,225.9,254.4
"Angola",1992,202.3,226,253.6
"Angola",1993,202.1,225.8,253.1
"Angola",1994,201.9,225.5,252.8
"Angola",1995,201.1,224.8,252.5
"Angola",1996,199.9,224,251.7
"Angola",1997,198.2,222.6,250.4
"Angola",1998,195.9,220.8,249.2
"Angola",1999,193.3,218.9,247.9
"Angola",2000,190.4,216.7,246.6
"Angola",2001,186.9,214.1,245.4
"Angola",2002,182.5,211.7,244.7
"Angola",2003,178.3,209.2,244.8
"Angola",2004,172.7,206.7,245.1
"Angola",2005,166.4,203.9,245.4
"Angola",2006,159.9,200.5,245.2
"Angola",2007,153.2,196.4,245.6
"Angola",2008,145.7,192,245.8
"Angola",2009,137.8,187.3,246.8
"Angola",2010,130.1,182.5,248.3
"Angola",2011,122.1,177.3,249.5
"Angola",2012,114.9,172.2,250.8
"Angola",2013,107.7,167.1,252.2
"Angola",2014,101.1,162.2,253.6
"Bangladesh",1980,192.1,198.9,205.8
"Bangladesh",1981,187.9,194.2,200.5
"Bangladesh",1982,183.5,189.4,195.3
"Bangladesh",1983,178.9,184.4,190
"Bangladesh",1984,173.9,179.1,184.4
"Bangladesh",1985,168.5,173.5,178.5
"Bangladesh",1986,163,167.7,172.6
"Bangladesh",1987,157.2,161.8,166.5
"Bangladesh",1988,151.4,155.8,160.3
"Bangladesh",1989,145.5,149.7,154.2
"Bangladesh",1990,139.7,143.7,148.1
"Bangladesh",1991,133.7,137.7,142
"Bangladesh",1992,127.9,131.7,136
"Bangladesh",1993,122,125.8,129.9
"Bangladesh",1994,116.2,119.9,123.9
"Bangladesh",1995,110.6,114.2,118
"Bangladesh",1996,105.1,108.6,112.3
"Bangladesh",1997,99.7,103.2,106.6
"Bangladesh",1998,94.5,97.9,101.3
"Bangladesh",1999,89.6,92.8,96.1
"Bangladesh",2000,85,88,91.1
"Bangladesh",2001,80.5,83.5,86.4
"Bangladesh",2002,76.2,79,81.9
"Bangladesh",2003,72.1,74.8,77.6
"Bangladesh",2004,68.1,70.7,73.5
"Bangladesh",2005,64.3,66.8,69.5
"Bangladesh",2006,60.6,63,65.6
"Bangladesh",2007,57,59.4,62
"Bangladesh",2008,53.4,55.9,58.6
"Bangladesh",2009,50,52.6,55.4
