"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,84,"GMB","Gambia",1,"Banjul",1,"Banjul","GM.BJ.BJ",NA,"","District","District","",""
2,84,"GMB","Gambia",1,"Banjul",2,"Kanifing","GM.BJ.KF",NA,"","District","District","","Kanifing|K.M.C.|K.U.D.C."
3,84,"GMB","Gambia",2,"Lower River",3,"Jarra Central","GM.LR.JC",NA,"","District","District","",""
4,84,"GMB","Gambia",2,"Lower River",4,"Jarra East","GM.LR.JE",NA,"","District","District","",""
5,84,"GMB","Gambia",2,"Lower River",5,"Jarra West","GM.LR.JW",NA,"","District","District","",""
6,84,"GMB","Gambia",2,"Lower River",6,"Kiang Central","GM.LR.KI",NA,"","District","District","",""
7,84,"GMB","Gambia",2,"Lower River",7,"Kiang East","GM.LR.KG",NA,"","District","District","",""
8,84,"GMB","Gambia",2,"Lower River",8,"Kiang West","GM.LR.KW",NA,"","District","District","",""
9,84,"GMB","Gambia",3,"Maccarthy Island",9,"Fulladu West","GM.MC.FW",NA,"","District","District","",""
10,84,"GMB","Gambia",3,"Maccarthy Island",10,"Janjanbureh","GM.MC.JJ",NA,"","District","District","","Janjanbureh|Georgetown|Janjangburreh"
11,84,"GMB","Gambia",3,"Maccarthy Island",11,"Lower Saloum","GM.MC.LS",NA,"","District","District","",""
12,84,"GMB","Gambia",3,"Maccarthy Island",12,"Niamina Dankunku","GM.MC.ND",NA,"","District","District","",""
13,84,"GMB","Gambia",3,"Maccarthy Island",13,"Niamina East","GM.MC.NE",NA,"","District","District","",""
14,84,"GMB","Gambia",3,"Maccarthy Island",14,"Niamina West","GM.MC.NW",NA,"","District","District","",""
15,84,"GMB","Gambia",3,"Maccarthy Island",15,"Niani","GM.MC.NI",NA,"","District","District","",""
16,84,"GMB","Gambia",3,"Maccarthy Island",16,"Nianija","GM.MC.NJ",NA,"","District","District","",""
17,84,"GMB","Gambia",3,"Maccarthy Island",17,"Sami","GM.MC.SM",NA,"","District","District","",""
18,84,"GMB","Gambia",3,"Maccarthy Island",18,"Upper Saloum","GM.MC.US",NA,"","District","District","",""
19,84,"GMB","Gambia",4,"North Bank",19,"Central Baddibu","GM.NB.CB",NA,"","District","District","",""
20,84,"GMB","Gambia",4,"North Bank",20,"Jokadu","GM.NB.JO",NA,"","District","District","",""
21,84,"GMB","Gambia",4,"North Bank",21,"Lower Baddibu","GM.NB.LB",NA,"","District","District","",""
22,84,"GMB","Gambia",4,"North Bank",22,"Lower Nuimi","GM.NB.LN",NA,"","District","District","",""
23,84,"GMB","Gambia",4,"North Bank",23,"Upper Baddibu","GM.NB.UB",NA,"","District","District","",""
24,84,"GMB","Gambia",4,"North Bank",24,"Upper Nuimi","GM.NB.UN",NA,"","District","District","",""
25,84,"GMB","Gambia",5,"Upper River",25,"Fulladu East","GM.UR.FE",NA,"","District","District","",""
26,84,"GMB","Gambia",5,"Upper River",26,"Kantora","GM.UR.KT",NA,"","District","District","",""
27,84,"GMB","Gambia",5,"Upper River",27,"Sandu","GM.UR.SN",NA,"","District","District","",""
28,84,"GMB","Gambia",5,"Upper River",28,"Wuli","GM.UR.WU",NA,"","District","District","",""
29,84,"GMB","Gambia",6,"Western",29,"Foni Bintang Karanai","GM.WE.FO",NA,"","District","District","",""
30,84,"GMB","Gambia",6,"Western",30,"Foni Bondali","GM.WE.FB",NA,"","District","District","",""
31,84,"GMB","Gambia",6,"Western",31,"Foni Brefet","GM.WE.FF",NA,"","District","District","",""
32,84,"GMB","Gambia",6,"Western",32,"Foni Jarrol","GM.WE.FJ",NA,"","District","District","",""
33,84,"GMB","Gambia",6,"Western",33,"Foni Kansala","GM.WE.FK",NA,"","District","District","",""
34,84,"GMB","Gambia",6,"Western",34,"Kombo Central","GM.WE.KC",NA,"","District","District","",""
35,84,"GMB","Gambia",6,"Western",35,"Kombo East","GM.WE.KE",NA,"","District","District","",""
36,84,"GMB","Gambia",6,"Western",36,"Kombo Saint Mary","GM.WE.KN",NA,"","District","District","","Saint Mary|St Mary|Kombo|Kombo North|Kombo Saint Mary"
37,84,"GMB","Gambia",6,"Western",37,"Kombo South","GM.WE.KS",NA,"","District","District","",""
