"Country","Region","Year","Births","Maternal_Population","Maternal_PosPop","Infant_Incidence","Maternal_Prevalence"
"Zimbabwe","Bulawayo",1970,14174,92286,0,0,0
"Zimbabwe","Bulawayo",1971,13759,94929,0,0,0
"Zimbabwe","Bulawayo",1972,14181,97216,0,0,0
"Zimbabwe","Bulawayo",1973,14561,99244,0,0,0
"Zimbabwe","Bulawayo",1974,14918,101171,0,0,0
"Zimbabwe","Bulawayo",1975,15229,102951,9.9347715,2,0.00965
"Zimbabwe","Bulawayo",1976,15457,104803,17.1248102,2,0.01634
"Zimbabwe","Bulawayo",1977,15657,106781,31.0946272,2,0.02912
"Zimbabwe","Bulawayo",1978,15788,109030,56.303092,3,0.05164
"Zimbabwe","Bulawayo",1979,15895,111705,100.4116245,4,0.08989
"Zimbabwe","Bulawayo",1980,15993,114791,176.5944744,6,0.15384
"Zimbabwe","Bulawayo",1981,16171,119591,302.4695572,9,0.25292
"Zimbabwe","Bulawayo",1982,16409,124072,794.7183816,22,0.64053
"Zimbabwe","Bulawayo",1983,16489,128155,1601.9375,41,1.25
"Zimbabwe","Bulawayo",1984,16431,131888,2875.1584,70,2.18
"Zimbabwe","Bulawayo",1985,16274,135366,4737.81,111,3.5
"Zimbabwe","Bulawayo",1986,16113,139429,7250.308,163,5.2
"Zimbabwe","Bulawayo",1987,16102,143602,10511.6664,232,7.32
"Zimbabwe","Bulawayo",1988,16144,147706,14504.7292,317,9.82
"Zimbabwe","Bulawayo",1989,16355,151519,19167.1535,422,12.65
"Zimbabwe","Bulawayo",1990,16547,154951,24125.8707,534,15.57
"Zimbabwe","Bulawayo",1991,16646,157967,29018.5379,641,18.37
"Zimbabwe","Bulawayo",1992,16710,160701,33474.0183,733,20.83
"Zimbabwe","Bulawayo",1993,16790,163239,37120.5486,797,22.74
"Zimbabwe","Bulawayo",1994,16359,165581,40004.3696,819,24.16
"Zimbabwe","Bulawayo",1995,16446,167943,41985.75,835,25
"Zimbabwe","Bulawayo",1996,16520,170170,43001.959,827,25.27
"Zimbabwe","Bulawayo",1997,16561,172279,43190.3453,799,25.07
"Zimbabwe","Bulawayo",1998,16629,174016,42755.7312,771,24.57
"Zimbabwe","Bulawayo",1999,16040,175080,41721.564,708,23.83
"Zimbabwe","Bulawayo",2000,15478,175011,40217.5278,652,22.98
"Zimbabwe","Bulawayo",2001,14774,174141,38432.9187,589,22.07
"Zimbabwe","Bulawayo",2002,14096,172853,36644.836,489,21.2
"Zimbabwe","Bulawayo",2003,13392,171514,35108.9158,419,20.47
"Zimbabwe","Bulawayo",2004,12766,170508,34033.3968,360,19.96
"Zimbabwe","Bulawayo",2005,12536,170077,33964.3769,338,19.97
"Zimbabwe","Bulawayo",2006,12754,170128,34059.6256,348,20.02
"Zimbabwe","Bulawayo",2007,13526,170389,34197.0723,335,20.07
"Zimbabwe","Bulawayo",2008,14378,171327,34830.7791,399,20.33
"Zimbabwe","Bulawayo",2009,15372,173481,36274.8771,333,20.91
"Zimbabwe","Bulawayo",2010,15937,177251,38233.0407,321,21.57
"Zimbabwe","Bulawayo",2011,16337,182467,40671.8943,293,22.29
"Zimbabwe","Bulawayo",2012,16809,188217,43176.9798,274,22.94
"Zimbabwe","Bulawayo",2013,16942,193944,45615.6288,267,23.52
"Zimbabwe","Bulawayo",2014,17023,199260,47862.252,224,24.02
"Zimbabwe","Bulawayo",2015,17028,203913,49938.2937,342,24.49
"Zimbabwe","Bulawayo",2016,16961,207366,51488.9778,216,24.83
"Zimbabwe","Bulawayo",2017,16835,210688,52398.1056,188,24.87
"Zimbabwe","Bulawayo",2018,16654,213721,53045.5522,174,24.82
"Zimbabwe","Bulawayo",2019,16398,216352,53676.9312,172,24.81
"Zimbabwe","Bulawayo",2020,16052,218484,54227.7288,165,24.82
"Zimbabwe","Harare Chitungwiza",1970,51295,287005,0,0,0
"Zimbabwe","Harare Chitungwiza",1971,50088,293994,0,0,0
"Zimbabwe","Harare Chitungwiza",1972,51341,299959,0,0,0
"Zimbabwe","Harare Chitungwiza",1973,52469,305319,0,0,0
"Zimbabwe","Harare Chitungwiza",1974,53373,310670,0,0,0
"Zimbabwe","Harare Chitungwiza",1975,54116,316017,7.900425,2,0.0025
"Zimbabwe","Harare Chitungwiza",1976,54608,322033,18.6457107,2,0.00579
"Zimbabwe","Harare Chitungwiza",1977,54925,328908,45.9155568,3,0.01396
"Zimbabwe","Harare Chitungwiza",1978,55176,337075,107.18985,5,0.0318
"Zimbabwe","Harare Chitungwiza",1979,55323,346995,236.3382945,9,0.06811
"Zimbabwe","Harare Chitungwiza",1980,55592,358646,497.7289188,16,0.13878
"Zimbabwe","Harare Chitungwiza",1981,55989,376996,977.0228336,29,0.25916
"Zimbabwe","Harare Chitungwiza",1982,56773,394439,3106.2860128,88,0.78752
"Zimbabwe","Harare Chitungwiza",1983,57110,410644,6898.8192,190,1.68
"Zimbabwe","Harare Chitungwiza",1984,56943,425618,13194.158,351,3.1
"Zimbabwe","Harare Chitungwiza",1985,56504,439520,22723.184,587,5.17
"Zimbabwe","Harare Chitungwiza",1986,56304,455070,36269.079,923,7.97
