"Country","Region","Year","Median","Lower","Upper","Method"
"Angola","All","80-84",0.189526686317842,0.179328000715004,0.200885351862773,"IHME"
"Angola","All","80-84",0.251282462833659,0.192046536515435,0.322158265537642,"RW2"
"Angola","All","80-84",0.23295336317731,0.214364622446577,0.254997291515783,"UN"
"Angola","All","85-89",0.187444816017575,0.179244810730553,0.196323862915697,"IHME"
"Angola","All","85-89",0.222558163132916,0.18953225261119,0.258437236913252,"RW2"
"Angola","All","85-89",0.227721613454486,0.214733583976823,0.241685725770144,"UN"
"Angola","All","90-94",0.182789081098399,0.175116086920877,0.191146538014687,"IHME"
"Angola","All","90-94",0.226016097502844,0.200246568187757,0.254311346124409,"RW2"
"Angola","All","90-94",0.226998963596829,0.215426051394291,0.238748896728811,"UN"
"Angola","All","95-99",0.161426825490107,0.154515897925872,0.168387333300545,"IHME"
"Angola","All","95-99",0.224395057656722,0.202978882995588,0.247215373881387,"RW2"
"Angola","All","95-99",0.223286786541549,0.211971948750978,0.235646961779248,"UN"
"Angola","All","00-04",0.144354254469964,0.138131470993865,0.151244772787172,"IHME"
"Angola","All","00-04",0.212559153481111,0.185324462625724,0.242755615607724,"RW2"
"Angola","All","00-04",0.21239217662468,0.198394979903232,0.226675854912476,"UN"
"Angola","All","05-09",0.113537546703625,0.10788801572658,0.119830539048402,"IHME"
"Angola","All","05-09",0.194226619532997,0.133858773276637,0.273389625021146,"RW2"
"Angola","All","05-09",0.195225707877291,0.177099889779239,0.218255115733342,"UN"
"Angola","All","10-14",0.0911072895418075,0.0832530904683048,0.0996065661306123,"IHME"
"Angola","All","10-14",0.173943254832105,0.150462308490693,0.200030395947612,"RW2"
"Angola","All","10-14",0.173833840728121,0.144341763548513,0.207560894104491,"UN"
"Angola","bengo","80-84",NA,NA,NA,"HT-Direct"
"Angola","bengo","80-84",0.109416067801725,0.0288164339043863,0.341041370242103,"RW2"
"Angola","bengo","85-89",0.0984565787137923,0.430198305807006,0.0155512159001938,"HT-Direct"
"Angola","bengo","85-89",0.0981779072099461,0.0371777689588255,0.2321576116243,"RW2"
"Angola","bengo","90-94",0.0378091157481755,0.145358447436233,0.00899682636408717,"HT-Direct"
"Angola","bengo","90-94",0.107180343295833,0.0548826117850522,0.196725742416161,"RW2"
"Angola","bengo","95-99",0.0999647153415793,0.213761666673541,0.0434037694847385,"HT-Direct"
"Angola","bengo","95-99",0.110327543799794,0.0687046934047907,0.170862482831386,"RW2"
