"Country","Region","Method","Year","med","q025","q975","District","country","drop"
"Burkina Faso","All","RW2","2015",0.0860061289465402,0.0141404005931304,0.378472271746741,"Burkina Faso:All","Burkina Faso",0.578612790143444
"Benin","All","RW2","2015",0.0907718615512926,0.0148971953335755,0.396727172698888,"Benin:All","Benin",0.492072479624695
"Angola","All","RW2","2015",0.161830914318352,0.0802693117761439,0.299225332152065,"Angola:All","Angola",0.274144989167004
"Burundi","All","RW2","2015",0.074047251543922,0.0104290369380873,0.374133446501388,"Burundi:All","Burundi",0.569571920225655
"Cameroon","All","RW2","2015",0.0890307851250594,0.0530684004346468,0.145735895751867,"Cameroon:All","Cameroon",0.359635631903649
"Chad","All","RW2","2015",0.140367941886246,0.087810464877867,0.216554471712301,"Chad:All","Chad",0.34285300759858
"Comoros","All","RW2","2015",0.0859567596724703,0.0233534444425502,0.272723291500395,"Comoros:All","Comoros",0.309377618231084
"Congo","All","RW2","2015",0.043602319600077,0.0231706914638067,0.0817466485665697,"Congo:All","Congo",0.533111292088561
"Cote_dIvoire","All","RW2","2015",0.0927010482697451,0.0511478731384463,0.162460029080489,"Cote_dIvoire:All","Cote_dIvoire",0.393982612537982
"DRC","All","RW2","2015",0.0963244573428758,0.0584073840016701,0.154939533598265,"DRC:All","DRC",0.482951088364838
"Egypt","All","RW2","2015",0.023218849758002,0.00366454836405962,0.134773901367575,"Egypt:All","Egypt",0.73251598419848
"Ethiopia","All","RW2","2015",0.0554431402902297,0.0334165850808154,0.0910197126047182,"Ethiopia:All","Ethiopia",0.729849584436894
"Gabon","All","RW2","2015",0.0523649797223216,0.0283818193856965,0.0951467160962109,"Gabon:All","Gabon",0.44021030966236
"Gambia","All","RW2","2015",0.0680019919084146,0.0299891094691758,0.14802740639934,"Gambia:All","Gambia",0.600201391421654
"Ghana","All","RW2","2015",0.060524696201632,0.0346183495850016,0.10322765256311,"Ghana:All","Ghana",0.527266381534969
"Guinea","All","RW2","2015",0.0918543518738105,0.0555565339755076,0.148223480021505,"Guinea:All","Guinea",0.613513515734856
"Kenya","All","RW2","2015",0.0476980724255854,0.0282287533882522,0.0797691777421222,"Kenya:All","Kenya",0.536742544834204
"Lesotho","All","RW2","2015",0.0821430229528255,0.0453245215330552,0.143829157411552,"Lesotho:All","Lesotho",0.0787886428916221
"Liberia","All","RW2","2015",0.0704736733371105,0.0401733310346112,0.121876319573357,"Liberia:All","Liberia",0.724610912336255
"Madagascar","All","RW2","2015",0.0428331704433434,0.0065234714874674,0.236648139124664,"Madagascar:All","Madagascar",0.735531931262236
"Malawi","All","RW2","2015",0.0677591984487989,0.0415275060064435,0.108601460562061,"Malawi:All","Malawi",0.715713671587033
"Mali","All","RW2","2015",0.0977160577298327,0.0161801487780119,0.417034798805563,"Mali:All","Mali",0.614498094261424
"Morocco","All","RW2","2015",0.0239352182276402,0.000270954656475878,0.689095008068179,"Morocco:All","Morocco",0.701544795322262
"Mozambique","All","RW2","2015",0.0796114986083289,0.0456993194621892,0.13531659479502,"Mozambique:All","Mozambique",0.669253785323671
"Namibia","All","RW2","2015",0.0432154263137158,0.0233979573499545,0.0790165694387126,"Namibia:All","Namibia",0.416920128099483
"Niger","All","RW2","2015",0.0832673863524509,0.0132943395497067,0.376123536938994,"Niger:All","Niger",0.746666504540923
"Nigeria","All","RW2","2015",0.106842473434976,0.0682818504793596,0.163437942286399,"Nigeria:All","Nigeria",0.49626120848945
"Rwanda","All","RW2","2015",0.0394351854153979,0.0198331953097593,0.0765367480380146,"Rwanda:All","Rwanda",0.754716122911721
"Senegal","All","RW2","2015",0.0455705005882342,0.0273795808556721,0.0748191102628325,"Senegal:All","Senegal",0.678538143141163
"Sierra Leone","All","RW2","2015",0.117033512639212,0.0720663554056183,0.184660466169811,"Sierra Leone:All","Sierra Leone",0.559877257282375
"Tanzania","All","RW2","2015",0.0462587007297157,0.0281588631688911,0.0750803181320751,"Tanzania:All","Tanzania",0.721248853241698
"Togo","All","RW2","2015",0.0784322444648938,0.0471999483671052,0.127719723008356,"Togo:All","Togo",0.464594524710978
"Uganda","All","RW2","2015",0.0542810026393105,0.0315431455856694,0.0923820503705958,"Uganda:All","Uganda",0.705496807446613
"Zambia","All","RW2","2015",0.0644412551538859,0.0386745652110326,0.106147122743311,"Zambia:All","Zambia",0.660207469881677
"Zimbabwe","All","RW2","2015",0.0849707582676558,0.0109176600656817,0.441839797937475,"Zimbabwe:All","Zimbabwe",-0.103414808909053
"Angola","All","UN","2015",0.1569,0.0948,0.2537,"AngolaAll","Angola",0.30575221238938
"Burundi","All","UN","2015",0.0817,0.0497,0.1303,"BurundiAll","Burundi",0.524447031431898
"Benin","All","UN","2015",0.0995,0.0783,0.1269,"BeninAll","Benin",0.445682451253482
"Burkina Faso","All","UN","2015",0.0886,0.0649,0.1191,"Burkina FasoAll","Burkina Faso",0.561819980217606
"Bangladesh","All","UN","2015",0.0376,0.0324,0.0435,"BangladeshAll","Bangladesh",0.738343771746695
"Cote_dIvoire","All","UN","2015",0.0926,0.0723,0.1188,"Cote_dIvoireAll","Cote_dIvoire",0.393184796854522
"Cameroon","All","UN","2015",0.0879,0.0503,0.1479,"CameroonAll","Cameroon",0.36304347826087
"DRC","All","UN","2015",0.0983,0.0713,0.1298,"DRCAll","DRC",0.472922252010724
"Congo","All","UN","2015",0.045,0.0296,0.0665,"CongoAll","Congo",0.519230769230769
"Comoros","All","UN","2015",0.0735,0.0394,0.1446,"ComorosAll","Comoros",0.412470023980815
"Egypt","All","UN","2015",0.024,0.0191,0.0303,"EgyptAll","Egypt",0.720605355064028
"Eritrea","All","UN","2015",0.0465,0.0308,0.0708,"EritreaAll","Eritrea",0.692866578599736
"Ethiopia","All","UN","2015",0.0592,0.0406,0.083,"EthiopiaAll","Ethiopia",0.710654936461388
"Gabon","All","UN","2015",0.0508,0.0359,0.0701,"GabonAll","Gabon",0.453175457481163
"Ghana","All","UN","2015",0.0616,0.0481,0.0782,"GhanaAll","Ghana",0.516483516483517
"Guinea","All","UN","2015",0.0937,0.0718,0.122,"GuineaAll","Guinea",0.606633081444165
"Gambia","All","UN","2015",0.0689,0.0447,0.1041,"GambiaAll","Gambia",0.595182138660399
"Indonesia","All","UN","2015",0.0272,0.0225,0.0329,"IndonesiaAll","Indonesia",0.678866587957497
"Kenya","All","UN","2015",0.0494,0.038,0.064,"KenyaAll","Kenya",0.517106549364614
"Cambodia","All","UN","2015",0.0287,0.0196,0.0414,"CambodiaAll","Cambodia",0.755328218243819
"Liberia","All","UN","2015",0.0699,0.0539,0.0918,"LiberiaAll","Liberia",0.725882352941176
"Lesotho","All","UN","2015",0.0902,0.0702,0.115,"LesothoAll","Lesotho",-0.0238365493757095
"Morocco","All","UN","2015",0.0276,0.0207,0.0366,"MoroccoAll","Morocco",0.655430711610487
"Madagascar","All","UN","2015",0.0496,0.032,0.0749,"MadagascarAll","Madagascar",0.691350342252645
"Mali","All","UN","2015",0.1147,0.073,0.1759,"MaliAll","Mali",0.549135220125786
"Mozambique","All","UN","2015",0.0785,0.0615,0.1008,"MozambiqueAll","Mozambique",0.672507300792658
"Malawi","All","UN","2015",0.064,0.0471,0.0908,"MalawiAll","Malawi",0.735973597359736
"Namibia","All","UN","2015",0.0454,0.033,0.063,"NamibiaAll","Namibia",0.382312925170068
"Niger","All","UN","2015",0.0955,0.0705,0.1283,"NigerAll","Niger",0.709018890920171
"Nigeria","All","UN","2015",0.1088,0.0834,0.1397,"NigeriaAll","Nigeria",0.488
"Philippines","All","UN","2015",0.028,0.0212,0.0367,"PhilippinesAll","Philippines",0.518900343642612
"Rwanda","All","UN","2015",0.0417,0.0299,0.0584,"RwandaAll","Rwanda",0.725296442687747
"Senegal","All","UN","2015",0.0472,0.0343,0.0647,"SenegalAll","Senegal",0.663817663817664
"Sierra Leone","All","UN","2015",0.1204,0.0978,0.1453,"Sierra LeoneAll","Sierra Leone",0.544457056375331
"Chad","All","UN","2015",0.1387,0.094,0.2028,"ChadAll","Chad",0.353681267474371
"Togo","All","UN","2015",0.0784,0.0651,0.0939,"TogoAll","Togo",0.46374829001368
"Tanzania","All","UN","2015",0.0487,0.0338,0.0703,"TanzaniaAll","Tanzania",0.705205811138015
"Uganda","All","UN","2015",0.0546,0.0406,0.0742,"UgandaAll","Uganda",0.708177445216462
"Zambia","All","UN","2015",0.064,0.0494,0.0813,"ZambiaAll","Zambia",0.664218258132214
"Zimbabwe","All","UN","2015",0.0707,0.0509,0.0976,"ZimbabweAll","Zimbabwe",0.0672823218997361
"Cambodia","All","IHME","2015",0.031362,0.0272217,0.0360057,"CambodiaAll","Cambodia",0.733949779436715
"Indonesia","All","IHME","2015",0.0236789,0.020438,0.0274803,"IndonesiaAll","Indonesia",0.719275345824264
"Philippines","All","IHME","2015",0.023187,0.0205178,0.0262647,"PhilippinesAll","Philippines",0.583835135033267
"Egypt","All","IHME","2015",0.0215407,0.0162722,0.0283071,"EgyptAll","Egypt",0.737698470201006
"Morocco","All","IHME","2015",0.0224414,0.0179994,0.0279215,"MoroccoAll","Morocco",0.679857685361393
"Bangladesh","All","IHME","2015",0.0390323,0.0360534,0.0426697,"BangladeshAll","Bangladesh",0.715254818424547
"Angola","All","IHME","2015",0.0786965,0.0602858,0.100902,"AngolaAll","Angola",0.586810423131245
"Congo","All","IHME","2015",0.0561334,0.0443507,0.0701425,"CongoAll","Congo",0.398703214327414
"DRC","All","IHME","2015",0.0880355,0.0701937,0.108917,"DRCAll","DRC",0.471639058936502
"Gabon","All","IHME","2015",0.046114,0.0402276,0.052692,"GabonAll","Gabon",0.446239716214967
"Burundi","All","IHME","2015",0.0768055,0.0573492,0.104341,"BurundiAll","Burundi",0.557097466179201
"Comoros","All","IHME","2015",0.0440215,0.030705,0.0619729,"ComorosAll","Comoros",0.633752371127159
"Eritrea","All","IHME","2015",0.0671474,0.0545715,0.083951,"EritreaAll","Eritrea",0.544609020006782
"Ethiopia","All","IHME","2015",0.0602685,0.053721,0.0684666,"EthiopiaAll","Ethiopia",0.701992207201416
"Kenya","All","IHME","2015",0.0508314,0.0453672,0.0576419,"KenyaAll","Kenya",0.449223917954719
"Madagascar","All","IHME","2015",0.0642006,0.0519312,0.0806421,"MadagascarAll","Madagascar",0.551430587676334
"Malawi","All","IHME","2015",0.0833546,0.0702353,0.0984343,"MalawiAll","Malawi",0.628249681119605
"Mozambique","All","IHME","2015",0.0779338,0.0703977,0.0872567,"MozambiqueAll","Mozambique",0.636192272321991
